Year,Activity group,Gender,Age group,Geography,GeoCode,Value
2015,Unpaid household work,"Total, all persons",25 to 54 years,Ontario,35,7.9
2015,Unpaid household work,Men+,25 to 54 years,Ontario,35,6.3
2015,Unpaid household work,Women+,25 to 54 years,Ontario,35,9.6
2015,Unpaid household work,"Total, all persons",25 to 34 years,Ontario,35,6.3
2015,Unpaid household work,Men+,25 to 34 years,Ontario,35,4.2
2015,Unpaid household work,Women+,25 to 34 years,Ontario,35,7.9
2015,Unpaid household work,"Total, all persons",35 to 44 years,Ontario,35,8.3
2015,Unpaid household work,Men+,35 to 44 years,Ontario,35,6.7
2015,Unpaid household work,Women+,35 to 44 years,Ontario,35,10.4
2015,Unpaid household work,"Total, all persons",45 to 54 years,Ontario,35,9.2
2015,Unpaid household work,Men+,45 to 54 years,Ontario,35,7.5
2015,Unpaid household work,Women+,45 to 54 years,Ontario,35,10.8
2015,Unpaid household work,"Total, all persons",55 to 64 years,Ontario,35,11.3
2015,Unpaid household work,Men+,55 to 64 years,Ontario,35,9.6
2015,Unpaid household work,Women+,55 to 64 years,Ontario,35,12.9
2015,Unpaid household work,"Total, all persons",65 years and over,Ontario,35,12.1
2015,Unpaid household work,Men+,65 years and over,Ontario,35,10.4
2015,Unpaid household work,Women+,65 years and over,Ontario,35,13.8
2015,Care of children under 18 years,"Total, all persons","Total, 15 years and over",Ontario,35,1.7
2015,Care of children under 18 years,Men+,"Total, 15 years and over",Ontario,35,1.3
2015,Care of children under 18 years,Women+,"Total, 15 years and over",Ontario,35,2.1
2015,Care of children under 18 years,"Total, all persons",15 to 24 years,Ontario,35,0.4
2015,Care of children under 18 years,Men+,15 to 24 years,Ontario,35,
2015,Care of children under 18 years,Women+,15 to 24 years,Ontario,35,
2015,Care of children under 18 years,"Total, all persons",25 to 54 years,Ontario,35,2.9
2015,Care of children under 18 years,Men+,25 to 54 years,Ontario,35,2.1
2015,Care of children under 18 years,Women+,25 to 54 years,Ontario,35,3.8
2015,Care of children under 18 years,"Total, all persons",25 to 34 years,Ontario,35,3.3
2015,Care of children under 18 years,Men+,25 to 34 years,Ontario,35,1.7
2015,Care of children under 18 years,Women+,25 to 34 years,Ontario,35,5.0
2015,Care of children under 18 years,"Total, all persons",35 to 44 years,Ontario,35,4.6
2015,Care of children under 18 years,Men+,35 to 44 years,Ontario,35,3.3
2015,Care of children under 18 years,Women+,35 to 44 years,Ontario,35,5.8
2015,Care of children under 18 years,"Total, all persons",45 to 54 years,Ontario,35,1.3
2015,Care of children under 18 years,Men+,45 to 54 years,Ontario,35,1.3
2015,Care of children under 18 years,Women+,45 to 54 years,Ontario,35,1.3
2015,Care of children under 18 years,"Total, all persons",55 to 64 years,Ontario,35,0.4
2015,Care of children under 18 years,Men+,55 to 64 years,Ontario,35,
2015,Care of children under 18 years,Women+,55 to 64 years,Ontario,35,0.4
2015,Care of children under 18 years,"Total, all persons",65 years and over,Ontario,35,
2015,Care of children under 18 years,Men+,65 years and over,Ontario,35,
2015,Care of children under 18 years,Women+,65 years and over,Ontario,35,
2015,Care of adults,"Total, all persons","Total, 15 years and over",Ontario,35,
2015,Care of adults,Men+,"Total, 15 years and over",Ontario,35,
2015,Care of adults,Women+,"Total, 15 years and over",Ontario,35,
2015,Care of adults,"Total, all persons",15 to 24 years,Ontario,35,
2015,Care of adults,Men+,15 to 24 years,Ontario,35,
2015,Care of adults,Women+,15 to 24 years,Ontario,35,0.0
2015,Care of adults,"Total, all persons",25 to 54 years,Ontario,35,
2015,Care of adults,Men+,25 to 54 years,Ontario,35,
2015,Care of adults,Women+,25 to 54 years,Ontario,35,
2015,Care of adults,"Total, all persons",25 to 34 years,Ontario,35,
2015,Care of adults,Men+,25 to 34 years,Ontario,35,
2015,Care of adults,Women+,25 to 34 years,Ontario,35,
2015,Care of adults,"Total, all persons",35 to 44 years,Ontario,35,
2015,Care of adults,Men+,35 to 44 years,Ontario,35,
2015,Care of adults,Women+,35 to 44 years,Ontario,35,
2015,Care of adults,"Total, all persons",45 to 54 years,Ontario,35,
2015,Care of adults,Men+,45 to 54 years,Ontario,35,
2015,Care of adults,Women+,45 to 54 years,Ontario,35,
2015,Care of adults,"Total, all persons",55 to 64 years,Ontario,35,
2015,Care of adults,Men+,55 to 64 years,Ontario,35,
2015,Care of adults,Women+,55 to 64 years,Ontario,35,
2015,Care of adults,"Total, all persons",65 years and over,Ontario,35,
2015,Care of adults,Men+,65 years and over,Ontario,35,
2015,Care of adults,Women+,65 years and over,Ontario,35,
2015,Shopping for goods or services,"Total, all persons","Total, 15 years and over",Ontario,35,2.1
2015,Shopping for goods or services,Men+,"Total, 15 years and over",Ontario,35,1.7
2015,Shopping for goods or services,Women+,"Total, 15 years and over",Ontario,35,2.5
2015,Shopping for goods or services,"Total, all persons",15 to 24 years,Ontario,35,1.3
2015,Shopping for goods or services,Men+,15 to 24 years,Ontario,35,0.8
2015,Shopping for goods or services,Women+,15 to 24 years,Ontario,35,1.7
2015,Shopping for goods or services,"Total, all persons",25 to 54 years,Ontario,35,1.7
2015,Shopping for goods or services,Men+,25 to 54 years,Ontario,35,1.3
2015,Shopping for goods or services,Women+,25 to 54 years,Ontario,35,2.1
2015,Shopping for goods or services,"Total, all persons",25 to 34 years,Ontario,35,1.7
2015,Shopping for goods or services,Men+,25 to 34 years,Ontario,35,1.3
2015,Shopping for goods or services,Women+,25 to 34 years,Ontario,35,2.5
2015,Shopping for goods or services,"Total, all persons",35 to 44 years,Ontario,35,1.7
2015,Shopping for goods or services,Men+,35 to 44 years,Ontario,35,1.7
2015,Shopping for goods or services,Women+,35 to 44 years,Ontario,35,2.1
2015,Shopping for goods or services,"Total, all persons",45 to 54 years,Ontario,35,2.1
2015,Shopping for goods or services,Men+,45 to 54 years,Ontario,35,1.7
2015,Shopping for goods or services,Women+,45 to 54 years,Ontario,35,2.5
2015,Shopping for goods or services,"Total, all persons",55 to 64 years,Ontario,35,2.5
2015,Shopping for goods or services,Men+,55 to 64 years,Ontario,35,1.7
2015,Shopping for goods or services,Women+,55 to 64 years,Ontario,35,2.9
2015,Shopping for goods or services,"Total, all persons",65 years and over,Ontario,35,2.9
2015,Shopping for goods or services,Men+,65 years and over,Ontario,35,2.5
2015,Shopping for goods or services,Women+,65 years and over,Ontario,35,2.9
2015,"Total, unpaid work activities","Total, all persons","Total, 15 years and over",Prairies,4,12.9
2015,"Total, unpaid work activities",Men+,"Total, 15 years and over",Prairies,4,10.4
2015,"Total, unpaid work activities",Women+,"Total, 15 years and over",Prairies,4,15.8
2015,"Total, unpaid work activities","Total, all persons",15 to 24 years,Prairies,4,6.7
2015,"Total, unpaid work activities",Men+,15 to 24 years,Prairies,4,5.0
2015,"Total, unpaid work activities",Women+,15 to 24 years,Prairies,4,8.3
2015,"Total, unpaid work activities","Total, all persons",25 to 54 years,Prairies,4,14.2
2015,"Total, unpaid work activities",Men+,25 to 54 years,Prairies,4,10.4
2015,"Total, unpaid work activities",Women+,25 to 54 years,Prairies,4,17.9
2015,"Total, unpaid work activities","Total, all persons",25 to 34 years,Prairies,4,12.5
2015,"Total, unpaid work activities",Men+,25 to 34 years,Prairies,4,7.9
2015,"Total, unpaid work activities",Women+,25 to 34 years,Prairies,4,17.5
2015,"Total, unpaid work activities","Total, all persons",35 to 44 years,Prairies,4,15.8
2015,"Total, unpaid work activities",Men+,35 to 44 years,Prairies,4,11.3
2015,"Total, unpaid work activities",Women+,35 to 44 years,Prairies,4,20.0
2015,"Total, unpaid work activities","Total, all persons",45 to 54 years,Prairies,4,14.2
2015,"Total, unpaid work activities",Men+,45 to 54 years,Prairies,4,12.1
2015,"Total, unpaid work activities",Women+,45 to 54 years,Prairies,4,16.3
2015,"Total, unpaid work activities","Total, all persons",55 to 64 years,Prairies,4,13.3
2015,"Total, unpaid work activities",Men+,55 to 64 years,Prairies,4,11.7
2015,"Total, unpaid work activities",Women+,55 to 64 years,Prairies,4,15.4
2015,"Total, unpaid work activities","Total, all persons",65 years and over,Prairies,4,16.3
2015,"Total, unpaid work activities",Men+,65 years and over,Prairies,4,15.0
2015,"Total, unpaid work activities",Women+,65 years and over,Prairies,4,17.1
2015,Unpaid household work,"Total, all persons","Total, 15 years and over",Prairies,4,8.8
2015,Unpaid household work,Men+,"Total, 15 years and over",Prairies,4,7.5
2015,Unpaid household work,Women+,"Total, 15 years and over",Prairies,4,10.4
2015,Unpaid household work,"Total, all persons",15 to 24 years,Prairies,4,4.6
2015,Unpaid household work,Men+,15 to 24 years,Prairies,4,3.3
2015,Unpaid household work,Women+,15 to 24 years,Prairies,4,6.3
2015,Unpaid household work,"Total, all persons",25 to 54 years,Prairies,4,8.8
2015,Unpaid household work,Men+,25 to 54 years,Prairies,4,7.1
2015,Unpaid household work,Women+,25 to 54 years,Prairies,4,10.4
2015,Unpaid household work,"Total, all persons",25 to 34 years,Prairies,4,7.1
2015,Unpaid household work,Men+,25 to 34 years,Prairies,4,5.4
2015,Unpaid household work,Women+,25 to 34 years,Prairies,4,9.2
2015,Unpaid household work,"Total, all persons",35 to 44 years,Prairies,4,8.3
2015,Unpaid household work,Men+,35 to 44 years,Prairies,4,6.3
2015,Unpaid household work,Women+,35 to 44 years,Prairies,4,10.8
2015,Unpaid household work,"Total, all persons",45 to 54 years,Prairies,4,10.4
2015,Unpaid household work,Men+,45 to 54 years,Prairies,4,9.6
2015,Unpaid household work,Women+,45 to 54 years,Prairies,4,11.7
2015,Unpaid household work,"Total, all persons",55 to 64 years,Prairies,4,10.0
2015,Unpaid household work,Men+,55 to 64 years,Prairies,4,9.2
2015,Unpaid household work,Women+,55 to 64 years,Prairies,4,11.3
2015,Unpaid household work,"Total, all persons",65 years and over,Prairies,4,12.5
2015,Unpaid household work,Men+,65 years and over,Prairies,4,11.7
2015,Unpaid household work,Women+,65 years and over,Prairies,4,13.3
2015,Care of children under 18 years,"Total, all persons","Total, 15 years and over",Prairies,4,1.7
2015,Care of children under 18 years,Men+,"Total, 15 years and over",Prairies,4,0.8
2015,Care of children under 18 years,Women+,"Total, 15 years and over",Prairies,4,2.9
2015,Care of children under 18 years,"Total, all persons",15 to 24 years,Prairies,4,0.4
2015,Care of children under 18 years,Men+,15 to 24 years,Prairies,4,
2015,Care of children under 18 years,Women+,15 to 24 years,Prairies,4,0.8
2015,Care of children under 18 years,"Total, all persons",25 to 54 years,Prairies,4,3.3
2015,Care of children under 18 years,Men+,25 to 54 years,Prairies,4,1.7
2015,Care of children under 18 years,Women+,25 to 54 years,Prairies,4,5.0
2015,Care of children under 18 years,"Total, all persons",25 to 34 years,Prairies,4,3.3
2015,Care of children under 18 years,Men+,25 to 34 years,Prairies,4,1.3
2015,Care of children under 18 years,Women+,25 to 34 years,Prairies,4,5.8
2015,Care of children under 18 years,"Total, all persons",35 to 44 years,Prairies,4,5.0
2015,Care of children under 18 years,Men+,35 to 44 years,Prairies,4,2.9
2015,Care of children under 18 years,Women+,35 to 44 years,Prairies,4,7.1
2015,Care of children under 18 years,"Total, all persons",45 to 54 years,Prairies,4,1.3
2015,Care of children under 18 years,Men+,45 to 54 years,Prairies,4,0.8
2015,Care of children under 18 years,Women+,45 to 54 years,Prairies,4,1.3
2015,Care of children under 18 years,"Total, all persons",55 to 64 years,Prairies,4,
2015,Care of children under 18 years,Men+,55 to 64 years,Prairies,4,
2015,Care of children under 18 years,Women+,55 to 64 years,Prairies,4,
2015,Care of children under 18 years,"Total, all persons",65 years and over,Prairies,4,
2015,Care of children under 18 years,Men+,65 years and over,Prairies,4,
2015,Care of children under 18 years,Women+,65 years and over,Prairies,4,
2015,Care of adults,"Total, all persons","Total, 15 years and over",Prairies,4,
2015,Care of adults,Men+,"Total, 15 years and over",Prairies,4,
2015,Care of adults,Women+,"Total, 15 years and over",Prairies,4,
2015,Care of adults,"Total, all persons",15 to 24 years,Prairies,4,
2015,Care of adults,Men+,15 to 24 years,Prairies,4,
2015,Care of adults,Women+,15 to 24 years,Prairies,4,0.0
2015,Care of adults,"Total, all persons",25 to 54 years,Prairies,4,
2015,Care of adults,Men+,25 to 54 years,Prairies,4,
2015,Care of adults,Women+,25 to 54 years,Prairies,4,
2015,Care of adults,"Total, all persons",25 to 34 years,Prairies,4,
2015,Care of adults,Men+,25 to 34 years,Prairies,4,
2015,Care of adults,Women+,25 to 34 years,Prairies,4,
2015,Care of adults,"Total, all persons",35 to 44 years,Prairies,4,
2015,Care of adults,Men+,35 to 44 years,Prairies,4,
2015,Care of adults,Women+,35 to 44 years,Prairies,4,
2015,Care of adults,"Total, all persons",45 to 54 years,Prairies,4,
2015,Care of adults,Men+,45 to 54 years,Prairies,4,
2015,Care of adults,Women+,45 to 54 years,Prairies,4,
2015,Care of adults,"Total, all persons",55 to 64 years,Prairies,4,
2015,Care of adults,Men+,55 to 64 years,Prairies,4,
2015,Care of adults,Women+,55 to 64 years,Prairies,4,
2015,Care of adults,"Total, all persons",65 years and over,Prairies,4,
2015,Care of adults,Men+,65 years and over,Prairies,4,
2015,Care of adults,Women+,65 years and over,Prairies,4,
2015,Shopping for goods or services,"Total, all persons","Total, 15 years and over",Prairies,4,2.1
2015,Shopping for goods or services,Men+,"Total, 15 years and over",Prairies,4,1.7
2015,Shopping for goods or services,Women+,"Total, 15 years and over",Prairies,4,2.1
2015,Shopping for goods or services,"Total, all persons",15 to 24 years,Prairies,4,1.3
2015,Shopping for goods or services,Men+,15 to 24 years,Prairies,4,1.7
2015,Shopping for goods or services,Women+,15 to 24 years,Prairies,4,0.8
2015,Shopping for goods or services,"Total, all persons",25 to 54 years,Prairies,4,1.7
2015,Shopping for goods or services,Men+,25 to 54 years,Prairies,4,1.3
2015,Shopping for goods or services,Women+,25 to 54 years,Prairies,4,2.1
2015,Shopping for goods or services,"Total, all persons",25 to 34 years,Prairies,4,1.7
2015,Shopping for goods or services,Men+,25 to 34 years,Prairies,4,0.8
2015,Shopping for goods or services,Women+,25 to 34 years,Prairies,4,2.1
2015,Shopping for goods or services,"Total, all persons",35 to 44 years,Prairies,4,2.1
2015,Shopping for goods or services,Men+,35 to 44 years,Prairies,4,2.1
2015,Shopping for goods or services,Women+,35 to 44 years,Prairies,4,2.1
2015,Shopping for goods or services,"Total, all persons",45 to 54 years,Prairies,4,2.1
2015,Shopping for goods or services,Men+,45 to 54 years,Prairies,4,1.3
2015,Shopping for goods or services,Women+,45 to 54 years,Prairies,4,2.5
2015,Shopping for goods or services,"Total, all persons",55 to 64 years,Prairies,4,2.5
2015,Shopping for goods or services,Men+,55 to 64 years,Prairies,4,2.1
2015,Shopping for goods or services,Women+,55 to 64 years,Prairies,4,2.5
2015,Shopping for goods or services,"Total, all persons",65 years and over,Prairies,4,2.9
2015,Shopping for goods or services,Men+,65 years and over,Prairies,4,2.9
2015,Shopping for goods or services,Women+,65 years and over,Prairies,4,2.9
2015,"Total, unpaid work activities","Total, all persons","Total, 15 years and over",British Columbia,59,12.5
2015,"Total, unpaid work activities",Men+,"Total, 15 years and over",British Columbia,59,10.4
2015,"Total, unpaid work activities",Women+,"Total, 15 years and over",British Columbia,59,14.2
2015,"Total, unpaid work activities","Total, all persons",15 to 24 years,British Columbia,59,5.4
2015,"Total, unpaid work activities",Men+,15 to 24 years,British Columbia,59,3.3
2015,"Total, unpaid work activities",Women+,15 to 24 years,British Columbia,59,7.9
2015,"Total, unpaid work activities","Total, all persons",25 to 54 years,British Columbia,59,13.3
2015,"Total, unpaid work activities",Men+,25 to 54 years,British Columbia,59,10.8
2015,"Total, unpaid work activities",Women+,25 to 54 years,British Columbia,59,15.4
2015,"Total, unpaid work activities","Total, all persons",25 to 34 years,British Columbia,59,11.3
2015,"Total, unpaid work activities",Men+,25 to 34 years,British Columbia,59,8.3
2015,"Total, unpaid work activities",Women+,25 to 34 years,British Columbia,59,14.2
2015,"Total, unpaid work activities","Total, all persons",35 to 44 years,British Columbia,59,13.3
2015,"Total, unpaid work activities",Men+,35 to 44 years,British Columbia,59,10.8
2015,"Total, unpaid work activities",Women+,35 to 44 years,British Columbia,59,16.3
2015,"Total, unpaid work activities","Total, all persons",45 to 54 years,British Columbia,59,14.6
2015,"Total, unpaid work activities",Men+,45 to 54 years,British Columbia,59,13.3
2015,"Total, unpaid work activities",Women+,45 to 54 years,British Columbia,59,16.3
2015,"Total, unpaid work activities","Total, all persons",55 to 64 years,British Columbia,59,13.3
2015,"Total, unpaid work activities",Men+,55 to 64 years,British Columbia,59,12.5
2015,"Total, unpaid work activities",Women+,55 to 64 years,British Columbia,59,14.6
2015,"Total, unpaid work activities","Total, all persons",65 years and over,British Columbia,59,15.0
2015,"Total, unpaid work activities",Men+,65 years and over,British Columbia,59,13.3
2015,"Total, unpaid work activities",Women+,65 years and over,British Columbia,59,15.8
2015,Unpaid household work,"Total, all persons","Total, 15 years and over",British Columbia,59,8.3
2015,Unpaid household work,Men+,"Total, 15 years and over",British Columbia,59,7.5
2015,Unpaid household work,Women+,"Total, 15 years and over",British Columbia,59,9.6
2015,Unpaid household work,"Total, all persons",15 to 24 years,British Columbia,59,2.9
2015,Unpaid household work,Men+,15 to 24 years,British Columbia,59,2.1
2015,Unpaid household work,Women+,15 to 24 years,British Columbia,59,3.8
2015,Unpaid household work,"Total, all persons",25 to 54 years,British Columbia,59,8.3
2015,Unpaid household work,Men+,25 to 54 years,British Columbia,59,7.1
2015,Unpaid household work,Women+,25 to 54 years,British Columbia,59,9.6
2015,Unpaid household work,"Total, all persons",25 to 34 years,British Columbia,59,6.7
2015,Unpaid household work,Men+,25 to 34 years,British Columbia,59,5.0
2015,Unpaid household work,Women+,25 to 34 years,British Columbia,59,8.3
2015,Unpaid household work,"Total, all persons",35 to 44 years,British Columbia,59,7.5
2015,Unpaid household work,Men+,35 to 44 years,British Columbia,59,5.8
2015,Unpaid household work,Women+,35 to 44 years,British Columbia,59,8.8
2015,Unpaid household work,"Total, all persons",45 to 54 years,British Columbia,59,11.3
2015,Unpaid household work,Men+,45 to 54 years,British Columbia,59,10.4
2015,Unpaid household work,Women+,45 to 54 years,British Columbia,59,12.1
2015,Unpaid household work,"Total, all persons",55 to 64 years,British Columbia,59,10.4
2015,Unpaid household work,Men+,55 to 64 years,British Columbia,59,9.6
2015,Unpaid household work,Women+,55 to 64 years,British Columbia,59,10.8
2015,Unpaid household work,"Total, all persons",65 years and over,British Columbia,59,11.3
2015,Unpaid household work,Men+,65 years and over,British Columbia,59,10.0
2015,Unpaid household work,Women+,65 years and over,British Columbia,59,12.5
2015,Care of children under 18 years,"Total, all persons","Total, 15 years and over",British Columbia,59,1.3
2015,Care of children under 18 years,Men+,"Total, 15 years and over",British Columbia,59,1.3
2015,Care of children under 18 years,Women+,"Total, 15 years and over",British Columbia,59,1.7
2015,Care of children under 18 years,"Total, all persons",15 to 24 years,British Columbia,59,
2015,Care of children under 18 years,Men+,15 to 24 years,British Columbia,59,0.0
2015,Care of children under 18 years,Women+,15 to 24 years,British Columbia,59,
2015,Care of children under 18 years,"Total, all persons",25 to 54 years,British Columbia,59,2.5
2015,Care of children under 18 years,Men+,25 to 54 years,British Columbia,59,2.1
2015,Care of children under 18 years,Women+,25 to 54 years,British Columbia,59,2.9
2015,Care of children under 18 years,"Total, all persons",25 to 34 years,British Columbia,59,2.5
2015,Care of children under 18 years,Men+,25 to 34 years,British Columbia,59,1.7
2015,Care of children under 18 years,Women+,25 to 34 years,British Columbia,59,3.3
2015,Care of children under 18 years,"Total, all persons",35 to 44 years,British Columbia,59,4.2
2015,Care of children under 18 years,Men+,35 to 44 years,British Columbia,59,3.8
2015,Care of children under 18 years,Women+,35 to 44 years,British Columbia,59,5.0
2015,Care of children under 18 years,"Total, all persons",45 to 54 years,British Columbia,59,1.3
2015,Care of children under 18 years,Men+,45 to 54 years,British Columbia,59,0.8
2015,Care of children under 18 years,Women+,45 to 54 years,British Columbia,59,1.3
2015,Care of children under 18 years,"Total, all persons",55 to 64 years,British Columbia,59,
2015,Care of children under 18 years,Men+,55 to 64 years,British Columbia,59,
2015,Care of children under 18 years,Women+,55 to 64 years,British Columbia,59,
2015,Care of children under 18 years,"Total, all persons",65 years and over,British Columbia,59,
2015,Care of children under 18 years,Men+,65 years and over,British Columbia,59,
2015,Care of children under 18 years,Women+,65 years and over,British Columbia,59,
2015,Care of adults,"Total, all persons","Total, 15 years and over",British Columbia,59,
2015,Care of adults,Men+,"Total, 15 years and over",British Columbia,59,
2015,Care of adults,Women+,"Total, 15 years and over",British Columbia,59,
2015,Care of adults,"Total, all persons",15 to 24 years,British Columbia,59,
2015,Care of adults,Men+,15 to 24 years,British Columbia,59,
2015,Care of adults,Women+,15 to 24 years,British Columbia,59,0.0
2015,Care of adults,"Total, all persons",25 to 54 years,British Columbia,59,
2015,Care of adults,Men+,25 to 54 years,British Columbia,59,
2015,Care of adults,Women+,25 to 54 years,British Columbia,59,
2015,Care of adults,"Total, all persons",25 to 34 years,British Columbia,59,
2015,Care of adults,Men+,25 to 34 years,British Columbia,59,0.0
2015,Care of adults,Women+,25 to 34 years,British Columbia,59,
2015,Care of adults,"Total, all persons",35 to 44 years,British Columbia,59,
2015,Care of adults,Men+,35 to 44 years,British Columbia,59,
2015,Care of adults,Women+,35 to 44 years,British Columbia,59,
2015,Care of adults,"Total, all persons",45 to 54 years,British Columbia,59,
2015,Care of adults,Men+,45 to 54 years,British Columbia,59,
2015,Care of adults,Women+,45 to 54 years,British Columbia,59,
2015,Care of adults,"Total, all persons",55 to 64 years,British Columbia,59,
2015,Care of adults,Men+,55 to 64 years,British Columbia,59,
2015,Care of adults,Women+,55 to 64 years,British Columbia,59,
2015,Care of adults,"Total, all persons",65 years and over,British Columbia,59,
2015,Care of adults,Men+,65 years and over,British Columbia,59,
2015,Care of adults,Women+,65 years and over,British Columbia,59,
2015,Shopping for goods or services,"Total, all persons","Total, 15 years and over",British Columbia,59,2.1
2015,Shopping for goods or services,Men+,"Total, 15 years and over",British Columbia,59,1.7
2015,Shopping for goods or services,Women+,"Total, 15 years and over",British Columbia,59,2.5
2015,Shopping for goods or services,"Total, all persons",15 to 24 years,British Columbia,59,2.5
2015,Shopping for goods or services,Men+,15 to 24 years,British Columbia,59,
2015,Shopping for goods or services,Women+,15 to 24 years,British Columbia,59,3.8
2015,Shopping for goods or services,"Total, all persons",25 to 54 years,British Columbia,59,1.7
2015,Shopping for goods or services,Men+,25 to 54 years,British Columbia,59,1.3
2015,Shopping for goods or services,Women+,25 to 54 years,British Columbia,59,2.1
2015,Shopping for goods or services,"Total, all persons",25 to 34 years,British Columbia,59,1.7
2015,Shopping for goods or services,Men+,25 to 34 years,British Columbia,59,1.3
2015,Shopping for goods or services,Women+,25 to 34 years,British Columbia,59,1.7
2015,Shopping for goods or services,"Total, all persons",35 to 44 years,British Columbia,59,1.7
2015,Shopping for goods or services,Men+,35 to 44 years,British Columbia,59,0.8
2015,Shopping for goods or services,Women+,35 to 44 years,British Columbia,59,2.1
2015,Shopping for goods or services,"Total, all persons",45 to 54 years,British Columbia,59,2.1
2015,Shopping for goods or services,Men+,45 to 54 years,British Columbia,59,2.1
2015,Shopping for goods or services,Women+,45 to 54 years,British Columbia,59,2.5
2015,Shopping for goods or services,"Total, all persons",55 to 64 years,British Columbia,59,2.5
2015,Shopping for goods or services,Men+,55 to 64 years,British Columbia,59,2.5
2015,Shopping for goods or services,Women+,55 to 64 years,British Columbia,59,2.5
2015,Shopping for goods or services,"Total, all persons",65 years and over,British Columbia,59,2.5
2015,Shopping for goods or services,Men+,65 years and over,British Columbia,59,2.5
2015,Shopping for goods or services,Women+,65 years and over,British Columbia,59,2.5
2022,,,,,,13.3
2022,"Total, unpaid work activities",Men+,"Total, 15 years and over",Canada,,10.8
2022,"Total, unpaid work activities",Women+,"Total, 15 years and over",Canada,,15.4
2022,"Total, unpaid work activities","Total, all persons",15 to 24 years,Canada,,5.0
2022,"Total, unpaid work activities",Men+,15 to 24 years,Canada,,4.2
2022,"Total, unpaid work activities",Women+,15 to 24 years,Canada,,6.3
2022,"Total, unpaid work activities","Total, all persons",25 to 54 years,Canada,,14.6
2022,"Total, unpaid work activities",Men+,25 to 54 years,Canada,,10.8
2022,"Total, unpaid work activities",Women+,25 to 54 years,Canada,,17.9
2022,"Total, unpaid work activities","Total, all persons",25 to 34 years,Canada,,12.5
2022,"Total, unpaid work activities",Men+,25 to 34 years,Canada,,8.8
2022,"Total, unpaid work activities",Women+,25 to 34 years,Canada,,16.3
2022,"Total, unpaid work activities","Total, all persons",35 to 44 years,Canada,,16.3
2022,"Total, unpaid work activities",Men+,35 to 44 years,Canada,,12.5
2022,"Total, unpaid work activities",Women+,35 to 44 years,Canada,,20.4
2022,"Total, unpaid work activities","Total, all persons",45 to 54 years,Canada,,14.2
2022,"Total, unpaid work activities",Men+,45 to 54 years,Canada,,12.1
2022,"Total, unpaid work activities",Women+,45 to 54 years,Canada,,16.7
2022,"Total, unpaid work activities","Total, all persons",55 to 64 years,Canada,,14.6
2022,"Total, unpaid work activities",Men+,55 to 64 years,Canada,,12.9
2022,"Total, unpaid work activities",Women+,55 to 64 years,Canada,,16.7
2022,"Total, unpaid work activities","Total, all persons",65 years and over,Canada,,14.6
2022,"Total, unpaid work activities",Men+,65 years and over,Canada,,13.3
2022,"Total, unpaid work activities",Women+,65 years and over,Canada,,15.8
2022,Unpaid household work,"Total, all persons","Total, 15 years and over",Canada,,8.8
2022,Unpaid household work,Men+,"Total, 15 years and over",Canada,,7.5
2022,Unpaid household work,Women+,"Total, 15 years and over",Canada,,10.0
2022,Unpaid household work,"Total, all persons",15 to 24 years,Canada,,3.8
2022,Unpaid household work,Men+,15 to 24 years,Canada,,3.3
2022,Unpaid household work,Women+,15 to 24 years,Canada,,3.8
2022,Unpaid household work,"Total, all persons",25 to 54 years,Canada,,7.9
2022,Unpaid household work,Men+,25 to 54 years,Canada,,6.7
2022,Unpaid household work,Women+,25 to 54 years,Canada,,9.6
2022,Unpaid household work,"Total, all persons",25 to 34 years,Canada,,6.3
2022,Unpaid household work,Men+,25 to 34 years,Canada,,5.8
2022,Unpaid household work,Women+,25 to 34 years,Canada,,7.1
2022,Unpaid household work,"Total, all persons",35 to 44 years,Canada,,8.3
2022,Unpaid household work,Men+,35 to 44 years,Canada,,6.3
2022,Unpaid household work,Women+,35 to 44 years,Canada,,10.4
2022,Unpaid household work,"Total, all persons",45 to 54 years,Canada,,9.6
2022,Unpaid household work,Men+,45 to 54 years,Canada,,7.9
2022,Unpaid household work,Women+,45 to 54 years,Canada,,11.3
2022,Unpaid household work,"Total, all persons",55 to 64 years,Canada,,11.7
2022,Unpaid household work,Men+,55 to 64 years,Canada,,10.4
2022,Unpaid household work,Women+,55 to 64 years,Canada,,12.9
2022,Unpaid household work,"Total, all persons",65 years and over,Canada,,11.7
2022,Unpaid household work,Men+,65 years and over,Canada,,10.4
2022,Unpaid household work,Women+,65 years and over,Canada,,12.5
2022,Care of children under 18 years,"Total, all persons","Total, 15 years and over",Canada,,2.1
2022,Care of children under 18 years,Men+,"Total, 15 years and over",Canada,,1.7
2022,Care of children under 18 years,Women+,"Total, 15 years and over",Canada,,2.9
2022,Care of children under 18 years,"Total, all persons",15 to 24 years,Canada,,0.4
2022,Care of children under 18 years,Men+,15 to 24 years,Canada,,
2022,Care of children under 18 years,Women+,15 to 24 years,Canada,,
2022,Care of children under 18 years,"Total, all persons",25 to 54 years,Canada,,4.6
2022,Care of children under 18 years,Men+,25 to 54 years,Canada,,2.9
2022,Care of children under 18 years,Women+,25 to 54 years,Canada,,5.8
2022,Care of children under 18 years,"Total, all persons",25 to 34 years,Canada,,4.6
2022,Care of children under 18 years,Men+,25 to 34 years,Canada,,1.7
2022,Care of children under 18 years,Women+,25 to 34 years,Canada,,7.1
