Year,Occupation,Geography,Progress,GeoCode,Value
2022,"Middle management occupations in trades, transportation, production and utilities",Quebec,83.1,24,16.9
2022,Management occupations,Ontario,64.2,35,35.8
2022,Legislative and senior management occupations,Ontario,62.7,35,37.3
2022,Specialized middle management occupations,Ontario,52.6,35,47.4
2022,Middle management occupations in retail and wholesale trade and customer services,Ontario,60.3,35,39.7
2022,"Middle management occupations in trades, transportation, production and utilities",Ontario,85.4,35,14.6
2022,Management occupations,Manitoba,68.1,46,31.9
2022,Legislative and senior management occupations,Manitoba,58.8,46,41.2
2022,Specialized middle management occupations,Manitoba,52.9,46,47.1
2022,Middle management occupations in retail and wholesale trade and customer services,Manitoba,62.4,46,37.6
2022,"Middle management occupations in trades, transportation, production and utilities",Manitoba,83.1,46,16.9
2022,Management occupations,Saskatchewan,68.6,47,31.4
2022,Legislative and senior management occupations,Saskatchewan,52.9,47,52.9
2022,Specialized middle management occupations,Saskatchewan,50.9,47,49.1
2022,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,58.2,47,41.8
2022,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,83.7,47,16.3
2022,Management occupations,Alberta,64.6,48,35.4
2022,Legislative and senior management occupations,Alberta,,48,
2022,Specialized middle management occupations,Alberta,50.8,48,49.2
2022,Middle management occupations in retail and wholesale trade and customer services,Alberta,57.1,48,42.9
2022,"Middle management occupations in trades, transportation, production and utilities",Alberta,79.2,48,20.8
2022,Management occupations,British Columbia,64.7,59,35.3
2022,Legislative and senior management occupations,British Columbia,,59,
2022,Specialized middle management occupations,British Columbia,54.7,59,45.3
2022,Middle management occupations in retail and wholesale trade and customer services,British Columbia,58.6,59,41.4
2022,"Middle management occupations in trades, transportation, production and utilities",British Columbia,80.6,59,19.4
2023,Legislative and senior management occupations,Canada,70.2,,29.8
2023,Specialized middle management occupations,Canada,52.2,,47.8
2023,Middle management occupations in retail and wholesale trade and customer services,Canada,62.5,,37.5
2023,"Middle management occupations in trades, transportation, production and utilities",Canada,82.4,,17.6
2023,Management occupations,Newfoundland and Labrador,61.2,10,38.8
2023,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2023,Specialized middle management occupations,Newfoundland and Labrador,50.8,10,49.2
2023,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,52.7,10,47.3
2023,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,85.7,10,14.3
2023,Management occupations,Prince Edward Island,66.2,11,33.8
2023,Legislative and senior management occupations,Prince Edward Island,,11,
2023,Specialized middle management occupations,Prince Edward Island,56.0,11,56.0
2023,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,58.3,11,41.7
2023,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,89.7,11,10.3
2023,Management occupations,Nova Scotia,60.5,12,39.5
2023,Legislative and senior management occupations,Nova Scotia,,12,
2023,Specialized middle management occupations,Nova Scotia,53.1,12,53.1
2023,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,54.1,12,45.9
2023,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,86.3,12,13.7
2023,Management occupations,New Brunswick,59.7,13,40.3
2023,Legislative and senior management occupations,New Brunswick,,13,
2023,Specialized middle management occupations,New Brunswick,56.6,13,56.6
2023,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,61.8,13,38.2
2023,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,81.1,13,18.9
2023,Management occupations,Quebec,64.4,24,35.6
2023,Legislative and senior management occupations,Quebec,50.7,24,49.3
2023,Specialized middle management occupations,Quebec,51.3,24,48.7
2023,Middle management occupations in retail and wholesale trade and customer services,Quebec,65.7,24,34.3
2023,"Middle management occupations in trades, transportation, production and utilities",Quebec,81.2,24,18.8
2023,Management occupations,Ontario,64.7,35,35.3
2023,Legislative and senior management occupations,Ontario,76.0,35,24.0
2023,Specialized middle management occupations,Ontario,53.0,35,47.0
2023,Middle management occupations in retail and wholesale trade and customer services,Ontario,63.6,35,36.4
2023,"Middle management occupations in trades, transportation, production and utilities",Ontario,81.7,35,18.3
2023,Management occupations,Manitoba,67.0,46,33.0
2023,Legislative and senior management occupations,Manitoba,,46,
2023,Specialized middle management occupations,Manitoba,55.4,46,44.6
2023,Middle management occupations in retail and wholesale trade and customer services,Manitoba,57.6,46,42.4
2023,"Middle management occupations in trades, transportation, production and utilities",Manitoba,87.9,46,12.1
2023,Management occupations,Saskatchewan,66.9,47,33.1
2023,Legislative and senior management occupations,Saskatchewan,56.2,47,43.8
2023,Specialized middle management occupations,Saskatchewan,51.8,47,51.8
2023,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,58.5,47,41.5
2023,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,83.3,47,16.7
2023,Management occupations,Alberta,65.9,48,34.1
2023,Legislative and senior management occupations,Alberta,66.7,48,33.3
2023,Specialized middle management occupations,Alberta,52.0,48,48.0
2023,Middle management occupations in retail and wholesale trade and customer services,Alberta,57.7,48,42.3
2023,"Middle management occupations in trades, transportation, production and utilities",Alberta,83.5,48,16.5
2023,Management occupations,British Columbia,65.4,59,34.6
2023,Legislative and senior management occupations,British Columbia,71.4,59,28.6
2023,Specialized middle management occupations,British Columbia,52.6,59,47.4
2023,Middle management occupations in retail and wholesale trade and customer services,British Columbia,62.7,59,37.3
2023,"Middle management occupations in trades, transportation, production and utilities",British Columbia,82.5,59,17.5
2024,Legislative and senior management occupations,Canada,70.8,,29.2
2024,Specialized middle management occupations,Canada,51.3,,48.7
2024,Middle management occupations in retail and wholesale trade and customer services,Canada,61.7,,38.3
2024,"Middle management occupations in trades, transportation, production and utilities",Canada,82.3,,17.7
2024,Management occupations,Newfoundland and Labrador,59.9,10,40.1
2024,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2024,Specialized middle management occupations,Newfoundland and Labrador,51.9,10,51.9
2024,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,53.1,10,46.9
2024,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,86.7,10,13.3
2024,Management occupations,Prince Edward Island,64.6,11,35.4
2024,Legislative and senior management occupations,Prince Edward Island,,11,
2024,Specialized middle management occupations,Prince Edward Island,53.6,11,53.6
2024,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,55.0,11,45.0
2024,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,90.0,11,10.0
2024,Management occupations,Nova Scotia,62.6,12,37.4
2024,Legislative and senior management occupations,Nova Scotia,,12,
2024,Specialized middle management occupations,Nova Scotia,52.3,12,52.3
2024,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,59.4,12,40.6
2024,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,84.9,12,15.1
2024,Management occupations,New Brunswick,60.1,13,39.9
2024,Legislative and senior management occupations,New Brunswick,,13,
2024,Specialized middle management occupations,New Brunswick,55.6,13,55.6
2024,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,60.2,13,39.8
2024,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,84.2,13,15.8
2024,Management occupations,Quebec,63.2,24,36.8
2024,Legislative and senior management occupations,Quebec,72.9,24,27.1
2024,Specialized middle management occupations,Quebec,51.5,24,48.5
2024,Middle management occupations in retail and wholesale trade and customer services,Quebec,61.8,24,38.2
2024,"Middle management occupations in trades, transportation, production and utilities",Quebec,81.1,24,18.9
2024,Management occupations,Ontario,62.7,35,37.3
2024,Legislative and senior management occupations,Ontario,68.3,35,31.7
2024,Specialized middle management occupations,Ontario,52.1,35,47.9
2024,Middle management occupations in retail and wholesale trade and customer services,Ontario,61.8,35,38.2
2024,"Middle management occupations in trades, transportation, production and utilities",Ontario,81.3,35,18.7
2024,Management occupations,Manitoba,66.5,46,33.5
2024,Legislative and senior management occupations,Manitoba,,46,
2024,Specialized middle management occupations,Manitoba,50.4,46,50.4
2024,Middle management occupations in retail and wholesale trade and customer services,Manitoba,66.1,46,33.9
2024,"Middle management occupations in trades, transportation, production and utilities",Manitoba,85.0,46,15.0
2024,Management occupations,Saskatchewan,65.2,47,34.8
2024,Legislative and senior management occupations,Saskatchewan,52.9,47,52.9
2024,Specialized middle management occupations,Saskatchewan,54.8,47,54.8
2024,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,57.9,47,42.1
2024,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,82.4,47,17.6
2024,Management occupations,Alberta,66.2,48,33.8
2024,Legislative and senior management occupations,Alberta,,48,
2024,Specialized middle management occupations,Alberta,50.0,48,50.0
2024,Middle management occupations in retail and wholesale trade and customer services,Alberta,64.0,48,36.0
2024,"Middle management occupations in trades, transportation, production and utilities",Alberta,83.0,48,17.0
2024,Management occupations,British Columbia,64.0,59,36.0
2024,Legislative and senior management occupations,British Columbia,,59,
2024,Specialized middle management occupations,British Columbia,51.9,59,48.1
2024,Middle management occupations in retail and wholesale trade and customer services,British Columbia,60.1,59,39.9
2024,"Middle management occupations in trades, transportation, production and utilities",British Columbia,84.4,59,15.6
