Year,Series,Discrimination indicators,Geography,Gender,Age group,Immigrant status,Visible minority,Indigenous identity,Disability,LGBTQ2+,Highest level of education,Main activity,Area,Progress,GeoCode,Value
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Men,,,,,,,,,,64.5,35,64.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Ontario,Women,,,,,,,,,,42.7,35,42.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Women,,,,,,,,,,57.3,35,57.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Total,,,,,,,,,,40.3,46,40.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Total,,,,,,,,,,59.7,46,59.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Men,,,,,,,,,,36.1,46,36.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Men,,,,,,,,,,63.9,46,63.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Women,,,,,,,,,,44.5,46,44.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Women,,,,,,,,,,55.5,46,55.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Total,,,,,,,,,,38.7,47,38.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Total,,,,,,,,,,61.3,47,61.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Men,,,,,,,,,,34.1,47,34.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Men,,,,,,,,,,65.9,47,65.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Women,,,,,,,,,,43.4,47,43.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Women,,,,,,,,,,56.6,47,56.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Total,,,,,,,,,,41.4,48,41.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Total,,,,,,,,,,58.6,48,58.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Men,,,,,,,,,,37.3,48,37.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Men,,,,,,,,,,62.7,48,62.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Women,,,,,,,,,,45.4,48,45.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Women,,,,,,,,,,54.6,48,54.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Total,,,,,,,,,,40.4,59,40.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Total,,,,,,,,,,59.6,59,59.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Men,,,,,,,,,,35.1,59,35.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Men,,,,,,,,,,64.9,59,64.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Women,,,,,,,,,,45.5,59,45.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Women,,,,,,,,,,54.5,59,54.5
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,,,,11124,63.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,,,,,,,,,11124,32.4
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,,,,,,,,,11124,67.6
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Women,,,,,,,,,,,11124,41.4
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Women,,,,,,,,,,,11124,58.6
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,,,,,,,,,,,10,23.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,,,,,,,,,,,10,76.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,,,,,,,,,,,10,22.0
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,,,,,,,,,,,10,78.0
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,,,,,,,,,,,10,25.8
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,,,,,,,,,,,10,74.2
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Total,,,,,,,,,,,11,31.0
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Total,,,,,,,,,,,11,69.0
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Men,,,,,,,,,,,11,21.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Men,,,,,,,,,,,11,78.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Women,,,,,,,,,,,11,39.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Women,,,,,,,,,,,11,60.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Total,,,,,,,,,,,12,34.7
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Total,,,,,,,,,,,12,65.3
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Men,,,,,,,,,,,12,28.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Men,,,,,,,,,,,12,71.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Women,,,,,,,,,,,12,40.2
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Women,,,,,,,,,,,12,59.8
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,New Brunswick,Total,,,,,,,,,,,13,28.0
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Total,,,,,,,,,,,13,72.0
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,New Brunswick,Men,,,,,,,,,,,13,26.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Men,,,,,,,,,,,13,73.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,New Brunswick,Women,,,,,,,,,,,13,29.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Women,,,,,,,,,,,13,70.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Quebec,Total,,,,,,,,,,,24,25.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Quebec,Total,,,,,,,,,,,24,74.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Quebec,Men,,,,,,,,,,,24,21.3
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Quebec,Men,,,,,,,,,,,24,78.7
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Quebec,Women,,,,,,,,,,,24,28.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Quebec,Women,,,,,,,,,,,24,71.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Ontario,Total,,,,,,,,,,,35,40.6
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Total,,,,,,,,,,,35,59.4
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Ontario,Men,,,,,,,,,,,35,35.4
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Men,,,,,,,,,,,35,64.6
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Ontario,Women,,,,,,,,,,,35,45.7
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Women,,,,,,,,,,,35,54.3
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Total,,,,,,,,,,,46,36.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Total,,,,,,,,,,,46,63.1
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Men,,,,,,,,,,,46,28.2
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Men,,,,,,,,,,,46,71.8
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Women,,,,,,,,,,,46,45.7
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Women,,,,,,,,,,,46,54.3
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Total,,,,,,,,,,,47,42.4
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Total,,,,,,,,,,,47,57.6
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Men,,,,,,,,,,,47,37.2
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Men,,,,,,,,,,,47,62.8
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Women,,,,,,,,,,,47,47.8
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Women,,,,,,,,,,,47,52.2
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Total,,,,,,,,,,,48,42.7
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Total,,,,,,,,,,,48,57.3
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Men,,,,,,,,,,,48,38.4
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Men,,,,,,,,,,,48,61.6
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Women,,,,,,,,,,,48,47.2
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Women,,,,,,,,,,,48,52.8
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Total,,,,,,,,,,,59,42.7
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Total,,,,,,,,,,,59,57.3
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Men,,,,,,,,,,,59,39.5
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Men,,,,,,,,,,,59,60.5
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Women,,,,,,,,,,,59,45.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Women,,,,,,,,,,,59,54.1
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,,,,11124,69.1
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,,,,,,,,,11124,27.6
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,,,,,,,,,11124,72.4
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Women,,,,,,,,,,,11124,34.1
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Women,,,,,,,,,,,11124,65.9
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,,,,,,,,,,,10,21.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,,,,,,,,,,,10,78.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,,,,,,,,,,,10,16.9
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,,,,,,,,,,,10,83.1
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,,,,,,,,,,,10,25.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,,,,,,,,,,,10,74.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Total,,,,,,,,,,,11,20.5
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Total,,,,,,,,,,,11,79.5
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Men,,,,,,,,,,,11,16.8
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Men,,,,,,,,,,,11,83.2
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Women,,,,,,,,,,,11,24.2
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Women,,,,,,,,,,,11,75.8
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Total,,,,,,,,,,,12,26.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Total,,,,,,,,,,,12,73.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Men,,,,,,,,,,,12,26.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Men,,,,,,,,,,,12,73.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Women,,,,,,,,,,,12,26.8
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Women,,,,,,,,,,,12,73.2
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,New Brunswick,Total,,,,,,,,,,,13,28.4
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Total,,,,,,,,,,,13,71.6
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,New Brunswick,Men,,,,,,,,,,,13,23.1
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Men,,,,,,,,,,,13,76.9
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,New Brunswick,Women,,,,,,,,,,,13,33.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Women,,,,,,,,,,,13,66.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Quebec,Total,,,,,,,,,,,24,19.6
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Quebec,Total,,,,,,,,,,,24,80.4
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Quebec,Men,,,,,,,,,,,24,18.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Quebec,Men,,,,,,,,,,,24,82.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Quebec,Women,,,,,,,,,,,24,21.2
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Quebec,Women,,,,,,,,,,,24,78.8
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Ontario,Total,,,,,,,,,,,35,34.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Total,,,,,,,,,,,35,66.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Ontario,Men,,,,,,,,,,,35,30.8
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Men,,,,,,,,,,,35,69.2
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Ontario,Women,,,,,,,,,,,35,37.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Ontario,Women,,,,,,,,,,,35,63.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Total,,,,,,,,,,,46,30.1
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Total,,,,,,,,,,,46,69.9
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Men,,,,,,,,,,,46,27.8
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Men,,,,,,,,,,,46,72.2
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Manitoba,Women,,,,,,,,,,,46,32.4
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Manitoba,Women,,,,,,,,,,,46,67.6
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Total,,,,,,,,,,,47,35.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Total,,,,,,,,,,,47,65.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Men,,,,,,,,,,,47,30.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Men,,,,,,,,,,,47,70.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Women,,,,,,,,,,,47,40.2
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Women,,,,,,,,,,,47,59.8
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Total,,,,,,,,,,,48,38.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Total,,,,,,,,,,,48,62.0
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Men,,,,,,,,,,,48,32.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Men,,,,,,,,,,,48,67.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Alberta,Women,,,,,,,,,,,48,43.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Alberta,Women,,,,,,,,,,,48,56.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Total,,,,,,,,,,,59,35.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Total,,,,,,,,,,,59,64.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Men,,,,,,,,,,,59,31.7
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Men,,,,,,,,,,,59,68.3
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,British Columbia,Women,,,,,,,,,,,59,39.4
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,British Columbia,Women,,,,,,,,,,,59,60.6
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,,,,11124,74.0
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,,,,,,,,,11124,23.3
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,,,,,,,,,11124,76.7
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Women,,,,,,,,,,,11124,28.8
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Women,,,,,,,,,,,11124,71.2
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,,,,,,,,,,,10,13.9
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,,,,,,,,,,,10,86.1
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,,,,,,,,,,,10,14.6
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,,,,,,,,,,,10,85.4
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,,,,,,,,,,,10,13.2
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,,,,,,,,,,,10,86.8
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Total,,,,,,,,,,,11,18.8
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Total,,,,,,,,,,,11,81.2
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Men,,,,,,,,,,,11,15.7
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Men,,,,,,,,,,,11,84.3
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Women,,,,,,,,,,,11,21.8
