Year,Series,Units,Plus haut niveau de scolarité,Groupe d'âge,Sexe,Emplacement,COMMENT_OBS,Progress,Value
2019,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11718804071646,1.117
2020,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14687396205219,1.147
2021,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14066140693035,1.141
2022,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.13810433678271,1.138
2023,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.1170883422998,1.117
2024,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.12177485994813,1.122
2015,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11715839800036,1.117
2016,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11159771362158,1.112
2017,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.1145909008527,1.115
2018,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.13385077439925,1.134
2019,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.12378627664025,1.124
2020,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.15484909173479,1.155
2021,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.16944755629932,1.169
2022,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.17139456989498,1.171
2023,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14433599571112,1.144
2024,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14786857548566,1.148
2015,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28277087502386,1.283
2016,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28123661472404,1.281
2017,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.27806136178939,1.278
2018,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.32004076107509,1.32
2019,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28798237666548,1.288
2020,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.31056621335261,1.311
2021,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.36756401969512,1.368
2022,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.37452567098064,1.375
2023,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.32126262458731,1.321
2024,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.33002025676523,1.33
2015,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.37176476882011,1.372
2016,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.47957216646554,1.48
2017,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.26305566306284,1.263
2018,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.36879127164433,1.369
2019,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.16997655046194,1.17
2020,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.34375497222709,1.344
2021,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.13603130058076,1.136
2022,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.22087228520994,1.221
2023,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.43706805683941,1.437
2024,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28625381964094,1.286
2015,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre les sexes ajusté,Éducation secondaire de premier cycle,,,,,1.0685693025589,1.069
2018,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre les sexes ajusté,Éducation secondaire de premier cycle,,,,,1.09091019630432,1.091
2022,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre les sexes ajusté,Éducation secondaire de premier cycle,,,,,1.08587451805117,1.086
2018,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre milieu urbain et rural ajusté,Éducation secondaire de premier cycle,,,,,1.0964527462203,0.912
2015,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité de richesse ajusté,Éducation secondaire de premier cycle,,,,,1.16122586829361,0.861
2018,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité de richesse ajusté,Éducation secondaire de premier cycle,,,,,1.17405742289421,0.852
2022,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité de richesse ajusté,Éducation secondaire de premier cycle,,,,,1.42621625989979,0.701
2016,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre les sexes ajusté,Éducation primaire,,,,,1.0,1.011
2021,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre les sexes ajusté,Éducation primaire,,,,,1.0,1.006
2016,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre milieu urbain et rural ajusté,Éducation primaire,,,,,1.18353718641201,0.845
2021,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité entre milieu urbain et rural ajusté,Éducation primaire,,,,,1.0,1.005
2016,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité de richesse ajusté,Éducation primaire,,,,,1.12606624891939,0.888
2021,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,Indice de parité de richesse ajusté,Éducation primaire,,,,,1.0,0.982
