Year,Series,Elements,Data categories,Pillar,Value
2024,Open Data Inventory (ODIN),Data available last 10 years,Money and banking,,100.0
2024,Open Data Inventory (ODIN),Data available last 10 years,International trade,,100.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Balance of payments,,100.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Economic and financial statistics subscore,,100.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Agriculture and land use,,50.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Resource use,,50.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Energy use,,100.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Pollution,,50.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Built environment,,50.0
2024,Open Data Inventory (ODIN),Data available last 10 years,Environment subscore,,60.0
2024,Open Data Inventory (ODIN),Data available last 10 years,All categories,,80.0
2016,Open Data Inventory (ODIN),First administrative level,Population and vital statistics,,100.0
2016,Open Data Inventory (ODIN),First administrative level,Education facilities,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Education outcomes,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Health facilities,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Health outcomes,,100.0
2016,Open Data Inventory (ODIN),First administrative level,Reproductive health,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Gender statistics,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Poverty and income,,100.0
2016,Open Data Inventory (ODIN),First administrative level,Social statistics subscore,,68.8
2016,Open Data Inventory (ODIN),First administrative level,National accounts,,100.0
2016,Open Data Inventory (ODIN),First administrative level,Labor,,100.0
2016,Open Data Inventory (ODIN),First administrative level,Price indexes,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Government finance,,100.0
2016,Open Data Inventory (ODIN),First administrative level,Money and banking,,0.0
2016,Open Data Inventory (ODIN),First administrative level,International trade,,0.0
2016,Open Data Inventory (ODIN),First administrative level,Balance of payments,,0.0
2016,Open Data Inventory (ODIN),First administrative level,Economic and financial statistics subscore,,87.5
2016,Open Data Inventory (ODIN),First administrative level,Agriculture and land use,,100.0
2016,Open Data Inventory (ODIN),First administrative level,Resource use,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Energy use,,0.0
2016,Open Data Inventory (ODIN),First administrative level,Pollution,,0.0
2016,Open Data Inventory (ODIN),First administrative level,Built environment,,50.0
2016,Open Data Inventory (ODIN),First administrative level,Environment subscore,,40.0
2016,Open Data Inventory (ODIN),First administrative level,All categories,,61.7
2017,Open Data Inventory (ODIN),First administrative level,Population and vital statistics,,100.0
2017,Open Data Inventory (ODIN),First administrative level,Education facilities,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Education outcomes,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Health facilities,,100.0
2017,Open Data Inventory (ODIN),First administrative level,Health outcomes,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Reproductive health,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Gender statistics,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Crime and justice,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Poverty and income,,100.0
2017,Open Data Inventory (ODIN),First administrative level,Social statistics subscore,,66.7
2017,Open Data Inventory (ODIN),First administrative level,National accounts,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Labor,,100.0
2017,Open Data Inventory (ODIN),First administrative level,Price indexes,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Government finance,,0.0
2017,Open Data Inventory (ODIN),First administrative level,Money and banking,,0.0
2017,Open Data Inventory (ODIN),First administrative level,International trade,,0.0
2017,Open Data Inventory (ODIN),First administrative level,Balance of payments,,0.0
2017,Open Data Inventory (ODIN),First administrative level,Economic and financial statistics subscore,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Agriculture and land use,,0.0
2017,Open Data Inventory (ODIN),First administrative level,Resource use,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Energy use,,0.0
2017,Open Data Inventory (ODIN),First administrative level,Pollution,,0.0
2017,Open Data Inventory (ODIN),First administrative level,Built environment,,50.0
2017,Open Data Inventory (ODIN),First administrative level,Environment subscore,,20.0
2017,Open Data Inventory (ODIN),First administrative level,All categories,,44.8
2018,Open Data Inventory (ODIN),First administrative level,Population and vital statistics,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Education facilities,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Education outcomes,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Health facilities,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Health outcomes,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Reproductive health,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Gender statistics,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Crime and justice,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Poverty and income,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Social statistics subscore,,66.7
2018,Open Data Inventory (ODIN),First administrative level,National accounts,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Labor,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Price indexes,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Government finance,,0.0
2018,Open Data Inventory (ODIN),First administrative level,Money and banking,,0.0
2018,Open Data Inventory (ODIN),First administrative level,International trade,,0.0
2018,Open Data Inventory (ODIN),First administrative level,Balance of payments,,0.0
2018,Open Data Inventory (ODIN),First administrative level,Economic and financial statistics subscore,,75.0
2018,Open Data Inventory (ODIN),First administrative level,Agriculture and land use,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Resource use,,100.0
2018,Open Data Inventory (ODIN),First administrative level,Energy use,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Pollution,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Built environment,,50.0
2018,Open Data Inventory (ODIN),First administrative level,Environment subscore,,70.0
2018,Open Data Inventory (ODIN),First administrative level,All categories,,69.8
2019,Open Data Inventory (ODIN),First administrative level,Population and vital statistics,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Education facilities,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Education outcomes,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Health facilities,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Health outcomes,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Reproductive health,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Gender statistics,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Crime and justice,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Poverty and income,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Social statistics subscore,,66.7
2019,Open Data Inventory (ODIN),First administrative level,National accounts,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Labor,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Price indexes,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Government finance,,0.0
2019,Open Data Inventory (ODIN),First administrative level,Money and banking,,0.0
2019,Open Data Inventory (ODIN),First administrative level,International trade,,0.0
2019,Open Data Inventory (ODIN),First administrative level,Balance of payments,,0.0
2019,Open Data Inventory (ODIN),First administrative level,Economic and financial statistics subscore,,75.0
2019,Open Data Inventory (ODIN),First administrative level,Agriculture and land use,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Resource use,,100.0
2019,Open Data Inventory (ODIN),First administrative level,Energy use,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Pollution,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Built environment,,50.0
2019,Open Data Inventory (ODIN),First administrative level,Environment subscore,,70.0
2019,Open Data Inventory (ODIN),First administrative level,All categories,,69.8
2020,Open Data Inventory (ODIN),First administrative level,Population and vital statistics,,100.0
2020,Open Data Inventory (ODIN),First administrative level,Education facilities,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Education outcomes,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Health facilities,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Health outcomes,,100.0
2020,Open Data Inventory (ODIN),First administrative level,Reproductive health,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Food security and nutrition,,0.0
2020,Open Data Inventory (ODIN),First administrative level,Gender statistics,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Crime and justice,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Poverty and income,,100.0
2020,Open Data Inventory (ODIN),First administrative level,Social statistics subscore,,60.0
2020,Open Data Inventory (ODIN),First administrative level,National accounts,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Labor,,100.0
2020,Open Data Inventory (ODIN),First administrative level,Price indexes,,100.0
2020,Open Data Inventory (ODIN),First administrative level,Government finance,,0.0
2020,Open Data Inventory (ODIN),First administrative level,Money and banking,,0.0
2020,Open Data Inventory (ODIN),First administrative level,International trade,,0.0
2020,Open Data Inventory (ODIN),First administrative level,Balance of payments,,0.0
2020,Open Data Inventory (ODIN),First administrative level,Economic and financial statistics subscore,,62.5
2020,Open Data Inventory (ODIN),First administrative level,Agriculture and land use,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Resource use,,100.0
2020,Open Data Inventory (ODIN),First administrative level,Energy use,,0.0
2020,Open Data Inventory (ODIN),First administrative level,Pollution,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Built environment,,50.0
2020,Open Data Inventory (ODIN),First administrative level,Environment subscore,,62.5
2020,Open Data Inventory (ODIN),First administrative level,All categories,,61.4
2022,Open Data Inventory (ODIN),First administrative level,Population and vital statistics,,100.0
2022,Open Data Inventory (ODIN),First administrative level,Education facilities,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Education outcomes,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Health facilities,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Health outcomes,,100.0
2022,Open Data Inventory (ODIN),First administrative level,Reproductive health,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Food security and nutrition,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Gender statistics,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Crime and justice,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Poverty and income,,100.0
2022,Open Data Inventory (ODIN),First administrative level,Social statistics subscore,,65.0
2022,Open Data Inventory (ODIN),First administrative level,National accounts,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Labor,,100.0
2022,Open Data Inventory (ODIN),First administrative level,Price indexes,,100.0
2022,Open Data Inventory (ODIN),First administrative level,Government finance,,0.0
2022,Open Data Inventory (ODIN),First administrative level,Economic and financial statistics subscore,,62.5
2022,Open Data Inventory (ODIN),First administrative level,Agriculture and land use,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Resource use,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Pollution,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Built environment,,50.0
2022,Open Data Inventory (ODIN),First administrative level,Environment subscore,,50.0
2022,Open Data Inventory (ODIN),First administrative level,All categories,,59.3
2024,Open Data Inventory (ODIN),First administrative level,Population and vital statistics,,100.0
2024,Open Data Inventory (ODIN),First administrative level,Education facilities,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Education outcomes,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Health facilities,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Health outcomes,,100.0
2024,Open Data Inventory (ODIN),First administrative level,Reproductive health,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Food security and nutrition,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Gender statistics,,100.0
2024,Open Data Inventory (ODIN),First administrative level,Crime and justice,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Poverty and income,,100.0
2024,Open Data Inventory (ODIN),First administrative level,Social statistics subscore,,70.0
2024,Open Data Inventory (ODIN),First administrative level,National accounts,,0.0
2024,Open Data Inventory (ODIN),First administrative level,Labor,,100.0
2024,Open Data Inventory (ODIN),First administrative level,Price indexes,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Government finance,,0.0
2024,Open Data Inventory (ODIN),First administrative level,Economic and financial statistics subscore,,37.5
2024,Open Data Inventory (ODIN),First administrative level,Agriculture and land use,,100.0
2024,Open Data Inventory (ODIN),First administrative level,Resource use,,100.0
2024,Open Data Inventory (ODIN),First administrative level,Built environment,,50.0
2024,Open Data Inventory (ODIN),First administrative level,Environment subscore,,83.3
2024,Open Data Inventory (ODIN),First administrative level,All categories,,65.1
2016,Open Data Inventory (ODIN),Second administrative level,Population and vital statistics,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Education facilities,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Education outcomes,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Health facilities,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Health outcomes,,100.0
2016,Open Data Inventory (ODIN),Second administrative level,Reproductive health,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Gender statistics,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Poverty and income,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Social statistics subscore,,12.5
2016,Open Data Inventory (ODIN),Second administrative level,National accounts,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Labor,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Price indexes,,50.0
2016,Open Data Inventory (ODIN),Second administrative level,Government finance,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Money and banking,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,International trade,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Balance of payments,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Economic and financial statistics subscore,,25.0
2016,Open Data Inventory (ODIN),Second administrative level,Agriculture and land use,,100.0
2016,Open Data Inventory (ODIN),Second administrative level,Resource use,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Energy use,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Pollution,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Built environment,,0.0
2016,Open Data Inventory (ODIN),Second administrative level,Environment subscore,,20.0
2016,Open Data Inventory (ODIN),Second administrative level,All categories,,17.3
2017,Open Data Inventory (ODIN),Second administrative level,Population and vital statistics,,50.0
2017,Open Data Inventory (ODIN),Second administrative level,Education facilities,,50.0
2017,Open Data Inventory (ODIN),Second administrative level,Education outcomes,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Health facilities,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Health outcomes,,50.0
2017,Open Data Inventory (ODIN),Second administrative level,Reproductive health,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Gender statistics,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Crime and justice,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Poverty and income,,50.0
2017,Open Data Inventory (ODIN),Second administrative level,Social statistics subscore,,22.2
2017,Open Data Inventory (ODIN),Second administrative level,National accounts,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Labor,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Price indexes,,50.0
2017,Open Data Inventory (ODIN),Second administrative level,Government finance,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Money and banking,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,International trade,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Balance of payments,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Economic and financial statistics subscore,,25.0
2017,Open Data Inventory (ODIN),Second administrative level,Agriculture and land use,,50.0
2017,Open Data Inventory (ODIN),Second administrative level,Resource use,,50.0
2017,Open Data Inventory (ODIN),Second administrative level,Energy use,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Pollution,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Built environment,,0.0
2017,Open Data Inventory (ODIN),Second administrative level,Environment subscore,,20.0
2017,Open Data Inventory (ODIN),Second administrative level,All categories,,21.6
2018,Open Data Inventory (ODIN),Second administrative level,Population and vital statistics,,100.0
2018,Open Data Inventory (ODIN),Second administrative level,Education facilities,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Education outcomes,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Health facilities,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Health outcomes,,100.0
2018,Open Data Inventory (ODIN),Second administrative level,Reproductive health,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Gender statistics,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Crime and justice,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Poverty and income,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Social statistics subscore,,44.4
2018,Open Data Inventory (ODIN),Second administrative level,National accounts,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Labor,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Price indexes,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Government finance,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Money and banking,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,International trade,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Balance of payments,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Economic and financial statistics subscore,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Agriculture and land use,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Resource use,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Energy use,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Pollution,,0.0
2018,Open Data Inventory (ODIN),Second administrative level,Built environment,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,Environment subscore,,50.0
2018,Open Data Inventory (ODIN),Second administrative level,All categories,,46.4
2019,Open Data Inventory (ODIN),Second administrative level,Population and vital statistics,,100.0
2019,Open Data Inventory (ODIN),Second administrative level,Education facilities,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Education outcomes,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Health facilities,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Health outcomes,,100.0
2019,Open Data Inventory (ODIN),Second administrative level,Reproductive health,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Gender statistics,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Crime and justice,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Poverty and income,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Social statistics subscore,,44.4
2019,Open Data Inventory (ODIN),Second administrative level,National accounts,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Labor,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Price indexes,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Government finance,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Money and banking,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,International trade,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Balance of payments,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Economic and financial statistics subscore,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Agriculture and land use,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Resource use,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Energy use,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Pollution,,0.0
2019,Open Data Inventory (ODIN),Second administrative level,Built environment,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,Environment subscore,,50.0
2019,Open Data Inventory (ODIN),Second administrative level,All categories,,46.4
2020,Open Data Inventory (ODIN),Second administrative level,Population and vital statistics,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Education facilities,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Education outcomes,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Health facilities,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Health outcomes,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Reproductive health,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Food security and nutrition,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Gender statistics,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Crime and justice,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Poverty and income,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Social statistics subscore,,33.3
2020,Open Data Inventory (ODIN),Second administrative level,National accounts,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Labor,,100.0
2020,Open Data Inventory (ODIN),Second administrative level,Price indexes,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Government finance,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Money and banking,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,International trade,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Balance of payments,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Economic and financial statistics subscore,,100.0
2020,Open Data Inventory (ODIN),Second administrative level,Agriculture and land use,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Resource use,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Energy use,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Pollution,,0.0
2020,Open Data Inventory (ODIN),Second administrative level,Built environment,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,Environment subscore,,50.0
2020,Open Data Inventory (ODIN),Second administrative level,All categories,,44.6
2022,Open Data Inventory (ODIN),Second administrative level,Population and vital statistics,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Education facilities,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Education outcomes,,0.0
2022,Open Data Inventory (ODIN),Second administrative level,Health facilities,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Health outcomes,,100.0
2022,Open Data Inventory (ODIN),Second administrative level,Reproductive health,,0.0
2022,Open Data Inventory (ODIN),Second administrative level,Gender statistics,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Crime and justice,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Poverty and income,,100.0
2022,Open Data Inventory (ODIN),Second administrative level,Social statistics subscore,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Labor,,100.0
2022,Open Data Inventory (ODIN),Second administrative level,Economic and financial statistics subscore,,100.0
2022,Open Data Inventory (ODIN),Second administrative level,Agriculture and land use,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Built environment,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,Environment subscore,,50.0
2022,Open Data Inventory (ODIN),Second administrative level,All categories,,55.0
2024,Open Data Inventory (ODIN),Second administrative level,Population and vital statistics,,0.0
2024,Open Data Inventory (ODIN),Second administrative level,Education facilities,,0.0
2024,Open Data Inventory (ODIN),Second administrative level,Education outcomes,,0.0
2024,Open Data Inventory (ODIN),Second administrative level,Health facilities,,100.0
2024,Open Data Inventory (ODIN),Second administrative level,Health outcomes,,100.0
2024,Open Data Inventory (ODIN),Second administrative level,Reproductive health,,0.0
2024,Open Data Inventory (ODIN),Second administrative level,Gender statistics,,0.0
2024,Open Data Inventory (ODIN),Second administrative level,Crime and justice,,50.0
2024,Open Data Inventory (ODIN),Second administrative level,Poverty and income,,100.0
2024,Open Data Inventory (ODIN),Second administrative level,Social statistics subscore,,38.9
2024,Open Data Inventory (ODIN),Second administrative level,Labor,,100.0
2024,Open Data Inventory (ODIN),Second administrative level,Economic and financial statistics subscore,,100.0
2024,Open Data Inventory (ODIN),Second administrative level,Agriculture and land use,,50.0
2024,Open Data Inventory (ODIN),Second administrative level,Built environment,,50.0
2024,Open Data Inventory (ODIN),Second administrative level,Environment subscore,,50.0
2024,Open Data Inventory (ODIN),Second administrative level,All categories,,48.0
2016,Open Data Inventory (ODIN),Coverage subscore,Population and vital statistics,,80.0
2016,Open Data Inventory (ODIN),Coverage subscore,Education facilities,,40.0
2016,Open Data Inventory (ODIN),Coverage subscore,Education outcomes,,40.0
2016,Open Data Inventory (ODIN),Coverage subscore,Health facilities,,30.0
2016,Open Data Inventory (ODIN),Coverage subscore,Health outcomes,,100.0
2016,Open Data Inventory (ODIN),Coverage subscore,Reproductive health,,50.0
2016,Open Data Inventory (ODIN),Coverage subscore,Gender statistics,,50.0
2016,Open Data Inventory (ODIN),Coverage subscore,Poverty and income,,80.0
2016,Open Data Inventory (ODIN),Coverage subscore,Social statistics subscore,,58.8
2016,Open Data Inventory (ODIN),Coverage subscore,National accounts,,100.0
2016,Open Data Inventory (ODIN),Coverage subscore,Labor,,80.0
2016,Open Data Inventory (ODIN),Coverage subscore,Price indexes,,50.0
2016,Open Data Inventory (ODIN),Coverage subscore,Government finance,,100.0
2016,Open Data Inventory (ODIN),Coverage subscore,Money and banking,,100.0
2016,Open Data Inventory (ODIN),Coverage subscore,International trade,,100.0
2016,Open Data Inventory (ODIN),Coverage subscore,Balance of payments,,100.0
2016,Open Data Inventory (ODIN),Coverage subscore,Economic and financial statistics subscore,,87.0
2016,Open Data Inventory (ODIN),Coverage subscore,Agriculture and land use,,70.0
2016,Open Data Inventory (ODIN),Coverage subscore,Resource use,,50.0
2016,Open Data Inventory (ODIN),Coverage subscore,Energy use,,60.0
2016,Open Data Inventory (ODIN),Coverage subscore,Pollution,,30.0
2016,Open Data Inventory (ODIN),Coverage subscore,Built environment,,40.0
2016,Open Data Inventory (ODIN),Coverage subscore,Environment subscore,,50.0
2016,Open Data Inventory (ODIN),Coverage subscore,All categories,,63.5
2017,Open Data Inventory (ODIN),Coverage subscore,Population and vital statistics,,90.0
2017,Open Data Inventory (ODIN),Coverage subscore,Education facilities,,50.0
2017,Open Data Inventory (ODIN),Coverage subscore,Education outcomes,,40.0
2017,Open Data Inventory (ODIN),Coverage subscore,Health facilities,,70.0
2017,Open Data Inventory (ODIN),Coverage subscore,Health outcomes,,60.0
2017,Open Data Inventory (ODIN),Coverage subscore,Reproductive health,,50.0
2017,Open Data Inventory (ODIN),Coverage subscore,Gender statistics,,40.0
2017,Open Data Inventory (ODIN),Coverage subscore,Crime and justice,,40.0
2017,Open Data Inventory (ODIN),Coverage subscore,Poverty and income,,90.0
2017,Open Data Inventory (ODIN),Coverage subscore,Social statistics subscore,,58.9
2017,Open Data Inventory (ODIN),Coverage subscore,National accounts,,87.5
2017,Open Data Inventory (ODIN),Coverage subscore,Labor,,80.0
2017,Open Data Inventory (ODIN),Coverage subscore,Price indexes,,80.0
2017,Open Data Inventory (ODIN),Coverage subscore,Government finance,,75.0
2017,Open Data Inventory (ODIN),Coverage subscore,Money and banking,,83.3
2017,Open Data Inventory (ODIN),Coverage subscore,International trade,,100.0
2017,Open Data Inventory (ODIN),Coverage subscore,Balance of payments,,100.0
2017,Open Data Inventory (ODIN),Coverage subscore,Economic and financial statistics subscore,,85.2
2017,Open Data Inventory (ODIN),Coverage subscore,Agriculture and land use,,30.0
2017,Open Data Inventory (ODIN),Coverage subscore,Resource use,,60.0
2017,Open Data Inventory (ODIN),Coverage subscore,Energy use,,60.0
2017,Open Data Inventory (ODIN),Coverage subscore,Pollution,,60.0
2017,Open Data Inventory (ODIN),Coverage subscore,Built environment,,40.0
2017,Open Data Inventory (ODIN),Coverage subscore,Environment subscore,,50.0
2017,Open Data Inventory (ODIN),Coverage subscore,All categories,,63.0
2018,Open Data Inventory (ODIN),Coverage subscore,Population and vital statistics,,100.0
2018,Open Data Inventory (ODIN),Coverage subscore,Education facilities,,50.0
2018,Open Data Inventory (ODIN),Coverage subscore,Education outcomes,,50.0
2018,Open Data Inventory (ODIN),Coverage subscore,Health facilities,,70.0
2018,Open Data Inventory (ODIN),Coverage subscore,Health outcomes,,100.0
2018,Open Data Inventory (ODIN),Coverage subscore,Reproductive health,,40.0
2018,Open Data Inventory (ODIN),Coverage subscore,Gender statistics,,50.0
2018,Open Data Inventory (ODIN),Coverage subscore,Crime and justice,,80.0
2018,Open Data Inventory (ODIN),Coverage subscore,Poverty and income,,90.0
2018,Open Data Inventory (ODIN),Coverage subscore,Social statistics subscore,,70.0
