Year,Country of origin,Value
1991 to 2000,Lebanon,118.584019142321
2001 to 2010,Lebanon,26.1769306676228
2011 to 2015,Lebanon,13.5941998492589
2016 to 2021,Lebanon,64.4027371425441
1980 to 1990,Oman,0.0
1991 to 2000,Oman,0.657275946132293
2001 to 2010,Oman,1.45059666667392
2011 to 2015,Oman,0.358430647254063
2016 to 2021,Oman,2.11086765770792
1980 to 1990,Qatar,0.0
1991 to 2000,Qatar,16.2766976595659
2001 to 2010,Qatar,2.92520913051376
2011 to 2015,Qatar,1.44189245500935
2016 to 2021,Qatar,16.3384647952258
1980 to 1990,Saudi Arabia,1.31568677839573
1991 to 2000,Saudi Arabia,3.43052600718853
2001 to 2010,Saudi Arabia,2.62344204062293
2011 to 2015,Saudi Arabia,2.15175131039153
2016 to 2021,Saudi Arabia,15.765966923161
1980 to 1990,Tajikistan,0.185227101392204
1991 to 2000,Tajikistan,0.477344779212526
2001 to 2010,Tajikistan,3.92031796914984
2011 to 2015,Tajikistan,0.520599244436963
2016 to 2021,Tajikistan,1.60528644906975
1980 to 1990,Turkmenistan,0.0
1991 to 2000,Turkmenistan,0.218212590124527
2001 to 2010,Turkmenistan,2.33624453363707
2011 to 2015,Turkmenistan,0.402201166544263
2016 to 2021,Turkmenistan,0.775510943622681
1980 to 1990,United Arab Emirates,2.1071929029743
1991 to 2000,United Arab Emirates,10.7328366558141
2001 to 2010,United Arab Emirates,6.12498897501985
2011 to 2015,United Arab Emirates,4.32276258419589
2016 to 2021,United Arab Emirates,30.5860584966794
1980 to 1990,Uzbekistan,0.415342436890305
1991 to 2000,Uzbekistan,0.544636171841911
2001 to 2010,Uzbekistan,2.69496471207922
2011 to 2015,Uzbekistan,0.373990289228317
2016 to 2021,Uzbekistan,0.598646757544457
1980 to 1990,Yemen,0.144010445365623
1991 to 2000,Yemen,1.55418404051213
2001 to 2010,Yemen,1.42030764087761
2011 to 2015,Yemen,0.706042462228092
2016 to 2021,Yemen,3.78281672598935
1980 to 1990,China,0.118326874738994
1991 to 2000,China,0.387527873493662
2001 to 2010,China,1.09168830042546
2011 to 2015,China,0.323033811159694
2016 to 2021,China,0.31336716278374
1980 to 1990,Japan,0.0162074837334906
1991 to 2000,Japan,0.0314891628983126
2001 to 2010,Japan,0.0546084265716958
2011 to 2015,Japan,0.0117854216494857
2016 to 2021,Japan,0.0437621464323909
1980 to 1990,Mongolia,0.0
1991 to 2000,Mongolia,0.0
2001 to 2010,Mongolia,4.62644766173783
2011 to 2015,Mongolia,1.00787638597701
2016 to 2021,Mongolia,2.84450810819551
1980 to 1990,Brunei Darussalam,9.7917299049223
1991 to 2000,Brunei Darussalam,3.06340638536427
2001 to 2010,Brunei Darussalam,3.82314634749342
2011 to 2015,Brunei Darussalam,0.0
2016 to 2021,Brunei Darussalam,0.0
1980 to 1990,Cambodia,169.480695986286
1991 to 2000,Cambodia,5.85730646626976
2001 to 2010,Cambodia,0.999939934642547
2011 to 2015,Cambodia,0.416044852963508
2016 to 2021,Cambodia,0.324018097765745
1980 to 1990,Indonesia,0.141688325112254
1991 to 2000,Indonesia,0.0879312181648496
2001 to 2010,Indonesia,0.194879696743806
2011 to 2015,Indonesia,0.0248281781212001
2016 to 2021,Indonesia,0.0541989355235118
1980 to 1990,Malaysia,2.4111787630552
1991 to 2000,Malaysia,1.45854143853373
2001 to 2010,Malaysia,1.0643464983166
2011 to 2015,Malaysia,0.688374200215237
2016 to 2021,Malaysia,0.568801773996474
1980 to 1990,Myanmar,0.163245556741625
1991 to 2000,Myanmar,1.29163519823818
2001 to 2010,Myanmar,7.28156052694186
2011 to 2015,Myanmar,2.08455174812124
2016 to 2021,Myanmar,0.721142765157686
1980 to 1990,Philippines,0.429560532608286
1991 to 2000,Philippines,0.452115010975657
2001 to 2010,Philippines,0.352926039729196
2011 to 2015,Philippines,0.12818914838693
2016 to 2021,Philippines,0.0928373302972284
1980 to 1990,Singapore,0.986965151247475
1991 to 2000,Singapore,0.619537230470328
2001 to 2010,Singapore,0.492412998994099
2011 to 2015,Singapore,0.271475793996566
2016 to 2021,Singapore,0.180300380433803
1980 to 1990,Thailand,6.4941133556894
1991 to 2000,Thailand,0.730062836984507
2001 to 2010,Thailand,3.06933850761107
2011 to 2015,Thailand,0.439460081895087
2016 to 2021,Thailand,0.418248855615365
1980 to 1990,Viet Nam,81.0507539638277
1991 to 2000,Viet Nam,8.96826924605322
2001 to 2010,Viet Nam,0.497395326483803
2011 to 2015,Viet Nam,0.258555231717522
2016 to 2021,Viet Nam,0.0909686445889776
1980 to 1990,Bangladesh,0.143325668067588
1991 to 2000,Bangladesh,3.28877129976913
2001 to 2010,Bangladesh,1.45528181938137
2011 to 2015,Bangladesh,0.147443196316525
2016 to 2021,Bangladesh,0.599427914944662
1980 to 1990,Bhutan,0.0
1991 to 2000,Bhutan,0.0
2001 to 2010,Bhutan,165.766216987267
2011 to 2015,Bhutan,341.114144731973
2016 to 2021,Bhutan,8.3816189806275
1980 to 1990,India,0.041041763593993
1991 to 2000,India,0.591249513998571
2001 to 2010,India,0.59711023303641
2011 to 2015,India,0.13215100198776
2016 to 2021,India,0.155564313166417
1980 to 1990,Nepal,0.0
1991 to 2000,Nepal,0.264802737848467
2001 to 2010,Nepal,7.77133549303318
2011 to 2015,Nepal,9.54133868539543
2016 to 2021,Nepal,2.06950693488381
1980 to 1990,Pakistan,0.348669088335623
1991 to 2000,Pakistan,4.0384702154735
2001 to 2010,Pakistan,7.26963274106479
2011 to 2015,Pakistan,2.02029245712191
2016 to 2021,Pakistan,3.26115626892748
1980 to 1990,Sri Lanka,14.0326183474803
1991 to 2000,Sri Lanka,176.719778233882
2001 to 2010,Sri Lanka,72.6754133692322
2011 to 2015,Sri Lanka,12.4236912153207
2016 to 2021,Sri Lanka,7.9948244633876
1980 to 1990,Australia,0.0875845256360782
1991 to 2000,Australia,0.313602000697137
2001 to 2010,Australia,0.158073379966335
2011 to 2015,Australia,0.0417571195471257
2016 to 2021,Australia,0.115578220016433
1980 to 1990,Fiji,6.46524414054923
1991 to 2000,Fiji,81.393165825802
2001 to 2010,Fiji,64.7633557956069
2011 to 2015,Fiji,2.17723095412792
2016 to 2021,Fiji,1.09084443358448
1980 to 1990,New Caledonia,5.66681400383077
1991 to 2000,New Caledonia,0.0
2001 to 2010,New Caledonia,0.0
2011 to 2015,New Caledonia,0.0
2016 to 2021,New Caledonia,0.0
1980 to 1990,New Zealand,0.0
1991 to 2000,New Zealand,0.25922961107263
2001 to 2010,New Zealand,0.0
2011 to 2015,New Zealand,0.0
2016 to 2021,New Zealand,0.0
1980 to 1990,Papua New Guinea,0.0
1991 to 2000,Papua New Guinea,0.0
2001 to 2010,Papua New Guinea,0.0
2011 to 2015,Papua New Guinea,0.0
2016 to 2021,Papua New Guinea,0.0998711063501445
