Year,Type d'institution fréquentée,Géographie,Groupe d'âge,GeoCode,Value
2017/2018,Université,Canada,20 à 24 ans,,28
2017/2018,Total taux de participation,Canada,25 à 29 ans,,12
2017/2018,Primaire/Secondaire,Canada,25 à 29 ans,,0
2017/2018,Collège,Canada,25 à 29 ans,,4
2017/2018,Université,Canada,25 à 29 ans,,8
2017/2018,Total taux de participation,Terre-Neuve-et-Labrador,15 à 19 ans,10,83
2017/2018,Primaire/Secondaire,Terre-Neuve-et-Labrador,15 à 19 ans,10,59
2017/2018,Collège,Terre-Neuve-et-Labrador,15 à 19 ans,10,8
2017/2018,Université,Terre-Neuve-et-Labrador,15 à 19 ans,10,15
2017/2018,Total taux de participation,Terre-Neuve-et-Labrador,20 à 24 ans,10,39
2017/2018,Collège,Terre-Neuve-et-Labrador,20 à 24 ans,10,12
2017/2018,Université,Terre-Neuve-et-Labrador,20 à 24 ans,10,26
2017/2018,Total taux de participation,Terre-Neuve-et-Labrador,25 à 29 ans,10,15
2017/2018,Collège,Terre-Neuve-et-Labrador,25 à 29 ans,10,5
2017/2018,Université,Terre-Neuve-et-Labrador,25 à 29 ans,10,9
2017/2018,Total taux de participation,Île-du-Prince-Édouard,15 à 19 ans,11,85
2017/2018,Primaire/Secondaire,Île-du-Prince-Édouard,15 à 19 ans,11,59
2017/2018,Collège,Île-du-Prince-Édouard,15 à 19 ans,11,7
2017/2018,Université,Île-du-Prince-Édouard,15 à 19 ans,11,19
2017/2018,Total taux de participation,Île-du-Prince-Édouard,20 à 24 ans,11,37
2017/2018,Collège,Île-du-Prince-Édouard,20 à 24 ans,11,9
2017/2018,Université,Île-du-Prince-Édouard,20 à 24 ans,11,27
2017/2018,Total taux de participation,Île-du-Prince-Édouard,25 à 29 ans,11,10
2017/2018,Collège,Île-du-Prince-Édouard,25 à 29 ans,11,3
2017/2018,Université,Île-du-Prince-Édouard,25 à 29 ans,11,7
2017/2018,Total taux de participation,Nouvelle-Écosse,15 à 19 ans,12,85
2017/2018,Primaire/Secondaire,Nouvelle-Écosse,15 à 19 ans,12,64
2017/2018,Collège,Nouvelle-Écosse,15 à 19 ans,12,5
2017/2018,Université,Nouvelle-Écosse,15 à 19 ans,12,15
2017/2018,Total taux de participation,Nouvelle-Écosse,20 à 24 ans,12,39
2017/2018,Collège,Nouvelle-Écosse,20 à 24 ans,12,13
2017/2018,Université,Nouvelle-Écosse,20 à 24 ans,12,26
2017/2018,Total taux de participation,Nouvelle-Écosse,25 à 29 ans,12,13
2017/2018,Collège,Nouvelle-Écosse,25 à 29 ans,12,4
2017/2018,Université,Nouvelle-Écosse,25 à 29 ans,12,9
2017/2018,Total taux de participation,Nouveau-Brunswick,15 à 19 ans,13,82
2017/2018,Primaire/Secondaire,Nouveau-Brunswick,15 à 19 ans,13,61
2017/2018,Collège,Nouveau-Brunswick,15 à 19 ans,13,5
2017/2018,Université,Nouveau-Brunswick,15 à 19 ans,13,16
2017/2018,Total taux de participation,Nouveau-Brunswick,20 à 24 ans,13,30
2017/2018,Collège,Nouveau-Brunswick,20 à 24 ans,13,10
2017/2018,Université,Nouveau-Brunswick,20 à 24 ans,13,20
2017/2018,Total taux de participation,Nouveau-Brunswick,25 à 29 ans,13,8
2017/2018,Collège,Nouveau-Brunswick,25 à 29 ans,13,3
2017/2018,Université,Nouveau-Brunswick,25 à 29 ans,13,5
2017/2018,Total taux de participation,Québec,15 à 19 ans,24,85
2017/2018,Primaire/Secondaire,Québec,15 à 19 ans,24,49
2017/2018,Collège,Québec,15 à 19 ans,24,30
2017/2018,Université,Québec,15 à 19 ans,24,6
2017/2018,Total taux de participation,Québec,20 à 24 ans,24,47
2017/2018,Primaire/Secondaire,Québec,20 à 24 ans,24,2
2017/2018,Collège,Québec,20 à 24 ans,24,13
2017/2018,Université,Québec,20 à 24 ans,24,31
2017/2018,Total taux de participation,Québec,25 à 29 ans,24,15
2017/2018,Primaire/Secondaire,Québec,25 à 29 ans,24,1
2017/2018,Collège,Québec,25 à 29 ans,24,2
2017/2018,Université,Québec,25 à 29 ans,24,12
2017/2018,Total taux de participation,Ontario,15 à 19 ans,35,86
2017/2018,Primaire/Secondaire,Ontario,15 à 19 ans,35,61
2017/2018,Collège,Ontario,15 à 19 ans,35,8
2017/2018,Université,Ontario,15 à 19 ans,35,16
2017/2018,Total taux de participation,Ontario,20 à 24 ans,35,42
2017/2018,Primaire/Secondaire,Ontario,20 à 24 ans,35,1
2017/2018,Collège,Ontario,20 à 24 ans,35,12
2017/2018,Université,Ontario,20 à 24 ans,35,28
2017/2018,Total taux de participation,Ontario,25 à 29 ans,35,12
2017/2018,Primaire/Secondaire,Ontario,25 à 29 ans,35,0
2017/2018,Collège,Ontario,25 à 29 ans,35,5
2017/2018,Université,Ontario,25 à 29 ans,35,7
2017/2018,Total taux de participation,Manitoba,15 à 19 ans,46,77
2017/2018,Primaire/Secondaire,Manitoba,15 à 19 ans,46,60
2017/2018,Collège,Manitoba,15 à 19 ans,46,4
2017/2018,Université,Manitoba,15 à 19 ans,46,13
2017/2018,Total taux de participation,Manitoba,20 à 24 ans,46,35
2017/2018,Primaire/Secondaire,Manitoba,20 à 24 ans,46,1
2017/2018,Collège,Manitoba,20 à 24 ans,46,6
2017/2018,Université,Manitoba,20 à 24 ans,46,28
2017/2018,Total taux de participation,Manitoba,25 à 29 ans,46,11
2017/2018,Collège,Manitoba,25 à 29 ans,46,3
2017/2018,Université,Manitoba,25 à 29 ans,46,8
2017/2018,Total taux de participation,Saskatchewan,15 à 19 ans,47,80
2017/2018,Primaire/Secondaire,Saskatchewan,15 à 19 ans,47,63
2017/2018,Collège,Saskatchewan,15 à 19 ans,47,4
2017/2018,Université,Saskatchewan,15 à 19 ans,47,12
2017/2018,Total taux de participation,Saskatchewan,20 à 24 ans,47,32
2017/2018,Primaire/Secondaire,Saskatchewan,20 à 24 ans,47,1
2017/2018,Collège,Saskatchewan,20 à 24 ans,47,6
2017/2018,Université,Saskatchewan,20 à 24 ans,47,25
2017/2018,Total taux de participation,Saskatchewan,25 à 29 ans,47,10
2017/2018,Collège,Saskatchewan,25 à 29 ans,47,2
2017/2018,Université,Saskatchewan,25 à 29 ans,47,8
2017/2018,Total taux de participation,Alberta,15 à 19 ans,48,78
2017/2018,Primaire/Secondaire,Alberta,15 à 19 ans,48,62
2017/2018,Collège,Alberta,15 à 19 ans,48,4
2017/2018,Université,Alberta,15 à 19 ans,48,11
2017/2018,Total taux de participation,Alberta,20 à 24 ans,48,33
2017/2018,Primaire/Secondaire,Alberta,20 à 24 ans,48,1
2017/2018,Collège,Alberta,20 à 24 ans,48,7
2017/2018,Université,Alberta,20 à 24 ans,48,25
2017/2018,Total taux de participation,Alberta,25 à 29 ans,48,9
2017/2018,Collège,Alberta,25 à 29 ans,48,3
2017/2018,Université,Alberta,25 à 29 ans,48,6
2017/2018,Total taux de participation,Colombie-Britannique,15 à 19 ans,59,80
2017/2018,Primaire/Secondaire,Colombie-Britannique,15 à 19 ans,59,59
2017/2018,Collège,Colombie-Britannique,15 à 19 ans,59,6
2017/2018,Université,Colombie-Britannique,15 à 19 ans,59,15
2017/2018,Total taux de participation,Colombie-Britannique,20 à 24 ans,59,38
2017/2018,Primaire/Secondaire,Colombie-Britannique,20 à 24 ans,59,1
2017/2018,Collège,Colombie-Britannique,20 à 24 ans,59,11
2017/2018,Université,Colombie-Britannique,20 à 24 ans,59,26
2017/2018,Total taux de participation,Colombie-Britannique,25 à 29 ans,59,13
2017/2018,Collège,Colombie-Britannique,25 à 29 ans,59,5
2017/2018,Université,Colombie-Britannique,25 à 29 ans,59,8
2017/2018,Total taux de participation,Yukon,15 à 19 ans,60,75
2017/2018,Primaire/Secondaire,Yukon,15 à 19 ans,60,58
2017/2018,Collège,Yukon,15 à 19 ans,60,10
2017/2018,Total taux de participation,Yukon,20 à 24 ans,60,21
2017/2018,Université,Yukon,20 à 24 ans,60,12
2017/2018,Total taux de participation,Yukon,25 à 29 ans,60,9
2017/2018,Total taux de participation,Territoires du Nord-Ouest,15 à 19 ans,61,80
2017/2018,Primaire/Secondaire,Territoires du Nord-Ouest,15 à 19 ans,61,69
2017/2018,Université,Territoires du Nord-Ouest,15 à 19 ans,61,7
2017/2018,Total taux de participation,Territoires du Nord-Ouest,20 à 24 ans,61,23
2017/2018,Université,Territoires du Nord-Ouest,20 à 24 ans,61,11
2017/2018,Total taux de participation,Nunavut,15 à 19 ans,62,64
2017/2018,Primaire/Secondaire,Nunavut,15 à 19 ans,62,60
2017/2018,Total taux de participation,Nunavut,20 à 24 ans,62,8
2018/2019,Total taux de participation,Canada,15 à 19 ans,,83
2018/2019,Primaire/Secondaire,Canada,15 à 19 ans,,58
2018/2019,Collège,Canada,15 à 19 ans,,12
2018/2019,Université,Canada,15 à 19 ans,,13
2018/2019,Total taux de participation,Canada,20 à 24 ans,,42
2018/2019,Primaire/Secondaire,Canada,20 à 24 ans,,1
2018/2019,Collège,Canada,20 à 24 ans,,12
2018/2019,Université,Canada,20 à 24 ans,,29
2018/2019,Total taux de participation,Canada,25 à 29 ans,,12
2018/2019,Primaire/Secondaire,Canada,25 à 29 ans,,0
2018/2019,Collège,Canada,25 à 29 ans,,4
2018/2019,Université,Canada,25 à 29 ans,,7
2018/2019,Total taux de participation,Terre-Neuve-et-Labrador,15 à 19 ans,10,82
2018/2019,Primaire/Secondaire,Terre-Neuve-et-Labrador,15 à 19 ans,10,57
2018/2019,Collège,Terre-Neuve-et-Labrador,15 à 19 ans,10,9
2018/2019,Université,Terre-Neuve-et-Labrador,15 à 19 ans,10,16
2018/2019,Total taux de participation,Terre-Neuve-et-Labrador,20 à 24 ans,10,43
2018/2019,Collège,Terre-Neuve-et-Labrador,20 à 24 ans,10,9
2018/2019,Université,Terre-Neuve-et-Labrador,20 à 24 ans,10,33
2018/2019,Total taux de participation,Terre-Neuve-et-Labrador,25 à 29 ans,10,15
2018/2019,Collège,Terre-Neuve-et-Labrador,25 à 29 ans,10,5
2018/2019,Université,Terre-Neuve-et-Labrador,25 à 29 ans,10,10
2018/2019,Total taux de participation,Île-du-Prince-Édouard,15 à 19 ans,11,84
2018/2019,Primaire/Secondaire,Île-du-Prince-Édouard,15 à 19 ans,11,65
2018/2019,Collège,Île-du-Prince-Édouard,15 à 19 ans,11,6
2018/2019,Université,Île-du-Prince-Édouard,15 à 19 ans,11,14
2018/2019,Total taux de participation,Île-du-Prince-Édouard,20 à 24 ans,11,33
2018/2019,Collège,Île-du-Prince-Édouard,20 à 24 ans,11,7
2018/2019,Université,Île-du-Prince-Édouard,20 à 24 ans,11,26
2018/2019,Total taux de participation,Île-du-Prince-Édouard,25 à 29 ans,11,11
2018/2019,Collège,Île-du-Prince-Édouard,25 à 29 ans,11,4
2018/2019,Université,Île-du-Prince-Édouard,25 à 29 ans,11,7
2018/2019,Total taux de participation,Nouvelle-Écosse,15 à 19 ans,12,86
2018/2019,Primaire/Secondaire,Nouvelle-Écosse,15 à 19 ans,12,66
2018/2019,Collège,Nouvelle-Écosse,15 à 19 ans,12,6
2018/2019,Université,Nouvelle-Écosse,15 à 19 ans,12,15
2018/2019,Total taux de participation,Nouvelle-Écosse,20 à 24 ans,12,36
2018/2019,Primaire/Secondaire,Nouvelle-Écosse,20 à 24 ans,12,1
2018/2019,Collège,Nouvelle-Écosse,20 à 24 ans,12,10
2018/2019,Université,Nouvelle-Écosse,20 à 24 ans,12,25
2018/2019,Total taux de participation,Nouvelle-Écosse,25 à 29 ans,12,13
2018/2019,Collège,Nouvelle-Écosse,25 à 29 ans,12,4
2018/2019,Université,Nouvelle-Écosse,25 à 29 ans,12,9
2018/2019,Total taux de participation,Nouveau-Brunswick,15 à 19 ans,13,80
2018/2019,Primaire/Secondaire,Nouveau-Brunswick,15 à 19 ans,13,59
2018/2019,Collège,Nouveau-Brunswick,15 à 19 ans,13,4
2018/2019,Université,Nouveau-Brunswick,15 à 19 ans,13,16
2018/2019,Total taux de participation,Nouveau-Brunswick,20 à 24 ans,13,29
2018/2019,Collège,Nouveau-Brunswick,20 à 24 ans,13,7
2018/2019,Université,Nouveau-Brunswick,20 à 24 ans,13,22
2018/2019,Total taux de participation,Nouveau-Brunswick,25 à 29 ans,13,10
2018/2019,Collège,Nouveau-Brunswick,25 à 29 ans,13,4
2018/2019,Université,Nouveau-Brunswick,25 à 29 ans,13,6
2018/2019,Total taux de participation,Québec,15 à 19 ans,24,83
2018/2019,Primaire/Secondaire,Québec,15 à 19 ans,24,49
2018/2019,Collège,Québec,15 à 19 ans,24,31
2018/2019,Université,Québec,15 à 19 ans,24,3
2018/2019,Total taux de participation,Québec,20 à 24 ans,24,47
2018/2019,Primaire/Secondaire,Québec,20 à 24 ans,24,2
2018/2019,Collège,Québec,20 à 24 ans,24,13
2018/2019,Université,Québec,20 à 24 ans,24,32
2018/2019,Total taux de participation,Québec,25 à 29 ans,24,15
2018/2019,Primaire/Secondaire,Québec,25 à 29 ans,24,1
2018/2019,Collège,Québec,25 à 29 ans,24,4
2018/2019,Université,Québec,25 à 29 ans,24,10
2018/2019,Total taux de participation,Ontario,15 à 19 ans,35,86
2018/2019,Primaire/Secondaire,Ontario,15 à 19 ans,35,61
2018/2019,Collège,Ontario,15 à 19 ans,35,8
2018/2019,Université,Ontario,15 à 19 ans,35,17
2018/2019,Total taux de participation,Ontario,20 à 24 ans,35,44
2018/2019,Primaire/Secondaire,Ontario,20 à 24 ans,35,1
2018/2019,Collège,Ontario,20 à 24 ans,35,13
2018/2019,Université,Ontario,20 à 24 ans,35,30
2018/2019,Total taux de participation,Ontario,25 à 29 ans,35,12
2018/2019,Primaire/Secondaire,Ontario,25 à 29 ans,35,0
2018/2019,Collège,Ontario,25 à 29 ans,35,5
2018/2019,Université,Ontario,25 à 29 ans,35,6
2018/2019,Total taux de participation,Manitoba,15 à 19 ans,46,77
2018/2019,Primaire/Secondaire,Manitoba,15 à 19 ans,46,60
2018/2019,Collège,Manitoba,15 à 19 ans,46,3
2018/2019,Université,Manitoba,15 à 19 ans,46,14
2018/2019,Total taux de participation,Manitoba,20 à 24 ans,46,35
2018/2019,Primaire/Secondaire,Manitoba,20 à 24 ans,46,1
2018/2019,Collège,Manitoba,20 à 24 ans,46,8
2018/2019,Université,Manitoba,20 à 24 ans,46,26
2018/2019,Total taux de participation,Manitoba,25 à 29 ans,46,10
2018/2019,Collège,Manitoba,25 à 29 ans,46,3
2018/2019,Université,Manitoba,25 à 29 ans,46,7
2018/2019,Total taux de participation,Saskatchewan,15 à 19 ans,47,82
2018/2019,Primaire/Secondaire,Saskatchewan,15 à 19 ans,47,64
2018/2019,Collège,Saskatchewan,15 à 19 ans,47,3
2018/2019,Université,Saskatchewan,15 à 19 ans,47,15
2018/2019,Total taux de participation,Saskatchewan,20 à 24 ans,47,34
2018/2019,Primaire/Secondaire,Saskatchewan,20 à 24 ans,47,2
2018/2019,Collège,Saskatchewan,20 à 24 ans,47,6
2018/2019,Université,Saskatchewan,20 à 24 ans,47,27
2018/2019,Total taux de participation,Saskatchewan,25 à 29 ans,47,9
2018/2019,Collège,Saskatchewan,25 à 29 ans,47,2
2018/2019,Université,Saskatchewan,25 à 29 ans,47,7
2018/2019,Total taux de participation,Alberta,15 à 19 ans,48,79
2018/2019,Primaire/Secondaire,Alberta,15 à 19 ans,48,62
2018/2019,Collège,Alberta,15 à 19 ans,48,4
2018/2019,Université,Alberta,15 à 19 ans,48,13
2018/2019,Total taux de participation,Alberta,20 à 24 ans,48,33
2018/2019,Primaire/Secondaire,Alberta,20 à 24 ans,48,1
2018/2019,Collège,Alberta,20 à 24 ans,48,9
2018/2019,Université,Alberta,20 à 24 ans,48,22
2018/2019,Total taux de participation,Alberta,25 à 29 ans,48,9
2018/2019,Collège,Alberta,25 à 29 ans,48,3
2018/2019,Université,Alberta,25 à 29 ans,48,6
2018/2019,Total taux de participation,Colombie-Britannique,15 à 19 ans,59,83
2018/2019,Primaire/Secondaire,Colombie-Britannique,15 à 19 ans,59,60
2018/2019,Collège,Colombie-Britannique,15 à 19 ans,59,8
2018/2019,Université,Colombie-Britannique,15 à 19 ans,59,15
2018/2019,Total taux de participation,Colombie-Britannique,20 à 24 ans,59,39
2018/2019,Primaire/Secondaire,Colombie-Britannique,20 à 24 ans,59,1
2018/2019,Collège,Colombie-Britannique,20 à 24 ans,59,11
2018/2019,Université,Colombie-Britannique,20 à 24 ans,59,28
2018/2019,Total taux de participation,Colombie-Britannique,25 à 29 ans,59,12
2018/2019,Collège,Colombie-Britannique,25 à 29 ans,59,5
2018/2019,Université,Colombie-Britannique,25 à 29 ans,59,7
2018/2019,Total taux de participation,Yukon,15 à 19 ans,60,81
2018/2019,Primaire/Secondaire,Yukon,15 à 19 ans,60,64
2018/2019,Université,Yukon,15 à 19 ans,60,9
2018/2019,Total taux de participation,Yukon,20 à 24 ans,60,31
2018/2019,Université,Yukon,20 à 24 ans,60,20
2018/2019,Total taux de participation,Territoires du Nord-Ouest,15 à 19 ans,61,85
2018/2019,Primaire/Secondaire,Territoires du Nord-Ouest,15 à 19 ans,61,74
2018/2019,Total taux de participation,Territoires du Nord-Ouest,20 à 24 ans,61,22
2018/2019,Université,Territoires du Nord-Ouest,20 à 24 ans,61,10
2018/2019,Total taux de participation,Nunavut,15 à 19 ans,62,68
2018/2019,Primaire/Secondaire,Nunavut,15 à 19 ans,62,65
2018/2019,Total taux de participation,Nunavut,20 à 24 ans,62,12
2018/2019,Collège,Nunavut,20 à 24 ans,62,8
2018/2019,Total taux de participation,Nunavut,25 à 29 ans,62,8
2019/2020,Total taux de participation,Canada,15 à 19 ans,,81
2019/2020,Primaire/Secondaire,Canada,15 à 19 ans,,57
2019/2020,Collège,Canada,15 à 19 ans,,11
2019/2020,Université,Canada,15 à 19 ans,,13
2019/2020,Total taux de participation,Canada,20 à 24 ans,,41
2019/2020,Primaire/Secondaire,Canada,20 à 24 ans,,1
2019/2020,Collège,Canada,20 à 24 ans,,11
2019/2020,Université,Canada,20 à 24 ans,,29
2019/2020,Total taux de participation,Canada,25 à 29 ans,,12
2019/2020,Primaire/Secondaire,Canada,25 à 29 ans,,0
2019/2020,Collège,Canada,25 à 29 ans,,4
2019/2020,Université,Canada,25 à 29 ans,,8
2019/2020,Total taux de participation,Terre-Neuve-et-Labrador,15 à 19 ans,10,79
2019/2020,Primaire/Secondaire,Terre-Neuve-et-Labrador,15 à 19 ans,10,56
2019/2020,Collège,Terre-Neuve-et-Labrador,15 à 19 ans,10,5
2019/2020,Université,Terre-Neuve-et-Labrador,15 à 19 ans,10,18
2019/2020,Total taux de participation,Terre-Neuve-et-Labrador,20 à 24 ans,10,35
2019/2020,Collège,Terre-Neuve-et-Labrador,20 à 24 ans,10,10
2019/2020,Université,Terre-Neuve-et-Labrador,20 à 24 ans,10,25
2019/2020,Total taux de participation,Terre-Neuve-et-Labrador,25 à 29 ans,10,10
2019/2020,Collège,Terre-Neuve-et-Labrador,25 à 29 ans,10,3
2019/2020,Université,Terre-Neuve-et-Labrador,25 à 29 ans,10,7
2019/2020,Total taux de participation,Île-du-Prince-Édouard,15 à 19 ans,11,82
2019/2020,Primaire/Secondaire,Île-du-Prince-Édouard,15 à 19 ans,11,60
2019/2020,Collège,Île-du-Prince-Édouard,15 à 19 ans,11,7
2019/2020,Université,Île-du-Prince-Édouard,15 à 19 ans,11,14
2019/2020,Total taux de participation,Île-du-Prince-Édouard,20 à 24 ans,11,30
2019/2020,Collège,Île-du-Prince-Édouard,20 à 24 ans,11,8
2019/2020,Université,Île-du-Prince-Édouard,20 à 24 ans,11,22
2019/2020,Total taux de participation,Île-du-Prince-Édouard,25 à 29 ans,11,10
2019/2020,Collège,Île-du-Prince-Édouard,25 à 29 ans,11,3
2019/2020,Université,Île-du-Prince-Édouard,25 à 29 ans,11,6
2019/2020,Total taux de participation,Nouvelle-Écosse,15 à 19 ans,12,84
2019/2020,Primaire/Secondaire,Nouvelle-Écosse,15 à 19 ans,12,64
2019/2020,Collège,Nouvelle-Écosse,15 à 19 ans,12,5
2019/2020,Université,Nouvelle-Écosse,15 à 19 ans,12,15
2019/2020,Total taux de participation,Nouvelle-Écosse,20 à 24 ans,12,33
2019/2020,Primaire/Secondaire,Nouvelle-Écosse,20 à 24 ans,12,1
2019/2020,Collège,Nouvelle-Écosse,20 à 24 ans,12,8
2019/2020,Université,Nouvelle-Écosse,20 à 24 ans,12,24
2019/2020,Total taux de participation,Nouvelle-Écosse,25 à 29 ans,12,11
2019/2020,Collège,Nouvelle-Écosse,25 à 29 ans,12,3
2019/2020,Université,Nouvelle-Écosse,25 à 29 ans,12,8
2019/2020,Total taux de participation,Nouveau-Brunswick,15 à 19 ans,13,76
2019/2020,Primaire/Secondaire,Nouveau-Brunswick,15 à 19 ans,13,57
2019/2020,Collège,Nouveau-Brunswick,15 à 19 ans,13,6
2019/2020,Université,Nouveau-Brunswick,15 à 19 ans,13,13
2019/2020,Total taux de participation,Nouveau-Brunswick,20 à 24 ans,13,30
2019/2020,Collège,Nouveau-Brunswick,20 à 24 ans,13,10
2019/2020,Université,Nouveau-Brunswick,20 à 24 ans,13,20
2019/2020,Total taux de participation,Nouveau-Brunswick,25 à 29 ans,13,6
2019/2020,Collège,Nouveau-Brunswick,25 à 29 ans,13,2
2019/2020,Université,Nouveau-Brunswick,25 à 29 ans,13,4
2019/2020,Total taux de participation,Québec,15 à 19 ans,24,79
2019/2020,Primaire/Secondaire,Québec,15 à 19 ans,24,46
2019/2020,Collège,Québec,15 à 19 ans,24,29
2019/2020,Université,Québec,15 à 19 ans,24,4
2019/2020,Total taux de participation,Québec,20 à 24 ans,24,46
2019/2020,Primaire/Secondaire,Québec,20 à 24 ans,24,2
2019/2020,Collège,Québec,20 à 24 ans,24,12
2019/2020,Université,Québec,20 à 24 ans,24,32
2019/2020,Total taux de participation,Québec,25 à 29 ans,24,14
2019/2020,Primaire/Secondaire,Québec,25 à 29 ans,24,1
2019/2020,Collège,Québec,25 à 29 ans,24,3
2019/2020,Université,Québec,25 à 29 ans,24,10
2019/2020,Total taux de participation,Ontario,15 à 19 ans,35,85
2019/2020,Primaire/Secondaire,Ontario,15 à 19 ans,35,60
2019/2020,Collège,Ontario,15 à 19 ans,35,8
2019/2020,Université,Ontario,15 à 19 ans,35,18
2019/2020,Total taux de participation,Ontario,20 à 24 ans,35,42
2019/2020,Primaire/Secondaire,Ontario,20 à 24 ans,35,1
2019/2020,Collège,Ontario,20 à 24 ans,35,12
2019/2020,Université,Ontario,20 à 24 ans,35,29
2019/2020,Total taux de participation,Ontario,25 à 29 ans,35,11
2019/2020,Primaire/Secondaire,Ontario,25 à 29 ans,35,0
2019/2020,Collège,Ontario,25 à 29 ans,35,5
2019/2020,Université,Ontario,25 à 29 ans,35,6
2019/2020,Total taux de participation,Manitoba,15 à 19 ans,46,76
2019/2020,Primaire/Secondaire,Manitoba,15 à 19 ans,46,58
2019/2020,Collège,Manitoba,15 à 19 ans,46,3
2019/2020,Université,Manitoba,15 à 19 ans,46,15
2019/2020,Total taux de participation,Manitoba,20 à 24 ans,46,34
2019/2020,Primaire/Secondaire,Manitoba,20 à 24 ans,46,1
2019/2020,Collège,Manitoba,20 à 24 ans,46,8
2019/2020,Université,Manitoba,20 à 24 ans,46,25
2019/2020,Total taux de participation,Manitoba,25 à 29 ans,46,12
2019/2020,Collège,Manitoba,25 à 29 ans,46,4
2019/2020,Université,Manitoba,25 à 29 ans,46,8
2019/2020,Total taux de participation,Saskatchewan,15 à 19 ans,47,76
2019/2020,Primaire/Secondaire,Saskatchewan,15 à 19 ans,47,61
2019/2020,Collège,Saskatchewan,15 à 19 ans,47,2
2019/2020,Université,Saskatchewan,15 à 19 ans,47,13
2019/2020,Total taux de participation,Saskatchewan,20 à 24 ans,47,31
2019/2020,Primaire/Secondaire,Saskatchewan,20 à 24 ans,47,2
2019/2020,Collège,Saskatchewan,20 à 24 ans,47,6
2019/2020,Université,Saskatchewan,20 à 24 ans,47,23
2019/2020,Total taux de participation,Saskatchewan,25 à 29 ans,47,12
2019/2020,Collège,Saskatchewan,25 à 29 ans,47,2
2019/2020,Université,Saskatchewan,25 à 29 ans,47,9
2019/2020,Total taux de participation,Alberta,15 à 19 ans,48,78
2019/2020,Primaire/Secondaire,Alberta,15 à 19 ans,48,61
2019/2020,Collège,Alberta,15 à 19 ans,48,5
2019/2020,Université,Alberta,15 à 19 ans,48,12
2019/2020,Total taux de participation,Alberta,20 à 24 ans,48,35
2019/2020,Collège,Alberta,20 à 24 ans,48,6
2019/2020,Université,Alberta,20 à 24 ans,48,28
2019/2020,Total taux de participation,Alberta,25 à 29 ans,48,9
2019/2020,Collège,Alberta,25 à 29 ans,48,3
2019/2020,Université,Alberta,25 à 29 ans,48,7
2019/2020,Total taux de participation,Colombie-Britannique,15 à 19 ans,59,75
2019/2020,Primaire/Secondaire,Colombie-Britannique,15 à 19 ans,59,56
2019/2020,Collège,Colombie-Britannique,15 à 19 ans,59,5
2019/2020,Université,Colombie-Britannique,15 à 19 ans,59,13
2019/2020,Total taux de participation,Colombie-Britannique,20 à 24 ans,59,42
2019/2020,Primaire/Secondaire,Colombie-Britannique,20 à 24 ans,59,1
2019/2020,Collège,Colombie-Britannique,20 à 24 ans,59,12
2019/2020,Université,Colombie-Britannique,20 à 24 ans,59,30
2019/2020,Total taux de participation,Colombie-Britannique,25 à 29 ans,59,13
2019/2020,Collège,Colombie-Britannique,25 à 29 ans,59,4
2019/2020,Université,Colombie-Britannique,25 à 29 ans,59,9
2019/2020,Total taux de participation,Yukon,15 à 19 ans,60,71
2019/2020,Primaire/Secondaire,Yukon,15 à 19 ans,60,59
2019/2020,Total taux de participation,Yukon,20 à 24 ans,60,28
2019/2020,Collège,Yukon,20 à 24 ans,60,12
2019/2020,Université,Yukon,20 à 24 ans,60,13
2019/2020,Total taux de participation,Territoires du Nord-Ouest,15 à 19 ans,61,77
2019/2020,Primaire/Secondaire,Territoires du Nord-Ouest,15 à 19 ans,61,68
2019/2020,Total taux de participation,Territoires du Nord-Ouest,20 à 24 ans,61,29
2019/2020,Université,Territoires du Nord-Ouest,20 à 24 ans,61,18
2019/2020,Total taux de participation,Nunavut,15 à 19 ans,62,61
2019/2020,Primaire/Secondaire,Nunavut,15 à 19 ans,62,59
2019/2020,Total taux de participation,Nunavut,20 à 24 ans,62,13
2020/2021,Total taux de participation,Canada,15 à 19 ans,,84
2020/2021,Primaire/Secondaire,Canada,15 à 19 ans,,59
2020/2021,Collège,Canada,15 à 19 ans,,11
2020/2021,Université,Canada,15 à 19 ans,,13
2020/2021,Total taux de participation,Canada,20 à 24 ans,,43
2020/2021,Primaire/Secondaire,Canada,20 à 24 ans,,1
2020/2021,Collège,Canada,20 à 24 ans,,11
2020/2021,Université,Canada,20 à 24 ans,,31
2020/2021,Total taux de participation,Canada,25 à 29 ans,,12
2020/2021,Primaire/Secondaire,Canada,25 à 29 ans,,0
2020/2021,Collège,Canada,25 à 29 ans,,4
2020/2021,Université,Canada,25 à 29 ans,,8
2020/2021,Total taux de participation,Terre-Neuve-et-Labrador,15 à 19 ans,10,78
2020/2021,Primaire/Secondaire,Terre-Neuve-et-Labrador,15 à 19 ans,10,58
2020/2021,Collège,Terre-Neuve-et-Labrador,15 à 19 ans,10,4
2020/2021,Université,Terre-Neuve-et-Labrador,15 à 19 ans,10,16
2020/2021,Total taux de participation,Terre-Neuve-et-Labrador,20 à 24 ans,10,40
2020/2021,Collège,Terre-Neuve-et-Labrador,20 à 24 ans,10,9
2020/2021,Université,Terre-Neuve-et-Labrador,20 à 24 ans,10,30
2020/2021,Total taux de participation,Terre-Neuve-et-Labrador,25 à 29 ans,10,15
