Year,Household income quintile,Household income decile,Geography,Series,GeoCode,Value
2013-2018,,Second decile,Prince Edward Island,Income per capita,11,0.288
2013-2018,,Third decile,Prince Edward Island,Income per capita,11,0.183
2013-2018,,Fourth decile,Prince Edward Island,Income per capita,11,-0.869
2013-2018,,Total deciles,Nova Scotia,Income per capita,12,-0.179
2013-2018,,Lowest decile,Nova Scotia,Income per capita,12,0.916
2013-2018,,Second decile,Nova Scotia,Income per capita,12,0.046
2013-2018,,Third decile,Nova Scotia,Income per capita,12,0.056
2013-2018,,Fourth decile,Nova Scotia,Income per capita,12,0.119
2013-2018,,Total deciles,New Brunswick,Income per capita,13,0.975
2013-2018,,Lowest decile,New Brunswick,Income per capita,13,2.345
2013-2018,,Second decile,New Brunswick,Income per capita,13,0.831
2013-2018,,Third decile,New Brunswick,Income per capita,13,1.025
2013-2018,,Fourth decile,New Brunswick,Income per capita,13,0.93
2013-2018,,Total deciles,Quebec,Income per capita,24,0.445
2013-2018,,Lowest decile,Quebec,Income per capita,24,1.983
2013-2018,,Second decile,Quebec,Income per capita,24,0.678
2013-2018,,Third decile,Quebec,Income per capita,24,0.884
2013-2018,,Fourth decile,Quebec,Income per capita,24,0.786
2013-2018,,Total deciles,Ontario,Income per capita,35,0.1
2013-2018,,Lowest decile,Ontario,Income per capita,35,0.431
2013-2018,,Second decile,Ontario,Income per capita,35,1.398
2013-2018,,Third decile,Ontario,Income per capita,35,1.379
2013-2018,,Fourth decile,Ontario,Income per capita,35,0.738
2013-2018,,Total deciles,Manitoba,Income per capita,46,-0.662
2013-2018,,Lowest decile,Manitoba,Income per capita,46,-0.856
2013-2018,,Second decile,Manitoba,Income per capita,46,-0.231
2013-2018,,Third decile,Manitoba,Income per capita,46,-0.406
2013-2018,,Fourth decile,Manitoba,Income per capita,46,-0.276
2013-2018,,Total deciles,Saskatchewan,Income per capita,47,-1.231
2013-2018,,Lowest decile,Saskatchewan,Income per capita,47,-1.414
2013-2018,,Second decile,Saskatchewan,Income per capita,47,-0.074
2013-2018,,Third decile,Saskatchewan,Income per capita,47,-0.34
2013-2018,,Fourth decile,Saskatchewan,Income per capita,47,-0.588
2013-2018,,Total deciles,Alberta,Income per capita,48,-2.224
2013-2018,,Lowest decile,Alberta,Income per capita,48,-0.139
2013-2018,,Second decile,Alberta,Income per capita,48,-1.67
2013-2018,,Third decile,Alberta,Income per capita,48,-2.073
2013-2018,,Fourth decile,Alberta,Income per capita,48,-1.618
2013-2018,,Total deciles,British Columbia,Income per capita,59,-0.568
2013-2018,,Lowest decile,British Columbia,Income per capita,59,4.158
2013-2018,,Second decile,British Columbia,Income per capita,59,1.076
2013-2018,,Third decile,British Columbia,Income per capita,59,0.453
2013-2018,,Fourth decile,British Columbia,Income per capita,59,-0.3
2014-2019,,Total deciles,Canada,Income per capita,,-0.373
2014-2019,,Lowest decile,Canada,Income per capita,,0.89
2014-2019,,Second decile,Canada,Income per capita,,0.395
2014-2019,,Third decile,Canada,Income per capita,,-0.044
2014-2019,,Fourth decile,Canada,Income per capita,,-0.096
2014-2019,,Total deciles,Newfoundland and Labrador,Income per capita,10,-0.488
2014-2019,,Lowest decile,Newfoundland and Labrador,Income per capita,10,-0.102
2014-2019,,Second decile,Newfoundland and Labrador,Income per capita,10,0.509
2014-2019,,Third decile,Newfoundland and Labrador,Income per capita,10,0.068
2014-2019,,Fourth decile,Newfoundland and Labrador,Income per capita,10,-1.333
2014-2019,,Total deciles,Prince Edward Island,Income per capita,11,-1.256
2014-2019,,Lowest decile,Prince Edward Island,Income per capita,11,-4.128
2014-2019,,Second decile,Prince Edward Island,Income per capita,11,-1.41
2014-2019,,Third decile,Prince Edward Island,Income per capita,11,-0.688
2014-2019,,Fourth decile,Prince Edward Island,Income per capita,11,-0.922
2014-2019,,Total deciles,Nova Scotia,Income per capita,12,-0.506
2014-2019,,Lowest decile,Nova Scotia,Income per capita,12,0.267
2014-2019,,Second decile,Nova Scotia,Income per capita,12,0.572
2014-2019,,Third decile,Nova Scotia,Income per capita,12,0.24
2014-2019,,Fourth decile,Nova Scotia,Income per capita,12,0.124
2014-2019,,Total deciles,New Brunswick,Income per capita,13,0.626
2014-2019,,Lowest decile,New Brunswick,Income per capita,13,0.946
2014-2019,,Second decile,New Brunswick,Income per capita,13,1.235
2014-2019,,Third decile,New Brunswick,Income per capita,13,1.546
2014-2019,,Fourth decile,New Brunswick,Income per capita,13,0.838
2014-2019,,Total deciles,Quebec,Income per capita,24,0.819
2014-2019,,Lowest decile,Quebec,Income per capita,24,-0.014
2014-2019,,Second decile,Quebec,Income per capita,24,0.555
2014-2019,,Third decile,Quebec,Income per capita,24,0.57
2014-2019,,Fourth decile,Quebec,Income per capita,24,0.613
2014-2019,,Total deciles,Ontario,Income per capita,35,-0.273
2014-2019,,Lowest decile,Ontario,Income per capita,35,0.963
2014-2019,,Second decile,Ontario,Income per capita,35,0.384
2014-2019,,Third decile,Ontario,Income per capita,35,-0.046
2014-2019,,Fourth decile,Ontario,Income per capita,35,0.244
2014-2019,,Total deciles,Manitoba,Income per capita,46,-1.078
2014-2019,,Lowest decile,Manitoba,Income per capita,46,-0.88
2014-2019,,Second decile,Manitoba,Income per capita,46,-0.402
2014-2019,,Third decile,Manitoba,Income per capita,46,-0.664
2014-2019,,Fourth decile,Manitoba,Income per capita,46,-0.925
2014-2019,,Total deciles,Saskatchewan,Income per capita,47,-2.27
2014-2019,,Lowest decile,Saskatchewan,Income per capita,47,-4.089
2014-2019,,Second decile,Saskatchewan,Income per capita,47,-0.914
2014-2019,,Third decile,Saskatchewan,Income per capita,47,-1.113
2014-2019,,Fourth decile,Saskatchewan,Income per capita,47,-1.793
2014-2019,,Total deciles,Alberta,Income per capita,48,-2.104
2014-2019,,Lowest decile,Alberta,Income per capita,48,2.096
2014-2019,,Second decile,Alberta,Income per capita,48,-0.799
2014-2019,,Third decile,Alberta,Income per capita,48,-1.724
2014-2019,,Fourth decile,Alberta,Income per capita,48,-1.255
2014-2019,,Total deciles,British Columbia,Income per capita,59,-0.23
2014-2019,,Lowest decile,British Columbia,Income per capita,59,2.995
2014-2019,,Second decile,British Columbia,Income per capita,59,0.689
2014-2019,,Third decile,British Columbia,Income per capita,59,-0.197
2014-2019,,Fourth decile,British Columbia,Income per capita,59,-0.386
2015-2020,,Total deciles,Canada,Income per capita,,0.459
2015-2020,,Lowest decile,Canada,Income per capita,,5.287
2015-2020,,Second decile,Canada,Income per capita,,3.181
2015-2020,,Third decile,Canada,Income per capita,,2.029
2015-2020,,Fourth decile,Canada,Income per capita,,1.207
2015-2020,,Total deciles,Newfoundland and Labrador,Income per capita,10,0.12
2015-2020,,Lowest decile,Newfoundland and Labrador,Income per capita,10,5.173
2015-2020,,Second decile,Newfoundland and Labrador,Income per capita,10,3.316
2015-2020,,Third decile,Newfoundland and Labrador,Income per capita,10,2.571
2015-2020,,Fourth decile,Newfoundland and Labrador,Income per capita,10,1.696
2015-2020,,Total deciles,Prince Edward Island,Income per capita,11,-0.043
2015-2020,,Lowest decile,Prince Edward Island,Income per capita,11,6.027
2015-2020,,Second decile,Prince Edward Island,Income per capita,11,1.871
2015-2020,,Third decile,Prince Edward Island,Income per capita,11,1.085
2015-2020,,Fourth decile,Prince Edward Island,Income per capita,11,-0.088
2015-2020,,Total deciles,Nova Scotia,Income per capita,12,0.32
2015-2020,,Lowest decile,Nova Scotia,Income per capita,12,3.101
2015-2020,,Second decile,Nova Scotia,Income per capita,12,3.462
2015-2020,,Third decile,Nova Scotia,Income per capita,12,2.739
2015-2020,,Fourth decile,Nova Scotia,Income per capita,12,1.433
2015-2020,,Total deciles,New Brunswick,Income per capita,13,1.854
2015-2020,,Lowest decile,New Brunswick,Income per capita,13,6.312
2015-2020,,Second decile,New Brunswick,Income per capita,13,3.208
2015-2020,,Third decile,New Brunswick,Income per capita,13,2.268
2015-2020,,Fourth decile,New Brunswick,Income per capita,13,1.381
2015-2020,,Total deciles,Quebec,Income per capita,24,1.925
2015-2020,,Lowest decile,Quebec,Income per capita,24,6.06
2015-2020,,Second decile,Quebec,Income per capita,24,3.751
2015-2020,,Third decile,Quebec,Income per capita,24,3.17
2015-2020,,Fourth decile,Quebec,Income per capita,24,2.45
2015-2020,,Total deciles,Ontario,Income per capita,35,0.504
2015-2020,,Lowest decile,Ontario,Income per capita,35,5.372
2015-2020,,Second decile,Ontario,Income per capita,35,3.057
2015-2020,,Third decile,Ontario,Income per capita,35,1.85
2015-2020,,Fourth decile,Ontario,Income per capita,35,0.87
2015-2020,,Total deciles,Manitoba,Income per capita,46,0.19
2015-2020,,Lowest decile,Manitoba,Income per capita,46,4.859
2015-2020,,Second decile,Manitoba,Income per capita,46,2.728
2015-2020,,Third decile,Manitoba,Income per capita,46,1.517
2015-2020,,Fourth decile,Manitoba,Income per capita,46,1.006
2015-2020,,Total deciles,Saskatchewan,Income per capita,47,-0.847
2015-2020,,Lowest decile,Saskatchewan,Income per capita,47,4.64
2015-2020,,Second decile,Saskatchewan,Income per capita,47,1.924
2015-2020,,Third decile,Saskatchewan,Income per capita,47,0.335
2015-2020,,Fourth decile,Saskatchewan,Income per capita,47,-0.207
2015-2020,,Total deciles,Alberta,Income per capita,48,-2.21
2015-2020,,Lowest decile,Alberta,Income per capita,48,0.641
2015-2020,,Second decile,Alberta,Income per capita,48,-0.033
2015-2020,,Third decile,Alberta,Income per capita,48,-0.329
2015-2020,,Fourth decile,Alberta,Income per capita,48,-0.906
2015-2020,,Total deciles,British Columbia,Income per capita,59,0.974
2015-2020,,Lowest decile,British Columbia,Income per capita,59,7.622
2015-2020,,Second decile,British Columbia,Income per capita,59,5.321
2015-2020,,Third decile,British Columbia,Income per capita,59,3.2
2015-2020,,Fourth decile,British Columbia,Income per capita,59,1.8
2016-2021,,Total deciles,Canada,Income per capita,,0.615
2016-2021,,Lowest decile,Canada,Income per capita,,2.695
2016-2021,,Second decile,Canada,Income per capita,,2.075
2016-2021,,Third decile,Canada,Income per capita,,1.571
2016-2021,,Fourth decile,Canada,Income per capita,,1.238
2016-2021,,Total deciles,Newfoundland and Labrador,Income per capita,10,1.027
2016-2021,,Lowest decile,Newfoundland and Labrador,Income per capita,10,3.195
2016-2021,,Second decile,Newfoundland and Labrador,Income per capita,10,2.308
2016-2021,,Third decile,Newfoundland and Labrador,Income per capita,10,2.626
2016-2021,,Fourth decile,Newfoundland and Labrador,Income per capita,10,1.913
2016-2021,,Total deciles,Prince Edward Island,Income per capita,11,0.106
2016-2021,,Lowest decile,Prince Edward Island,Income per capita,11,1.726
2016-2021,,Second decile,Prince Edward Island,Income per capita,11,1.648
2016-2021,,Third decile,Prince Edward Island,Income per capita,11,1.624
2016-2021,,Fourth decile,Prince Edward Island,Income per capita,11,0.756
2016-2021,,Total deciles,Nova Scotia,Income per capita,12,0.017
2016-2021,,Lowest decile,Nova Scotia,Income per capita,12,4.508
2016-2021,,Second decile,Nova Scotia,Income per capita,12,2.21
2016-2021,,Third decile,Nova Scotia,Income per capita,12,1.382
2016-2021,,Fourth decile,Nova Scotia,Income per capita,12,0.52
2016-2021,,Total deciles,New Brunswick,Income per capita,13,1.179
2016-2021,,Lowest decile,New Brunswick,Income per capita,13,2.306
2016-2021,,Second decile,New Brunswick,Income per capita,13,2.744
2016-2021,,Third decile,New Brunswick,Income per capita,13,2.404
2016-2021,,Fourth decile,New Brunswick,Income per capita,13,1.73
2016-2021,,Total deciles,Quebec,Income per capita,24,1.606
2016-2021,,Lowest decile,Quebec,Income per capita,24,5.082
2016-2021,,Second decile,Quebec,Income per capita,24,2.364
2016-2021,,Third decile,Quebec,Income per capita,24,2.424
2016-2021,,Fourth decile,Quebec,Income per capita,24,2.232
2016-2021,,Total deciles,Ontario,Income per capita,35,0.408
2016-2021,,Lowest decile,Ontario,Income per capita,35,1.787
2016-2021,,Second decile,Ontario,Income per capita,35,2.445
2016-2021,,Third decile,Ontario,Income per capita,35,1.582
2016-2021,,Fourth decile,Ontario,Income per capita,35,1.114
2016-2021,,Total deciles,Manitoba,Income per capita,46,-0.328
2016-2021,,Lowest decile,Manitoba,Income per capita,46,1.035
2016-2021,,Second decile,Manitoba,Income per capita,46,0.644
2016-2021,,Third decile,Manitoba,Income per capita,46,0.26
2016-2021,,Fourth decile,Manitoba,Income per capita,46,-0.044
2016-2021,,Total deciles,Saskatchewan,Income per capita,47,-0.589
2016-2021,,Lowest decile,Saskatchewan,Income per capita,47,-3.325
2016-2021,,Second decile,Saskatchewan,Income per capita,47,0.435
2016-2021,,Third decile,Saskatchewan,Income per capita,47,0.475
2016-2021,,Fourth decile,Saskatchewan,Income per capita,47,0.111
2016-2021,,Total deciles,Alberta,Income per capita,48,-0.325
2016-2021,,Lowest decile,Alberta,Income per capita,48,0.449
2016-2021,,Second decile,Alberta,Income per capita,48,0.135
2016-2021,,Third decile,Alberta,Income per capita,48,-0.119
2016-2021,,Fourth decile,Alberta,Income per capita,48,-0.605
2016-2021,,Total deciles,British Columbia,Income per capita,59,1.147
2016-2021,,Lowest decile,British Columbia,Income per capita,59,5.001
2016-2021,,Second decile,British Columbia,Income per capita,59,3.003
2016-2021,,Third decile,British Columbia,Income per capita,59,1.897
2016-2021,,Fourth decile,British Columbia,Income per capita,59,1.284
2017-2022,,Total deciles,Canada,Income per capita,,-0.196
2017-2022,,Lowest decile,Canada,Income per capita,,-0.584
2017-2022,,Second decile,Canada,Income per capita,,0.58
2017-2022,,Third decile,Canada,Income per capita,,0.505
2017-2022,,Fourth decile,Canada,Income per capita,,0.31
2017-2022,,Total deciles,Newfoundland and Labrador,Income per capita,10,0.275
2017-2022,,Lowest decile,Newfoundland and Labrador,Income per capita,10,1.153
2017-2022,,Second decile,Newfoundland and Labrador,Income per capita,10,1.126
2017-2022,,Third decile,Newfoundland and Labrador,Income per capita,10,1.442
2017-2022,,Fourth decile,Newfoundland and Labrador,Income per capita,10,1.426
2017-2022,,Total deciles,Prince Edward Island,Income per capita,11,-1.193
2017-2022,,Lowest decile,Prince Edward Island,Income per capita,11,3.035
2017-2022,,Second decile,Prince Edward Island,Income per capita,11,0.697
2017-2022,,Third decile,Prince Edward Island,Income per capita,11,0.324
2017-2022,,Fourth decile,Prince Edward Island,Income per capita,11,-0.03
2017-2022,,Total deciles,Nova Scotia,Income per capita,12,-1.045
2017-2022,,Lowest decile,Nova Scotia,Income per capita,12,1.181
2017-2022,,Second decile,Nova Scotia,Income per capita,12,0.255
2017-2022,,Third decile,Nova Scotia,Income per capita,12,-0.274
2017-2022,,Fourth decile,Nova Scotia,Income per capita,12,-0.945
2017-2022,,Total deciles,New Brunswick,Income per capita,13,-0.47
2017-2022,,Lowest decile,New Brunswick,Income per capita,13,0.522
2017-2022,,Second decile,New Brunswick,Income per capita,13,-0.238
2017-2022,,Third decile,New Brunswick,Income per capita,13,-0.683
2017-2022,,Fourth decile,New Brunswick,Income per capita,13,-0.313
2017-2022,,Total deciles,Quebec,Income per capita,24,1.203
2017-2022,,Lowest decile,Quebec,Income per capita,24,4.23
2017-2022,,Second decile,Quebec,Income per capita,24,2.342
2017-2022,,Third decile,Quebec,Income per capita,24,1.897
2017-2022,,Fourth decile,Quebec,Income per capita,24,1.74
2017-2022,,Total deciles,Ontario,Income per capita,35,-0.337
2017-2022,,Lowest decile,Ontario,Income per capita,35,-2.747
2017-2022,,Second decile,Ontario,Income per capita,35,0.402
2017-2022,,Third decile,Ontario,Income per capita,35,0.504
2017-2022,,Fourth decile,Ontario,Income per capita,35,0.212
2017-2022,,Total deciles,Manitoba,Income per capita,46,-1.567
2017-2022,,Lowest decile,Manitoba,Income per capita,46,-2.499
2017-2022,,Second decile,Manitoba,Income per capita,46,-0.443
2017-2022,,Third decile,Manitoba,Income per capita,46,-0.471
2017-2022,,Fourth decile,Manitoba,Income per capita,46,-0.339
2017-2022,,Total deciles,Saskatchewan,Income per capita,47,-0.877
2017-2022,,Lowest decile,Saskatchewan,Income per capita,47,-2.423
2017-2022,,Second decile,Saskatchewan,Income per capita,47,0.185
2017-2022,,Third decile,Saskatchewan,Income per capita,47,0.229
2017-2022,,Fourth decile,Saskatchewan,Income per capita,47,-0.281
2017-2022,,Total deciles,Alberta,Income per capita,48,-1.621
2017-2022,,Lowest decile,Alberta,Income per capita,48,-3.245
2017-2022,,Second decile,Alberta,Income per capita,48,-1.628
2017-2022,,Third decile,Alberta,Income per capita,48,-1.154
2017-2022,,Fourth decile,Alberta,Income per capita,48,-1.28
2017-2022,,Total deciles,British Columbia,Income per capita,59,-0.024
2017-2022,,Lowest decile,British Columbia,Income per capita,59,-1.292
2017-2022,,Second decile,British Columbia,Income per capita,59,0.219
2017-2022,,Third decile,British Columbia,Income per capita,59,-0.003
2017-2022,,Fourth decile,British Columbia,Income per capita,59,-0.104
2018-2023,,Total deciles,Canada,Income per capita,,-0.435
2018-2023,,Lowest decile,Canada,Income per capita,,-0.765
2018-2023,,Second decile,Canada,Income per capita,,-0.117
2018-2023,,Third decile,Canada,Income per capita,,-0.116
2018-2023,,Fourth decile,Canada,Income per capita,,-0.219
2018-2023,,Total deciles,Newfoundland and Labrador,Income per capita,10,0.342
2018-2023,,Lowest decile,Newfoundland and Labrador,Income per capita,10,0.273
2018-2023,,Second decile,Newfoundland and Labrador,Income per capita,10,0.797
2018-2023,,Third decile,Newfoundland and Labrador,Income per capita,10,0.785
2018-2023,,Fourth decile,Newfoundland and Labrador,Income per capita,10,0.67
2018-2023,,Total deciles,Prince Edward Island,Income per capita,11,-1.692
2018-2023,,Lowest decile,Prince Edward Island,Income per capita,11,-2.366
2018-2023,,Second decile,Prince Edward Island,Income per capita,11,-1.047
2018-2023,,Third decile,Prince Edward Island,Income per capita,11,-1.294
2018-2023,,Fourth decile,Prince Edward Island,Income per capita,11,-0.553
2018-2023,,Total deciles,Nova Scotia,Income per capita,12,-1.333
2018-2023,,Lowest decile,Nova Scotia,Income per capita,12,-1.618
2018-2023,,Second decile,Nova Scotia,Income per capita,12,-0.607
2018-2023,,Third decile,Nova Scotia,Income per capita,12,-0.806
2018-2023,,Fourth decile,Nova Scotia,Income per capita,12,-0.79
2018-2023,,Total deciles,New Brunswick,Income per capita,13,-1.214
2018-2023,,Lowest decile,New Brunswick,Income per capita,13,-1.308
2018-2023,,Second decile,New Brunswick,Income per capita,13,-1.188
2018-2023,,Third decile,New Brunswick,Income per capita,13,-1.143
2018-2023,,Fourth decile,New Brunswick,Income per capita,13,-0.918
2018-2023,,Total deciles,Quebec,Income per capita,24,0.71
2018-2023,,Lowest decile,Quebec,Income per capita,24,0.653
2018-2023,,Second decile,Quebec,Income per capita,24,1.578
2018-2023,,Third decile,Quebec,Income per capita,24,1.337
2018-2023,,Fourth decile,Quebec,Income per capita,24,1.023
2018-2023,,Total deciles,Ontario,Income per capita,35,-0.621
2018-2023,,Lowest decile,Ontario,Income per capita,35,-0.141
2018-2023,,Second decile,Ontario,Income per capita,35,-0.292
2018-2023,,Third decile,Ontario,Income per capita,35,-0.453
2018-2023,,Fourth decile,Ontario,Income per capita,35,-0.501
2018-2023,,Total deciles,Manitoba,Income per capita,46,-0.973
2018-2023,,Lowest decile,Manitoba,Income per capita,46,-0.956
2018-2023,,Second decile,Manitoba,Income per capita,46,-0.445
2018-2023,,Third decile,Manitoba,Income per capita,46,-0.486
2018-2023,,Fourth decile,Manitoba,Income per capita,46,-0.772
2018-2023,,Total deciles,Saskatchewan,Income per capita,47,-0.957
2018-2023,,Lowest decile,Saskatchewan,Income per capita,47,-1.582
2018-2023,,Second decile,Saskatchewan,Income per capita,47,-1.025
2018-2023,,Third decile,Saskatchewan,Income per capita,47,-0.996
2018-2023,,Fourth decile,Saskatchewan,Income per capita,47,-1.274
2018-2023,,Total deciles,Alberta,Income per capita,48,-1.787
2018-2023,,Lowest decile,Alberta,Income per capita,48,-3.986
2018-2023,,Second decile,Alberta,Income per capita,48,-1.624
2018-2023,,Third decile,Alberta,Income per capita,48,-1.122
2018-2023,,Fourth decile,Alberta,Income per capita,48,-1.622
2018-2023,,Total deciles,British Columbia,Income per capita,59,-0.161
2018-2023,,Lowest decile,British Columbia,Income per capita,59,-2.156
2018-2023,,Second decile,British Columbia,Income per capita,59,-0.513
2018-2023,,Third decile,British Columbia,Income per capita,59,-0.397
2018-2023,,Fourth decile,British Columbia,Income per capita,59,-0.249
