Year,Type of heritage,Level of government,Geography,GeoCode,Value
2021,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,61.67776
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,42.00386
2021,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,74.00681
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,21.49716
2021,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,64.49149
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,19.01535
2021,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,206.48575
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,57.67227
2021,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,98.50101
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,25.14505
2021,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,137.22014
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,21.40941
2021,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,149.86585
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,8.1236
2021,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,95.67799
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,12.43623
2021,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,72.89543
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,931.07702
2021,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,349.15388
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,426.20965
2021,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,224.32087
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,149.67819
2021,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,573.7664
2022,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,62.46449
2022,Cultural services,Consolidated Canadian general government,Canada,,204.90303
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,37.20141
2022,Cultural services,Consolidated provincial-territorial and local governments,Canada,,123.26017
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,18.82328
2022,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,92.23408
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,17.94258
2022,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,59.80861
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,62.49792
2022,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,70.31017
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,23.48959
2022,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,56.86953
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,15.91702
2022,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,208.88209
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,62.48418
2022,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,100.95121
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,33.25084
2022,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,130.88098
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,20.35976
2022,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,169.66464
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,8.64222
2022,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,101.71224
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,16.60806
2022,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,72.03045
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,1002.98616
2022,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,387.51738
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,403.30712
2022,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,224.05951
2022,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,197.02978
2022,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,591.08933
2023,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,59.75167
2023,Cultural services,Consolidated Canadian general government,Canada,,206.69634
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,36.40532
2023,Cultural services,Consolidated provincial-territorial and local governments,Canada,,130.46489
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,18.56014
2023,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,94.65672
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,17.26778
2023,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,63.31518
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,59.82878
2023,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,75.97305
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,21.65797
2023,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,55.34813
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,14.16961
2023,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,259.2472
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,66.08036
2023,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,94.48276
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,6.19322
2023,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,130.05762
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,14.87287
2023,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,163.60162
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,4.47897
2023,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,97.68424
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,15.593
2023,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,68.17404
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,990.77479
2023,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,374.2927
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,425.87529
2023,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,224.14489
2023,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,195.52253
2023,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,611.00792
