Year,Type of childhood maltreatment,Geography,Gender,Age,Immigrant status,Visible minority,Indigenous identity,Disability status,Sexual orientation,GeoCode,Value
2018,Physical abuse,Prince Edward Island,Male gender,,"Total, immigrant status",,,,,11,21.56
2018,Physical abuse,Prince Edward Island,Female gender,,"Total, immigrant status",,,,,11,20.67
2018,Physical abuse,Prince Edward Island,"Total, gender",,Immigrants,,,,,11,19.04
2018,Physical abuse,Prince Edward Island,Male gender,,Immigrants,,,,,11,23.56
2018,Physical abuse,Prince Edward Island,Female gender,,Immigrants,,,,,11,14.42
2018,Sexual abuse,Prince Edward Island,"Total, gender",,"Total, immigrant status",,,,,11,7.22
2018,Sexual abuse,Prince Edward Island,Male gender,,"Total, immigrant status",,,,,11,2.18
2018,Sexual abuse,Prince Edward Island,Female gender,,"Total, immigrant status",,,,,11,12.19
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",,"Total, immigrant status",,,,,12,27.31
2018,Physical or sexual abuse,Nova Scotia,Male gender,,"Total, immigrant status",,,,,12,26.14
2018,Physical or sexual abuse,Nova Scotia,Female gender,,"Total, immigrant status",,,,,12,28.39
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",,Immigrants,,,,,12,25.57
2018,Physical or sexual abuse,Nova Scotia,Male gender,,Immigrants,,,,,12,23.32
2018,Physical or sexual abuse,Nova Scotia,Female gender,,Immigrants,,,,,12,27.95
2018,Physical abuse,Nova Scotia,"Total, gender",,"Total, immigrant status",,,,,12,22.92
2018,Physical abuse,Nova Scotia,Male gender,,"Total, immigrant status",,,,,12,24.49
2018,Physical abuse,Nova Scotia,Female gender,,"Total, immigrant status",,,,,12,21.45
2018,Physical abuse,Nova Scotia,"Total, gender",,Immigrants,,,,,12,23.02
2018,Physical abuse,Nova Scotia,Male gender,,Immigrants,,,,,12,22.47
2018,Physical abuse,Nova Scotia,Female gender,,Immigrants,,,,,12,23.44
2018,Sexual abuse,Nova Scotia,"Total, gender",,"Total, immigrant status",,,,,12,9.66
2018,Sexual abuse,Nova Scotia,Male gender,,"Total, immigrant status",,,,,12,4.89
2018,Sexual abuse,Nova Scotia,Female gender,,"Total, immigrant status",,,,,12,14.17
2018,Sexual abuse,Nova Scotia,"Total, gender",,Immigrants,,,,,12,7.27
2018,Sexual abuse,Nova Scotia,Female gender,,Immigrants,,,,,12,9.77
2018,Physical or sexual abuse,New Brunswick,"Total, gender",,"Total, immigrant status",,,,,13,24.6
2018,Physical or sexual abuse,New Brunswick,Male gender,,"Total, immigrant status",,,,,13,23.2
2018,Physical or sexual abuse,New Brunswick,Female gender,,"Total, immigrant status",,,,,13,25.89
2018,Physical or sexual abuse,New Brunswick,"Total, gender",,Immigrants,,,,,13,30.45
2018,Physical or sexual abuse,New Brunswick,Male gender,,Immigrants,,,,,13,25.09
2018,Physical or sexual abuse,New Brunswick,Female gender,,Immigrants,,,,,13,39.31
2018,Physical abuse,New Brunswick,"Total, gender",,"Total, immigrant status",,,,,13,19.45
2018,Physical abuse,New Brunswick,Male gender,,"Total, immigrant status",,,,,13,20.74
2018,Physical abuse,New Brunswick,Female gender,,"Total, immigrant status",,,,,13,18.13
2018,Physical abuse,New Brunswick,"Total, gender",,Immigrants,,,,,13,25.81
2018,Physical abuse,New Brunswick,Male gender,,Immigrants,,,,,13,23.65
2018,Physical abuse,New Brunswick,Female gender,,Immigrants,,,,,13,29.54
2018,Sexual abuse,New Brunswick,"Total, gender",,"Total, immigrant status",,,,,13,9.22
2018,Sexual abuse,New Brunswick,Male gender,,"Total, immigrant status",,,,,13,5.28
2018,Sexual abuse,New Brunswick,Female gender,,"Total, immigrant status",,,,,13,13.08
2018,Sexual abuse,New Brunswick,"Total, gender",,Immigrants,,,,,13,6.26
2018,Sexual abuse,New Brunswick,Female gender,,Immigrants,,,,,13,13.98
2018,Physical or sexual abuse,Quebec,"Total, gender",,"Total, immigrant status",,,,,24,25.11
2018,Physical or sexual abuse,Quebec,Male gender,,"Total, immigrant status",,,,,24,24.33
2018,Physical or sexual abuse,Quebec,Female gender,,"Total, immigrant status",,,,,24,25.79
2018,Physical or sexual abuse,Quebec,"Total, gender",,Immigrants,,,,,24,25.97
2018,Physical or sexual abuse,Quebec,Male gender,,Immigrants,,,,,24,28.04
2018,Physical or sexual abuse,Quebec,Female gender,,Immigrants,,,,,24,23.4
2018,Physical abuse,Quebec,"Total, gender",,"Total, immigrant status",,,,,24,21.33
2018,Physical abuse,Quebec,Male gender,,"Total, immigrant status",,,,,24,22.88
2018,Physical abuse,Quebec,Female gender,,"Total, immigrant status",,,,,24,19.73
2018,Physical abuse,Quebec,"Total, gender",,Immigrants,,,,,24,24.31
2018,Physical abuse,Quebec,Male gender,,Immigrants,,,,,24,27.73
2018,Physical abuse,Quebec,Female gender,,Immigrants,,,,,24,20.05
2018,Sexual abuse,Quebec,"Total, gender",,"Total, immigrant status",,,,,24,7.5
2018,Sexual abuse,Quebec,Male gender,,"Total, immigrant status",,,,,24,3.54
2018,Sexual abuse,Quebec,Female gender,,"Total, immigrant status",,,,,24,11.31
2018,Sexual abuse,Quebec,"Total, gender",,Immigrants,,,,,24,4.34
2018,Sexual abuse,Quebec,Male gender,,Immigrants,,,,,24,1.78
2018,Sexual abuse,Quebec,Female gender,,Immigrants,,,,,24,7.53
2018,Physical or sexual abuse,Ontario,"Total, gender",,"Total, immigrant status",,,,,35,26.93
2018,Physical or sexual abuse,Ontario,Male gender,,"Total, immigrant status",,,,,35,26.38
2018,Physical or sexual abuse,Ontario,Female gender,,"Total, immigrant status",,,,,35,27.4
2018,Physical or sexual abuse,Ontario,"Total, gender",,Immigrants,,,,,35,25.02
2018,Physical or sexual abuse,Ontario,Male gender,,Immigrants,,,,,35,26.23
2018,Physical or sexual abuse,Ontario,Female gender,,Immigrants,,,,,35,23.29
2018,Physical or sexual abuse,Ontario,"Total, gender",,"Not stated, immigrant status",,,,,35,17.67
2018,Physical abuse,Ontario,"Total, gender",,"Total, immigrant status",,,,,35,23.9
2018,Physical abuse,Ontario,Male gender,,"Total, immigrant status",,,,,35,25.22
2018,Physical abuse,Ontario,Female gender,,"Total, immigrant status",,,,,35,22.57
2018,Physical abuse,Ontario,"Total, gender",,Immigrants,,,,,35,23.57
2018,Physical abuse,Ontario,Male gender,,Immigrants,,,,,35,25.42
2018,Physical abuse,Ontario,Female gender,,Immigrants,,,,,35,21.14
2018,Physical abuse,Ontario,"Total, gender",,"Not stated, immigrant status",,,,,35,15.84
2018,Sexual abuse,Ontario,"Total, gender",,"Total, immigrant status",,,,,35,7.01
2018,Sexual abuse,Ontario,Male gender,,"Total, immigrant status",,,,,35,3.48
2018,Sexual abuse,Ontario,Female gender,,"Total, immigrant status",,,,,35,10.44
2018,Sexual abuse,Ontario,"Total, gender",,Immigrants,,,,,35,4.78
2018,Sexual abuse,Ontario,Male gender,,Immigrants,,,,,35,3.46
2018,Sexual abuse,Ontario,Female gender,,Immigrants,,,,,35,6.24
2018,Physical or sexual abuse,Manitoba,"Total, gender",,"Total, immigrant status",,,,,46,26.25
2018,Physical or sexual abuse,Manitoba,Male gender,,"Total, immigrant status",,,,,46,26.84
2018,Physical or sexual abuse,Manitoba,Female gender,,"Total, immigrant status",,,,,46,25.85
2018,Physical or sexual abuse,Manitoba,"Total, gender",,Immigrants,,,,,46,24.26
2018,Physical or sexual abuse,Manitoba,Male gender,,Immigrants,,,,,46,23.01
2018,Physical or sexual abuse,Manitoba,Female gender,,Immigrants,,,,,46,25.93
2018,Physical abuse,Manitoba,"Total, gender",,"Total, immigrant status",,,,,46,22.95
2018,Physical abuse,Manitoba,Male gender,,"Total, immigrant status",,,,,46,25.97
2018,Physical abuse,Manitoba,Female gender,,"Total, immigrant status",,,,,46,20.09
2018,Physical abuse,Manitoba,"Total, gender",,Immigrants,,,,,46,22.73
2018,Physical abuse,Manitoba,Male gender,,Immigrants,,,,,46,22.58
2018,Physical abuse,Manitoba,Female gender,,Immigrants,,,,,46,23.03
2018,Sexual abuse,Manitoba,"Total, gender",,"Total, immigrant status",,,,,46,7.89
2018,Sexual abuse,Manitoba,Male gender,,"Total, immigrant status",,,,,46,3.66
2018,Sexual abuse,Manitoba,Female gender,,"Total, immigrant status",,,,,46,12.15
2018,Sexual abuse,Manitoba,"Total, gender",,Immigrants,,,,,46,6.44
2018,Sexual abuse,Manitoba,Male gender,,Immigrants,,,,,46,2.87
2018,Sexual abuse,Manitoba,Female gender,,Immigrants,,,,,46,10.88
2018,Physical or sexual abuse,Saskatchewan,"Total, gender",,"Total, immigrant status",,,,,47,26.92
2018,Physical or sexual abuse,Saskatchewan,Male gender,,"Total, immigrant status",,,,,47,26.5
2018,Physical or sexual abuse,Saskatchewan,Female gender,,"Total, immigrant status",,,,,47,27.12
2018,Physical or sexual abuse,Saskatchewan,"Total, gender",,Immigrants,,,,,47,24.78
2018,Physical or sexual abuse,Saskatchewan,Male gender,,Immigrants,,,,,47,27.36
2018,Physical or sexual abuse,Saskatchewan,Female gender,,Immigrants,,,,,47,21.34
2018,Physical abuse,Saskatchewan,"Total, gender",,"Total, immigrant status",,,,,47,23.7
2018,Physical abuse,Saskatchewan,Male gender,,"Total, immigrant status",,,,,47,25.53
2018,Physical abuse,Saskatchewan,Female gender,,"Total, immigrant status",,,,,47,21.69
2018,Physical abuse,Saskatchewan,"Total, gender",,Immigrants,,,,,47,23.89
2018,Physical abuse,Saskatchewan,Male gender,,Immigrants,,,,,47,26.55
2018,Physical abuse,Saskatchewan,Female gender,,Immigrants,,,,,47,20.34
2018,Sexual abuse,Saskatchewan,"Total, gender",,"Total, immigrant status",,,,,47,6.81
2018,Sexual abuse,Saskatchewan,Male gender,,"Total, immigrant status",,,,,47,2.62
2018,Sexual abuse,Saskatchewan,Female gender,,"Total, immigrant status",,,,,47,11.0
2018,Sexual abuse,Saskatchewan,"Total, gender",,Immigrants,,,,,47,4.72
2018,Sexual abuse,Saskatchewan,Male gender,,Immigrants,,,,,47,2.74
2018,Sexual abuse,Saskatchewan,Female gender,,Immigrants,,,,,47,7.36
2018,Physical or sexual abuse,Alberta,"Total, gender",,"Total, immigrant status",,,,,48,28.82
2018,Physical or sexual abuse,Alberta,Male gender,,"Total, immigrant status",,,,,48,26.18
2018,Physical or sexual abuse,Alberta,Female gender,,"Total, immigrant status",,,,,48,31.47
2018,Physical or sexual abuse,Alberta,"Total, gender",,Immigrants,,,,,48,27.32
2018,Physical or sexual abuse,Alberta,Male gender,,Immigrants,,,,,48,25.9
2018,Physical or sexual abuse,Alberta,Female gender,,Immigrants,,,,,48,29.25
2018,Physical abuse,Alberta,"Total, gender",,"Total, immigrant status",,,,,48,25.15
2018,Physical abuse,Alberta,Male gender,,"Total, immigrant status",,,,,48,24.98
2018,Physical abuse,Alberta,Female gender,,"Total, immigrant status",,,,,48,25.27
2018,Physical abuse,Alberta,"Total, gender",,Immigrants,,,,,48,24.86
2018,Physical abuse,Alberta,Male gender,,Immigrants,,,,,48,25.15
2018,Physical abuse,Alberta,Female gender,,Immigrants,,,,,48,24.59
2018,Sexual abuse,Alberta,"Total, gender",,"Total, immigrant status",,,,,48,8.61
2018,Sexual abuse,Alberta,Male gender,,"Total, immigrant status",,,,,48,3.21
2018,Sexual abuse,Alberta,Female gender,,"Total, immigrant status",,,,,48,14.14
2018,Sexual abuse,Alberta,"Total, gender",,Immigrants,,,,,48,5.51
2018,Sexual abuse,Alberta,Male gender,,Immigrants,,,,,48,2.72
2018,Sexual abuse,Alberta,Female gender,,Immigrants,,,,,48,9.12
2018,Physical or sexual abuse,British Columbia,"Total, gender",,"Total, immigrant status",,,,,59,30.47
2018,Physical or sexual abuse,British Columbia,Male gender,,"Total, immigrant status",,,,,59,29.46
2018,Physical or sexual abuse,British Columbia,Female gender,,"Total, immigrant status",,,,,59,31.44
2018,Physical or sexual abuse,British Columbia,"Total, gender",,Immigrants,,,,,59,27.29
2018,Physical or sexual abuse,British Columbia,Male gender,,Immigrants,,,,,59,27.02
2018,Physical or sexual abuse,British Columbia,Female gender,,Immigrants,,,,,59,27.33
2018,Physical abuse,British Columbia,"Total, gender",,"Total, immigrant status",,,,,59,26.58
2018,Physical abuse,British Columbia,Male gender,,"Total, immigrant status",,,,,59,27.7
2018,Physical abuse,British Columbia,Female gender,,"Total, immigrant status",,,,,59,25.46
2018,Physical abuse,British Columbia,"Total, gender",,Immigrants,,,,,59,24.62
2018,Physical abuse,British Columbia,Male gender,,Immigrants,,,,,59,26.17
2018,Physical abuse,British Columbia,Female gender,,Immigrants,,,,,59,22.64
2018,Sexual abuse,British Columbia,"Total, gender",,"Total, immigrant status",,,,,59,9.38
2018,Sexual abuse,British Columbia,Male gender,,"Total, immigrant status",,,,,59,4.87
2018,Sexual abuse,British Columbia,Female gender,,"Total, immigrant status",,,,,59,13.82
2018,Sexual abuse,British Columbia,"Total, gender",,Immigrants,,,,,59,7.18
2018,Sexual abuse,British Columbia,Male gender,,Immigrants,,,,,59,4.46
2018,Sexual abuse,British Columbia,Female gender,,Immigrants,,,,,59,10.21
2018,Physical or sexual abuse,Yukon,"Total, gender",,"Total, immigrant status",,,,,60,37.95
2018,Physical or sexual abuse,Yukon,Male gender,,"Total, immigrant status",,,,,60,39.34
2018,Physical or sexual abuse,Yukon,Female gender,,"Total, immigrant status",,,,,60,36.5
2018,Physical or sexual abuse,Yukon,"Total, gender",,Immigrants,,,,,60,32.99
2018,Physical or sexual abuse,Yukon,Male gender,,Immigrants,,,,,60,38.37
2018,Physical or sexual abuse,Yukon,Female gender,,Immigrants,,,,,60,28.17
2018,Physical abuse,Yukon,"Total, gender",,"Total, immigrant status",,,,,60,32.88
2018,Physical abuse,Yukon,Male gender,,"Total, immigrant status",,,,,60,36.91
2018,Physical abuse,Yukon,Female gender,,"Total, immigrant status",,,,,60,28.67
2018,Physical abuse,Yukon,"Total, gender",,Immigrants,,,,,60,26.47
2018,Physical abuse,Yukon,Male gender,,Immigrants,,,,,60,31.67
2018,Physical abuse,Yukon,Female gender,,Immigrants,,,,,60,21.8
2018,Sexual abuse,Yukon,"Total, gender",,"Total, immigrant status",,,,,60,13.82
2018,Sexual abuse,Yukon,Male gender,,"Total, immigrant status",,,,,60,7.73
2018,Sexual abuse,Yukon,Female gender,,"Total, immigrant status",,,,,60,20.16
2018,Sexual abuse,Yukon,"Total, gender",,Immigrants,,,,,60,12.68
2018,Sexual abuse,Yukon,Female gender,,Immigrants,,,,,60,11.96
2018,Physical or sexual abuse,Northwest Territories,"Total, gender",,"Total, immigrant status",,,,,61,33.36
2018,Physical or sexual abuse,Northwest Territories,Male gender,,"Total, immigrant status",,,,,61,31.72
2018,Physical or sexual abuse,Northwest Territories,Female gender,,"Total, immigrant status",,,,,61,34.95
2018,Physical or sexual abuse,Northwest Territories,"Total, gender",,Immigrants,,,,,61,32.78
2018,Physical or sexual abuse,Northwest Territories,Male gender,,Immigrants,,,,,61,35.26
2018,Physical or sexual abuse,Northwest Territories,Female gender,,Immigrants,,,,,61,30.21
2018,Physical abuse,Northwest Territories,"Total, gender",,"Total, immigrant status",,,,,61,28.47
2018,Physical abuse,Northwest Territories,Male gender,,"Total, immigrant status",,,,,61,28.28
2018,Physical abuse,Northwest Territories,Female gender,,"Total, immigrant status",,,,,61,28.55
2018,Physical abuse,Northwest Territories,"Total, gender",,Immigrants,,,,,61,26.81
2018,Physical abuse,Northwest Territories,Male gender,,Immigrants,,,,,61,29.23
2018,Physical abuse,Northwest Territories,Female gender,,Immigrants,,,,,61,24.3
2018,Sexual abuse,Northwest Territories,"Total, gender",,"Total, immigrant status",,,,,61,12.57
2018,Sexual abuse,Northwest Territories,Male gender,,"Total, immigrant status",,,,,61,7.03
2018,Sexual abuse,Northwest Territories,Female gender,,"Total, immigrant status",,,,,61,18.16
2018,Sexual abuse,Northwest Territories,"Total, gender",,Immigrants,,,,,61,12.88
2018,Physical or sexual abuse,Nunavut,"Total, gender",,"Total, immigrant status",,,,,62,26.1
2018,Physical or sexual abuse,Nunavut,Male gender,,"Total, immigrant status",,,,,62,20.12
2018,Physical or sexual abuse,Nunavut,Female gender,,"Total, immigrant status",,,,,62,32.64
2018,Physical or sexual abuse,Nunavut,"Total, gender",,Immigrants,,,,,62,35.24
2018,Physical abuse,Nunavut,"Total, gender",,"Total, immigrant status",,,,,62,19.2
2018,Physical abuse,Nunavut,Male gender,,"Total, immigrant status",,,,,62,18.87
2018,Physical abuse,Nunavut,Female gender,,"Total, immigrant status",,,,,62,19.56
2018,Physical abuse,Nunavut,"Total, gender",,Immigrants,,,,,62,30.95
2018,Sexual abuse,Nunavut,"Total, gender",,"Total, immigrant status",,,,,62,12.38
2018,Sexual abuse,Nunavut,Male gender,,"Total, immigrant status",,,,,62,5.13
2018,Sexual abuse,Nunavut,Female gender,,"Total, immigrant status",,,,,62,20.3
2018,Physical or sexual abuse,Canada,Male gender,,,"Total, visible minority population",,,,,26.13
2018,Physical or sexual abuse,Canada,Female gender,,,"Total, visible minority population",,,,,27.87
2018,Physical or sexual abuse,Canada,Male gender,,,Visible minority population,,,,,25.83
2018,Physical or sexual abuse,Canada,Female gender,,,Visible minority population,,,,,23.61
2018,Physical or sexual abuse,Canada,Male gender,,,Not a visible minority,,,,,26.38
2018,Physical or sexual abuse,Canada,Female gender,,,Not a visible minority,,,,,29.1
2018,Physical or sexual abuse,Canada,Male gender,,,"Not stated, visible minority population",,,,,16.85
2018,Physical or sexual abuse,Canada,Female gender,,,"Not stated, visible minority population",,,,,16.32
2018,Physical abuse,Canada,"Total, gender",,,"Total, visible minority population",,,,,23.54
2018,Physical abuse,Canada,Male gender,,,"Total, visible minority population",,,,,24.8
2018,Physical abuse,Canada,Female gender,,,"Total, visible minority population",,,,,22.26
2018,Physical abuse,Canada,"Total, gender",,,Visible minority population,,,,,23.09
2018,Physical abuse,Canada,Male gender,,,Visible minority population,,,,,25.06
2018,Physical abuse,Canada,Female gender,,,Visible minority population,,,,,20.68
2018,Physical abuse,Canada,"Total, gender",,,Not a visible minority,,,,,23.8
2018,Physical abuse,Canada,Male gender,,,Not a visible minority,,,,,24.87
2018,Physical abuse,Canada,Female gender,,,Not a visible minority,,,,,22.76
2018,Physical abuse,Canada,"Total, gender",,,"Not stated, visible minority population",,,,,15.34
2018,Physical abuse,Canada,Male gender,,,"Not stated, visible minority population",,,,,15.32
2018,Physical abuse,Canada,Female gender,,,"Not stated, visible minority population",,,,,14.88
2018,Sexual abuse,Canada,"Total, gender",,,"Total, visible minority population",,,,,7.77
2018,Sexual abuse,Canada,Male gender,,,"Total, visible minority population",,,,,3.7
2018,Sexual abuse,Canada,Female gender,,,"Total, visible minority population",,,,,11.76
2018,Sexual abuse,Canada,"Total, gender",,,Visible minority population,,,,,5.24
2018,Sexual abuse,Canada,Male gender,,,Visible minority population,,,,,3.23
2018,Sexual abuse,Canada,Female gender,,,Visible minority population,,,,,7.56
2018,Sexual abuse,Canada,"Total, gender",,,Not a visible minority,,,,,8.52
2018,Sexual abuse,Canada,Male gender,,,Not a visible minority,,,,,3.83
2018,Sexual abuse,Canada,Female gender,,,Not a visible minority,,,,,12.91
2018,Sexual abuse,Canada,"Total, gender",,,"Not stated, visible minority population",,,,,4.08
2018,Sexual abuse,Canada,Male gender,,,"Not stated, visible minority population",,,,,3.78
2018,Sexual abuse,Canada,Female gender,,,"Not stated, visible minority population",,,,,4.62
2018,Physical or sexual abuse,Newfoundland and Labrador,"Total, gender",,,"Total, visible minority population",,,,10,18.92
2018,Physical or sexual abuse,Newfoundland and Labrador,Male gender,,,"Total, visible minority population",,,,10,18.91
2018,Physical or sexual abuse,Newfoundland and Labrador,Female gender,,,"Total, visible minority population",,,,10,18.97
2018,Physical or sexual abuse,Newfoundland and Labrador,"Total, gender",,,Not a visible minority,,,,10,18.71
2018,Physical or sexual abuse,Newfoundland and Labrador,Male gender,,,Not a visible minority,,,,10,18.36
2018,Physical or sexual abuse,Newfoundland and Labrador,Female gender,,,Not a visible minority,,,,10,19.06
2018,Physical abuse,Newfoundland and Labrador,"Total, gender",,,"Total, visible minority population",,,,10,15.92
2018,Physical abuse,Newfoundland and Labrador,Male gender,,,"Total, visible minority population",,,,10,18.32
2018,Physical abuse,Newfoundland and Labrador,Female gender,,,"Total, visible minority population",,,,10,13.69
2018,Physical abuse,Newfoundland and Labrador,"Total, gender",,,Not a visible minority,,,,10,15.61
2018,Physical abuse,Newfoundland and Labrador,Male gender,,,Not a visible minority,,,,10,17.73
2018,Physical abuse,Newfoundland and Labrador,Female gender,,,Not a visible minority,,,,10,13.69
2018,Sexual abuse,Newfoundland and Labrador,"Total, gender",,,"Total, visible minority population",,,,10,6.0
2018,Sexual abuse,Newfoundland and Labrador,Male gender,,,"Total, visible minority population",,,,10,2.63
2018,Sexual abuse,Newfoundland and Labrador,Female gender,,,"Total, visible minority population",,,,10,9.2
2018,Sexual abuse,Newfoundland and Labrador,"Total, gender",,,Not a visible minority,,,,10,6.06
2018,Sexual abuse,Newfoundland and Labrador,Male gender,,,Not a visible minority,,,,10,2.58
2018,Sexual abuse,Newfoundland and Labrador,Female gender,,,Not a visible minority,,,,10,9.27
2018,Physical or sexual abuse,Prince Edward Island,"Total, gender",,,"Total, visible minority population",,,,11,24.18
2018,Physical or sexual abuse,Prince Edward Island,Male gender,,,"Total, visible minority population",,,,11,22.29
2018,Physical or sexual abuse,Prince Edward Island,Female gender,,,"Total, visible minority population",,,,11,26.05
2018,Physical or sexual abuse,Prince Edward Island,"Total, gender",,,Visible minority population,,,,11,17.79
2018,Physical or sexual abuse,Prince Edward Island,"Total, gender",,,Not a visible minority,,,,11,24.77
2018,Physical or sexual abuse,Prince Edward Island,Male gender,,,Not a visible minority,,,,11,22.54
2018,Physical or sexual abuse,Prince Edward Island,Female gender,,,Not a visible minority,,,,11,27.0
2018,Physical abuse,Prince Edward Island,"Total, gender",,,"Total, visible minority population",,,,11,21.11
2018,Physical abuse,Prince Edward Island,Male gender,,,"Total, visible minority population",,,,11,21.56
2018,Physical abuse,Prince Edward Island,Female gender,,,"Total, visible minority population",,,,11,20.67
2018,Physical abuse,Prince Edward Island,"Total, gender",,,Visible minority population,,,,11,17.79
2018,Physical abuse,Prince Edward Island,"Total, gender",,,Not a visible minority,,,,11,21.42
2018,Physical abuse,Prince Edward Island,Male gender,,,Not a visible minority,,,,11,21.75
2018,Physical abuse,Prince Edward Island,Female gender,,,Not a visible minority,,,,11,21.08
2018,Sexual abuse,Prince Edward Island,"Total, gender",,,"Total, visible minority population",,,,11,7.22
2018,Sexual abuse,Prince Edward Island,Male gender,,,"Total, visible minority population",,,,11,2.18
2018,Sexual abuse,Prince Edward Island,Female gender,,,"Total, visible minority population",,,,11,12.19
2018,Sexual abuse,Prince Edward Island,"Total, gender",,,Not a visible minority,,,,11,7.76
2018,Sexual abuse,Prince Edward Island,Male gender,,,Not a visible minority,,,,11,2.19
2018,Sexual abuse,Prince Edward Island,Female gender,,,Not a visible minority,,,,11,13.34
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",,,"Total, visible minority population",,,,12,27.31
2018,Physical or sexual abuse,Nova Scotia,Male gender,,,"Total, visible minority population",,,,12,26.14
2018,Physical or sexual abuse,Nova Scotia,Female gender,,,"Total, visible minority population",,,,12,28.39
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",,,Visible minority population,,,,12,24.76
2018,Physical or sexual abuse,Nova Scotia,Male gender,,,Visible minority population,,,,12,21.86
2018,Physical or sexual abuse,Nova Scotia,Female gender,,,Visible minority population,,,,12,28.25
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",,,Not a visible minority,,,,12,27.57
2018,Physical or sexual abuse,Nova Scotia,Male gender,,,Not a visible minority,,,,12,26.59
2018,Physical or sexual abuse,Nova Scotia,Female gender,,,Not a visible minority,,,,12,28.4
2018,Physical abuse,Nova Scotia,"Total, gender",,,"Total, visible minority population",,,,12,22.92
2018,Physical abuse,Nova Scotia,Male gender,,,"Total, visible minority population",,,,12,24.49
2018,Physical abuse,Nova Scotia,Female gender,,,"Total, visible minority population",,,,12,21.45
2018,Physical abuse,Nova Scotia,"Total, gender",,,Visible minority population,,,,12,22.76
2018,Physical abuse,Nova Scotia,Male gender,,,Visible minority population,,,,12,21.86
2018,Physical abuse,Nova Scotia,Female gender,,,Visible minority population,,,,12,24.23
2018,Physical abuse,Nova Scotia,"Total, gender",,,Not a visible minority,,,,12,23.05
2018,Physical abuse,Nova Scotia,Male gender,,,Not a visible minority,,,,12,24.81
2018,Physical abuse,Nova Scotia,Female gender,,,Not a visible minority,,,,12,21.35
2018,Sexual abuse,Nova Scotia,"Total, gender",,,"Total, visible minority population",,,,12,9.66
2018,Sexual abuse,Nova Scotia,Male gender,,,"Total, visible minority population",,,,12,4.89
2018,Sexual abuse,Nova Scotia,Female gender,,,"Total, visible minority population",,,,12,14.17
2018,Sexual abuse,Nova Scotia,"Total, gender",,,Visible minority population,,,,12,6.14
2018,Sexual abuse,Nova Scotia,"Total, gender",,,Not a visible minority,,,,12,9.89
2018,Sexual abuse,Nova Scotia,Male gender,,,Not a visible minority,,,,12,4.79
2018,Sexual abuse,Nova Scotia,Female gender,,,Not a visible minority,,,,12,14.68
2018,Physical or sexual abuse,New Brunswick,"Total, gender",,,"Total, visible minority population",,,,13,24.6
2018,Physical or sexual abuse,New Brunswick,Male gender,,,"Total, visible minority population",,,,13,23.2
2018,Physical or sexual abuse,New Brunswick,Female gender,,,"Total, visible minority population",,,,13,25.89
2018,Physical or sexual abuse,New Brunswick,"Total, gender",,,Visible minority population,,,,13,19.5
2018,Physical or sexual abuse,New Brunswick,"Total, gender",,,Not a visible minority,,,,13,24.76
2018,Physical or sexual abuse,New Brunswick,Male gender,,,Not a visible minority,,,,13,23.5
2018,Physical or sexual abuse,New Brunswick,Female gender,,,Not a visible minority,,,,13,26.0
2018,Physical abuse,New Brunswick,"Total, gender",,,"Total, visible minority population",,,,13,19.45
2018,Physical abuse,New Brunswick,Male gender,,,"Total, visible minority population",,,,13,20.74
2018,Physical abuse,New Brunswick,Female gender,,,"Total, visible minority population",,,,13,18.13
2018,Physical abuse,New Brunswick,"Total, gender",,,Visible minority population,,,,13,16.95
2018,Physical abuse,New Brunswick,"Total, gender",,,Not a visible minority,,,,13,19.45
2018,Physical abuse,New Brunswick,Male gender,,,Not a visible minority,,,,13,20.97
2018,Physical abuse,New Brunswick,Female gender,,,Not a visible minority,,,,13,18.11
2018,Sexual abuse,New Brunswick,"Total, gender",,,"Total, visible minority population",,,,13,9.22
2018,Sexual abuse,New Brunswick,Male gender,,,"Total, visible minority population",,,,13,5.28
2018,Sexual abuse,New Brunswick,Female gender,,,"Total, visible minority population",,,,13,13.08
2018,Sexual abuse,New Brunswick,"Total, gender",,,Not a visible minority,,,,13,9.6
2018,Sexual abuse,New Brunswick,Male gender,,,Not a visible minority,,,,13,5.58
2018,Sexual abuse,New Brunswick,Female gender,,,Not a visible minority,,,,13,13.33
2018,Physical or sexual abuse,Quebec,"Total, gender",,,"Total, visible minority population",,,,24,25.11
2018,Physical or sexual abuse,Quebec,Male gender,,,"Total, visible minority population",,,,24,24.33
2018,Physical or sexual abuse,Quebec,Female gender,,,"Total, visible minority population",,,,24,25.79
2018,Physical or sexual abuse,Quebec,"Total, gender",,,Visible minority population,,,,24,26.63
2018,Physical or sexual abuse,Quebec,Male gender,,,Visible minority population,,,,24,27.42
2018,Physical or sexual abuse,Quebec,Female gender,,,Visible minority population,,,,24,25.82
2018,Physical or sexual abuse,Quebec,"Total, gender",,,Not a visible minority,,,,24,25.04
2018,Physical or sexual abuse,Quebec,Male gender,,,Not a visible minority,,,,24,23.97
2018,Physical or sexual abuse,Quebec,Female gender,,,Not a visible minority,,,,24,26.02
