Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2018,New Brunswick,White goods,Non-residential sources of diverted materials,13,
2020,New Brunswick,White goods,Non-residential sources of diverted materials,13,
2018,New Brunswick,Electronics,All sources of diverted materials,13,861.0
2020,New Brunswick,Electronics,All sources of diverted materials,13,941.0
2018,New Brunswick,Electronics,Residential sources of diverted materials,13,
2020,New Brunswick,Electronics,Residential sources of diverted materials,13,
2018,New Brunswick,Electronics,Non-residential sources of diverted materials,13,
2020,New Brunswick,Electronics,Non-residential sources of diverted materials,13,
2018,New Brunswick,Plastics,All sources of diverted materials,13,5477.0
2020,New Brunswick,Plastics,All sources of diverted materials,13,5601.0
2018,New Brunswick,Plastics,Residential sources of diverted materials,13,3133.0
2020,New Brunswick,Plastics,Residential sources of diverted materials,13,
2018,New Brunswick,Plastics,Non-residential sources of diverted materials,13,2344.0
2020,New Brunswick,Plastics,Non-residential sources of diverted materials,13,
2018,New Brunswick,Gable top and aseptic containers,All sources of diverted materials,13,473.0
2020,New Brunswick,Gable top and aseptic containers,All sources of diverted materials,13,469.0
2018,New Brunswick,Gable top and aseptic containers,Residential sources of diverted materials,13,
2020,New Brunswick,Gable top and aseptic containers,Residential sources of diverted materials,13,
2018,New Brunswick,Gable top and aseptic containers,Non-residential sources of diverted materials,13,
2020,New Brunswick,Gable top and aseptic containers,Non-residential sources of diverted materials,13,
2018,New Brunswick,Textiles,All sources of diverted materials,13,0.0
2020,New Brunswick,Textiles,All sources of diverted materials,13,0.0
2018,New Brunswick,Textiles,Residential sources of diverted materials,13,0.0
2020,New Brunswick,Textiles,Residential sources of diverted materials,13,0.0
2018,New Brunswick,Textiles,Non-residential sources of diverted materials,13,0.0
2020,New Brunswick,Textiles,Non-residential sources of diverted materials,13,0.0
2018,New Brunswick,Tires,All sources of diverted materials,13,10845.0
2020,New Brunswick,Tires,All sources of diverted materials,13,11856.0
2018,New Brunswick,Tires,Residential sources of diverted materials,13,
2020,New Brunswick,Tires,Residential sources of diverted materials,13,
2018,New Brunswick,Tires,Non-residential sources of diverted materials,13,
2020,New Brunswick,Tires,Non-residential sources of diverted materials,13,
2018,New Brunswick,"Construction, renovation and demolition",All sources of diverted materials,13,10816.0
2020,New Brunswick,"Construction, renovation and demolition",All sources of diverted materials,13,10784.0
2018,New Brunswick,"Construction, renovation and demolition",Residential sources of diverted materials,13,640.0
2020,New Brunswick,"Construction, renovation and demolition",Residential sources of diverted materials,13,3035.0
2018,New Brunswick,"Construction, renovation and demolition",Non-residential sources of diverted materials,13,10176.0
2020,New Brunswick,"Construction, renovation and demolition",Non-residential sources of diverted materials,13,7749.0
2018,New Brunswick,Organics,All sources of diverted materials,13,94261.0
2020,New Brunswick,Organics,All sources of diverted materials,13,84962.0
2018,New Brunswick,Organics,Residential sources of diverted materials,13,
2020,New Brunswick,Organics,Residential sources of diverted materials,13,26798.0
2018,New Brunswick,Organics,Non-residential sources of diverted materials,13,
2020,New Brunswick,Organics,Non-residential sources of diverted materials,13,58164.0
2018,New Brunswick,Other materials,All sources of diverted materials,13,4053.0
2020,New Brunswick,Other materials,All sources of diverted materials,13,6688.0
2018,New Brunswick,Other materials,Residential sources of diverted materials,13,3689.0
2020,New Brunswick,Other materials,Residential sources of diverted materials,13,6688.0
2018,New Brunswick,Other materials,Non-residential sources of diverted materials,13,364.0
2020,New Brunswick,Other materials,Non-residential sources of diverted materials,13,0.0
2018,Quebec,All materials diverted,All sources of diverted materials,24,2511744.0
2020,Quebec,All materials diverted,All sources of diverted materials,24,2615931.0
2018,Quebec,All materials diverted,Residential sources of diverted materials,24,
2020,Quebec,All materials diverted,Residential sources of diverted materials,24,
2018,Quebec,All materials diverted,Non-residential sources of diverted materials,24,
2020,Quebec,All materials diverted,Non-residential sources of diverted materials,24,
2018,Quebec,All paper fibres,All sources of diverted materials,24,1100000.0
2020,Quebec,All paper fibres,All sources of diverted materials,24,1050476.0
2018,Quebec,All paper fibres,Residential sources of diverted materials,24,527000.0
2020,Quebec,All paper fibres,Residential sources of diverted materials,24,510802.0
2018,Quebec,All paper fibres,Non-residential sources of diverted materials,24,573000.0
2020,Quebec,All paper fibres,Non-residential sources of diverted materials,24,539674.0
2018,Quebec,Glass,All sources of diverted materials,24,58067.0
2020,Quebec,Glass,All sources of diverted materials,24,83892.0
2018,Quebec,Glass,Residential sources of diverted materials,24,45000.0
2020,Quebec,Glass,Residential sources of diverted materials,24,53903.0
2018,Quebec,Glass,Non-residential sources of diverted materials,24,13067.0
2020,Quebec,Glass,Non-residential sources of diverted materials,24,29989.0
2018,Quebec,Ferrous metals,All sources of diverted materials,24,316200.0
2020,Quebec,Ferrous metals,All sources of diverted materials,24,386119.0
2018,Quebec,Ferrous metals,Residential sources of diverted materials,24,39000.0
2020,Quebec,Ferrous metals,Residential sources of diverted materials,24,36439.0
2018,Quebec,Ferrous metals,Non-residential sources of diverted materials,24,277200.0
2020,Quebec,Ferrous metals,Non-residential sources of diverted materials,24,349680.0
2018,Quebec,Copper and aluminum,All sources of diverted materials,24,52800.0
2020,Quebec,Copper and aluminum,All sources of diverted materials,24,2232.0
2018,Quebec,Copper and aluminum,Residential sources of diverted materials,24,
2020,Quebec,Copper and aluminum,Residential sources of diverted materials,24,0.0
2018,Quebec,Copper and aluminum,Non-residential sources of diverted materials,24,52800.0
2020,Quebec,Copper and aluminum,Non-residential sources of diverted materials,24,2232.0
2018,Quebec,Mixed metals,All sources of diverted materials,24,0.0
2020,Quebec,Mixed metals,All sources of diverted materials,24,1991.0
2018,Quebec,Mixed metals,Residential sources of diverted materials,24,0.0
2020,Quebec,Mixed metals,Residential sources of diverted materials,24,0.0
2018,Quebec,Mixed metals,Non-residential sources of diverted materials,24,0.0
2020,Quebec,Mixed metals,Non-residential sources of diverted materials,24,1991.0
2018,Quebec,White goods,All sources of diverted materials,24,0.0
2020,Quebec,White goods,All sources of diverted materials,24,0.0
2018,Quebec,White goods,Residential sources of diverted materials,24,0.0
2020,Quebec,White goods,Residential sources of diverted materials,24,0.0
2018,Quebec,White goods,Non-residential sources of diverted materials,24,0.0
2020,Quebec,White goods,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Electronics,All sources of diverted materials,24,21387.0
2020,Quebec,Electronics,All sources of diverted materials,24,17476.0
2018,Quebec,Electronics,Residential sources of diverted materials,24,
2020,Quebec,Electronics,Residential sources of diverted materials,24,
2018,Quebec,Electronics,Non-residential sources of diverted materials,24,
2020,Quebec,Electronics,Non-residential sources of diverted materials,24,
2018,Quebec,Plastics,All sources of diverted materials,24,83000.0
2020,Quebec,Plastics,All sources of diverted materials,24,112906.0
2018,Quebec,Plastics,Residential sources of diverted materials,24,59000.0
2020,Quebec,Plastics,Residential sources of diverted materials,24,58000.0
2018,Quebec,Plastics,Non-residential sources of diverted materials,24,24000.0
2020,Quebec,Plastics,Non-residential sources of diverted materials,24,54906.0
2018,Quebec,Gable top and aseptic containers,All sources of diverted materials,24,0.0
2020,Quebec,Gable top and aseptic containers,All sources of diverted materials,24,0.0
2018,Quebec,Gable top and aseptic containers,Residential sources of diverted materials,24,0.0
2020,Quebec,Gable top and aseptic containers,Residential sources of diverted materials,24,0.0
2018,Quebec,Gable top and aseptic containers,Non-residential sources of diverted materials,24,0.0
2020,Quebec,Gable top and aseptic containers,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Textiles,All sources of diverted materials,24,55440.0
2020,Quebec,Textiles,All sources of diverted materials,24,58129.0
2018,Quebec,Textiles,Residential sources of diverted materials,24,55440.0
2020,Quebec,Textiles,Residential sources of diverted materials,24,58129.0
2018,Quebec,Textiles,Non-residential sources of diverted materials,24,0.0
2020,Quebec,Textiles,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Tires,All sources of diverted materials,24,91850.0
2020,Quebec,Tires,All sources of diverted materials,24,93976.0
2018,Quebec,Tires,Residential sources of diverted materials,24,
2020,Quebec,Tires,Residential sources of diverted materials,24,
2018,Quebec,Tires,Non-residential sources of diverted materials,24,
2020,Quebec,Tires,Non-residential sources of diverted materials,24,
2018,Quebec,"Construction, renovation and demolition",All sources of diverted materials,24,295000.0
2020,Quebec,"Construction, renovation and demolition",All sources of diverted materials,24,268000.0
2018,Quebec,"Construction, renovation and demolition",Residential sources of diverted materials,24,0.0
2020,Quebec,"Construction, renovation and demolition",Residential sources of diverted materials,24,0.0
2018,Quebec,"Construction, renovation and demolition",Non-residential sources of diverted materials,24,295000.0
2020,Quebec,"Construction, renovation and demolition",Non-residential sources of diverted materials,24,268000.0
2018,Quebec,Organics,All sources of diverted materials,24,438000.0
2020,Quebec,Organics,All sources of diverted materials,24,540734.0
2018,Quebec,Organics,Residential sources of diverted materials,24,387000.0
2020,Quebec,Organics,Residential sources of diverted materials,24,497467.0
2018,Quebec,Organics,Non-residential sources of diverted materials,24,51000.0
2020,Quebec,Organics,Non-residential sources of diverted materials,24,43267.0
2018,Quebec,Other materials,All sources of diverted materials,24,0.0
2020,Quebec,Other materials,All sources of diverted materials,24,0.0
2018,Quebec,Other materials,Residential sources of diverted materials,24,0.0
2020,Quebec,Other materials,Residential sources of diverted materials,24,0.0
2018,Quebec,Other materials,Non-residential sources of diverted materials,24,0.0
2020,Quebec,Other materials,Non-residential sources of diverted materials,24,0.0
2018,Ontario,All materials diverted,All sources of diverted materials,35,3341233.0
2020,Ontario,All materials diverted,All sources of diverted materials,35,3465409.0
2018,Ontario,All materials diverted,Residential sources of diverted materials,35,
2020,Ontario,All materials diverted,Residential sources of diverted materials,35,
2018,Ontario,All materials diverted,Non-residential sources of diverted materials,35,
2020,Ontario,All materials diverted,Non-residential sources of diverted materials,35,
2018,Ontario,All paper fibres,All sources of diverted materials,35,1318720.0
2020,Ontario,All paper fibres,All sources of diverted materials,35,1338739.0
2018,Ontario,All paper fibres,Residential sources of diverted materials,35,581930.0
2020,Ontario,All paper fibres,Residential sources of diverted materials,35,636830.0
2018,Ontario,All paper fibres,Non-residential sources of diverted materials,35,736790.0
2020,Ontario,All paper fibres,Non-residential sources of diverted materials,35,701909.0
2018,Ontario,Glass,All sources of diverted materials,35,114145.0
2020,Ontario,Glass,All sources of diverted materials,35,128373.0
2018,Ontario,Glass,Residential sources of diverted materials,35,83926.0
2020,Ontario,Glass,Residential sources of diverted materials,35,87709.0
2018,Ontario,Glass,Non-residential sources of diverted materials,35,30219.0
2020,Ontario,Glass,Non-residential sources of diverted materials,35,40664.0
2018,Ontario,Ferrous metals,All sources of diverted materials,35,115659.0
2020,Ontario,Ferrous metals,All sources of diverted materials,35,120510.0
2018,Ontario,Ferrous metals,Residential sources of diverted materials,35,38548.0
2020,Ontario,Ferrous metals,Residential sources of diverted materials,35,56453.0
2018,Ontario,Ferrous metals,Non-residential sources of diverted materials,35,77111.0
2020,Ontario,Ferrous metals,Non-residential sources of diverted materials,35,64057.0
2018,Ontario,Copper and aluminum,All sources of diverted materials,35,22092.0
2020,Ontario,Copper and aluminum,All sources of diverted materials,35,21698.0
2018,Ontario,Copper and aluminum,Residential sources of diverted materials,35,11849.0
2020,Ontario,Copper and aluminum,Residential sources of diverted materials,35,15707.0
2018,Ontario,Copper and aluminum,Non-residential sources of diverted materials,35,10243.0
2020,Ontario,Copper and aluminum,Non-residential sources of diverted materials,35,5991.0
2018,Ontario,Mixed metals,All sources of diverted materials,35,39393.0
2020,Ontario,Mixed metals,All sources of diverted materials,35,38638.0
2018,Ontario,Mixed metals,Residential sources of diverted materials,35,14728.0
2020,Ontario,Mixed metals,Residential sources of diverted materials,35,21852.0
2018,Ontario,Mixed metals,Non-residential sources of diverted materials,35,24665.0
2020,Ontario,Mixed metals,Non-residential sources of diverted materials,35,16787.0
2018,Ontario,White goods,All sources of diverted materials,35,11410.0
2020,Ontario,White goods,All sources of diverted materials,35,12400.0
2018,Ontario,White goods,Residential sources of diverted materials,35,10056.0
2020,Ontario,White goods,Residential sources of diverted materials,35,9081.0
2018,Ontario,White goods,Non-residential sources of diverted materials,35,1354.0
2020,Ontario,White goods,Non-residential sources of diverted materials,35,3319.0
2018,Ontario,Electronics,All sources of diverted materials,35,45967.0
2020,Ontario,Electronics,All sources of diverted materials,35,45896.0
2018,Ontario,Electronics,Residential sources of diverted materials,35,
2020,Ontario,Electronics,Residential sources of diverted materials,35,
2018,Ontario,Electronics,Non-residential sources of diverted materials,35,
2020,Ontario,Electronics,Non-residential sources of diverted materials,35,
2018,Ontario,Plastics,All sources of diverted materials,35,125619.0
2020,Ontario,Plastics,All sources of diverted materials,35,119921.0
2018,Ontario,Plastics,Residential sources of diverted materials,35,98365.0
2020,Ontario,Plastics,Residential sources of diverted materials,35,90232.0
2018,Ontario,Plastics,Non-residential sources of diverted materials,35,27254.0
2020,Ontario,Plastics,Non-residential sources of diverted materials,35,29689.0
2018,Ontario,Gable top and aseptic containers,All sources of diverted materials,35,8993.0
2020,Ontario,Gable top and aseptic containers,All sources of diverted materials,35,7342.0
2018,Ontario,Gable top and aseptic containers,Residential sources of diverted materials,35,7346.0
2020,Ontario,Gable top and aseptic containers,Residential sources of diverted materials,35,5822.0
2018,Ontario,Gable top and aseptic containers,Non-residential sources of diverted materials,35,1647.0
2020,Ontario,Gable top and aseptic containers,Non-residential sources of diverted materials,35,1520.0
2018,Ontario,Textiles,All sources of diverted materials,35,1213.0
2020,Ontario,Textiles,All sources of diverted materials,35,2642.0
2018,Ontario,Textiles,Residential sources of diverted materials,35,1206.0
2020,Ontario,Textiles,Residential sources of diverted materials,35,2614.0
2018,Ontario,Textiles,Non-residential sources of diverted materials,35,7.0
2020,Ontario,Textiles,Non-residential sources of diverted materials,35,28.0
2018,Ontario,Tires,All sources of diverted materials,35,210704.0
2020,Ontario,Tires,All sources of diverted materials,35,121976.0
2018,Ontario,Tires,Residential sources of diverted materials,35,
2020,Ontario,Tires,Residential sources of diverted materials,35,
2018,Ontario,Tires,Non-residential sources of diverted materials,35,
2020,Ontario,Tires,Non-residential sources of diverted materials,35,
2018,Ontario,"Construction, renovation and demolition",All sources of diverted materials,35,156312.0
2020,Ontario,"Construction, renovation and demolition",All sources of diverted materials,35,164885.0
2018,Ontario,"Construction, renovation and demolition",Residential sources of diverted materials,35,53873.0
2020,Ontario,"Construction, renovation and demolition",Residential sources of diverted materials,35,88647.0
2018,Ontario,"Construction, renovation and demolition",Non-residential sources of diverted materials,35,102439.0
2020,Ontario,"Construction, renovation and demolition",Non-residential sources of diverted materials,35,76238.0
2018,Ontario,Organics,All sources of diverted materials,35,1145169.0
2020,Ontario,Organics,All sources of diverted materials,35,1309779.0
2018,Ontario,Organics,Residential sources of diverted materials,35,1053104.0
2020,Ontario,Organics,Residential sources of diverted materials,35,1141405.0
2018,Ontario,Organics,Non-residential sources of diverted materials,35,92065.0
2020,Ontario,Organics,Non-residential sources of diverted materials,35,168374.0
2018,Ontario,Other materials,All sources of diverted materials,35,25837.0
2020,Ontario,Other materials,All sources of diverted materials,35,32609.0
2018,Ontario,Other materials,Residential sources of diverted materials,35,18823.0
2020,Ontario,Other materials,Residential sources of diverted materials,35,22257.0
2018,Ontario,Other materials,Non-residential sources of diverted materials,35,7014.0
2020,Ontario,Other materials,Non-residential sources of diverted materials,35,10352.0
2018,Manitoba,All materials diverted,All sources of diverted materials,46,221697.0
2020,Manitoba,All materials diverted,All sources of diverted materials,46,221005.0
2018,Manitoba,All materials diverted,Residential sources of diverted materials,46,
2020,Manitoba,All materials diverted,Residential sources of diverted materials,46,
2018,Manitoba,All materials diverted,Non-residential sources of diverted materials,46,
2020,Manitoba,All materials diverted,Non-residential sources of diverted materials,46,
2018,Manitoba,All paper fibres,All sources of diverted materials,46,87664.0
2020,Manitoba,All paper fibres,All sources of diverted materials,46,82358.0
2018,Manitoba,All paper fibres,Residential sources of diverted materials,46,53684.0
2020,Manitoba,All paper fibres,Residential sources of diverted materials,46,39368.0
2018,Manitoba,All paper fibres,Non-residential sources of diverted materials,46,33980.0
2020,Manitoba,All paper fibres,Non-residential sources of diverted materials,46,42990.0
2018,Manitoba,Glass,All sources of diverted materials,46,9015.0
2020,Manitoba,Glass,All sources of diverted materials,46,10045.0
2018,Manitoba,Glass,Residential sources of diverted materials,46,8511.0
2020,Manitoba,Glass,Residential sources of diverted materials,46,7450.0
2018,Manitoba,Glass,Non-residential sources of diverted materials,46,504.0
2020,Manitoba,Glass,Non-residential sources of diverted materials,46,2595.0
2018,Manitoba,Ferrous metals,All sources of diverted materials,46,
2020,Manitoba,Ferrous metals,All sources of diverted materials,46,21376.0
2018,Manitoba,Ferrous metals,Residential sources of diverted materials,46,
2020,Manitoba,Ferrous metals,Residential sources of diverted materials,46,2947.0
2018,Manitoba,Ferrous metals,Non-residential sources of diverted materials,46,
2020,Manitoba,Ferrous metals,Non-residential sources of diverted materials,46,18429.0
2018,Manitoba,Copper and aluminum,All sources of diverted materials,46,2571.0
2020,Manitoba,Copper and aluminum,All sources of diverted materials,46,4078.0
2018,Manitoba,Copper and aluminum,Residential sources of diverted materials,46,2207.0
2020,Manitoba,Copper and aluminum,Residential sources of diverted materials,46,1957.0
2018,Manitoba,Copper and aluminum,Non-residential sources of diverted materials,46,364.0
2020,Manitoba,Copper and aluminum,Non-residential sources of diverted materials,46,2121.0
2018,Manitoba,Mixed metals,All sources of diverted materials,46,4199.0
2020,Manitoba,Mixed metals,All sources of diverted materials,46,4663.0
2018,Manitoba,Mixed metals,Residential sources of diverted materials,46,3287.0
2020,Manitoba,Mixed metals,Residential sources of diverted materials,46,
2018,Manitoba,Mixed metals,Non-residential sources of diverted materials,46,912.0
2020,Manitoba,Mixed metals,Non-residential sources of diverted materials,46,
2018,Manitoba,White goods,All sources of diverted materials,46,2973.0
2020,Manitoba,White goods,All sources of diverted materials,46,3125.0
2018,Manitoba,White goods,Residential sources of diverted materials,46,1824.0
2020,Manitoba,White goods,Residential sources of diverted materials,46,
2018,Manitoba,White goods,Non-residential sources of diverted materials,46,1149.0
2020,Manitoba,White goods,Non-residential sources of diverted materials,46,
2018,Manitoba,Electronics,All sources of diverted materials,46,3024.0
2020,Manitoba,Electronics,All sources of diverted materials,46,2784.0
2018,Manitoba,Electronics,Residential sources of diverted materials,46,
2020,Manitoba,Electronics,Residential sources of diverted materials,46,
2018,Manitoba,Electronics,Non-residential sources of diverted materials,46,
2020,Manitoba,Electronics,Non-residential sources of diverted materials,46,
2018,Manitoba,Plastics,All sources of diverted materials,46,6788.0
2020,Manitoba,Plastics,All sources of diverted materials,46,7985.0
2018,Manitoba,Plastics,Residential sources of diverted materials,46,5735.0
2020,Manitoba,Plastics,Residential sources of diverted materials,46,5784.0
2018,Manitoba,Plastics,Non-residential sources of diverted materials,46,1053.0
2020,Manitoba,Plastics,Non-residential sources of diverted materials,46,2201.0
2018,Manitoba,Gable top and aseptic containers,All sources of diverted materials,46,
2020,Manitoba,Gable top and aseptic containers,All sources of diverted materials,46,1378.0
2018,Manitoba,Gable top and aseptic containers,Residential sources of diverted materials,46,
2020,Manitoba,Gable top and aseptic containers,Residential sources of diverted materials,46,
2018,Manitoba,Gable top and aseptic containers,Non-residential sources of diverted materials,46,
2020,Manitoba,Gable top and aseptic containers,Non-residential sources of diverted materials,46,
2018,Manitoba,Textiles,All sources of diverted materials,46,
2020,Manitoba,Textiles,All sources of diverted materials,46,0.0
2018,Manitoba,Textiles,Residential sources of diverted materials,46,
2020,Manitoba,Textiles,Residential sources of diverted materials,46,0.0
2018,Manitoba,Textiles,Non-residential sources of diverted materials,46,
2020,Manitoba,Textiles,Non-residential sources of diverted materials,46,0.0
2018,Manitoba,Tires,All sources of diverted materials,46,16005.0
2020,Manitoba,Tires,All sources of diverted materials,46,17798.0
2018,Manitoba,Tires,Residential sources of diverted materials,46,
2020,Manitoba,Tires,Residential sources of diverted materials,46,
2018,Manitoba,Tires,Non-residential sources of diverted materials,46,
2020,Manitoba,Tires,Non-residential sources of diverted materials,46,
2018,Manitoba,"Construction, renovation and demolition",All sources of diverted materials,46,3996.0
2020,Manitoba,"Construction, renovation and demolition",All sources of diverted materials,46,2090.0
2018,Manitoba,"Construction, renovation and demolition",Residential sources of diverted materials,46,2584.0
2020,Manitoba,"Construction, renovation and demolition",Residential sources of diverted materials,46,
2018,Manitoba,"Construction, renovation and demolition",Non-residential sources of diverted materials,46,1412.0
2020,Manitoba,"Construction, renovation and demolition",Non-residential sources of diverted materials,46,
2018,Manitoba,Organics,All sources of diverted materials,46,56272.0
2020,Manitoba,Organics,All sources of diverted materials,46,56814.0
2018,Manitoba,Organics,Residential sources of diverted materials,46,43193.0
2020,Manitoba,Organics,Residential sources of diverted materials,46,35967.0
2018,Manitoba,Organics,Non-residential sources of diverted materials,46,13079.0
2020,Manitoba,Organics,Non-residential sources of diverted materials,46,20847.0
2018,Manitoba,Other materials,All sources of diverted materials,46,6232.0
2020,Manitoba,Other materials,All sources of diverted materials,46,6512.0
2018,Manitoba,Other materials,Residential sources of diverted materials,46,3520.0
2020,Manitoba,Other materials,Residential sources of diverted materials,46,4211.0
2018,Manitoba,Other materials,Non-residential sources of diverted materials,46,2712.0
2020,Manitoba,Other materials,Non-residential sources of diverted materials,46,2301.0
2018,Saskatchewan,All materials diverted,All sources of diverted materials,47,194702.0
2020,Saskatchewan,All materials diverted,All sources of diverted materials,47,202459.0
2018,Saskatchewan,All materials diverted,Residential sources of diverted materials,47,
2020,Saskatchewan,All materials diverted,Residential sources of diverted materials,47,
2018,Saskatchewan,All materials diverted,Non-residential sources of diverted materials,47,
2020,Saskatchewan,All materials diverted,Non-residential sources of diverted materials,47,
2018,Saskatchewan,All paper fibres,All sources of diverted materials,47,57379.0
2020,Saskatchewan,All paper fibres,All sources of diverted materials,47,47817.0
2018,Saskatchewan,All paper fibres,Residential sources of diverted materials,47,37807.0
2020,Saskatchewan,All paper fibres,Residential sources of diverted materials,47,35214.0
2018,Saskatchewan,All paper fibres,Non-residential sources of diverted materials,47,19572.0
2020,Saskatchewan,All paper fibres,Non-residential sources of diverted materials,47,12603.0
2018,Saskatchewan,Glass,All sources of diverted materials,47,
2020,Saskatchewan,Glass,All sources of diverted materials,47,
2018,Saskatchewan,Glass,Residential sources of diverted materials,47,
2020,Saskatchewan,Glass,Residential sources of diverted materials,47,
2018,Saskatchewan,Glass,Non-residential sources of diverted materials,47,
2020,Saskatchewan,Glass,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Ferrous metals,All sources of diverted materials,47,
2020,Saskatchewan,Ferrous metals,All sources of diverted materials,47,36685.0
2018,Saskatchewan,Ferrous metals,Residential sources of diverted materials,47,
2020,Saskatchewan,Ferrous metals,Residential sources of diverted materials,47,4396.0
2018,Saskatchewan,Ferrous metals,Non-residential sources of diverted materials,47,
2020,Saskatchewan,Ferrous metals,Non-residential sources of diverted materials,47,32289.0
2018,Saskatchewan,Copper and aluminum,All sources of diverted materials,47,7673.0
2020,Saskatchewan,Copper and aluminum,All sources of diverted materials,47,7093.0
2018,Saskatchewan,Copper and aluminum,Residential sources of diverted materials,47,6778.0
2020,Saskatchewan,Copper and aluminum,Residential sources of diverted materials,47,
2018,Saskatchewan,Copper and aluminum,Non-residential sources of diverted materials,47,895.0
2020,Saskatchewan,Copper and aluminum,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Mixed metals,All sources of diverted materials,47,1621.0
2020,Saskatchewan,Mixed metals,All sources of diverted materials,47,1447.0
2018,Saskatchewan,Mixed metals,Residential sources of diverted materials,47,990.0
2020,Saskatchewan,Mixed metals,Residential sources of diverted materials,47,1067.0
2018,Saskatchewan,Mixed metals,Non-residential sources of diverted materials,47,631.0
2020,Saskatchewan,Mixed metals,Non-residential sources of diverted materials,47,380.0
2018,Saskatchewan,White goods,All sources of diverted materials,47,1855.0
2020,Saskatchewan,White goods,All sources of diverted materials,47,1453.0
2018,Saskatchewan,White goods,Residential sources of diverted materials,47,999.0
2020,Saskatchewan,White goods,Residential sources of diverted materials,47,
2018,Saskatchewan,White goods,Non-residential sources of diverted materials,47,856.0
2020,Saskatchewan,White goods,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Electronics,All sources of diverted materials,47,2344.0
2020,Saskatchewan,Electronics,All sources of diverted materials,47,1708.0
2018,Saskatchewan,Electronics,Residential sources of diverted materials,47,
2020,Saskatchewan,Electronics,Residential sources of diverted materials,47,
2018,Saskatchewan,Electronics,Non-residential sources of diverted materials,47,
2020,Saskatchewan,Electronics,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Plastics,All sources of diverted materials,47,10773.0
2020,Saskatchewan,Plastics,All sources of diverted materials,47,6674.0
2018,Saskatchewan,Plastics,Residential sources of diverted materials,47,9913.0
2020,Saskatchewan,Plastics,Residential sources of diverted materials,47,6270.0
2018,Saskatchewan,Plastics,Non-residential sources of diverted materials,47,860.0
2020,Saskatchewan,Plastics,Non-residential sources of diverted materials,47,405.0
2018,Saskatchewan,Gable top and aseptic containers,All sources of diverted materials,47,1886.0
2020,Saskatchewan,Gable top and aseptic containers,All sources of diverted materials,47,
2018,Saskatchewan,Gable top and aseptic containers,Residential sources of diverted materials,47,
2020,Saskatchewan,Gable top and aseptic containers,Residential sources of diverted materials,47,
2018,Saskatchewan,Gable top and aseptic containers,Non-residential sources of diverted materials,47,
2020,Saskatchewan,Gable top and aseptic containers,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Textiles,All sources of diverted materials,47,0.0
2020,Saskatchewan,Textiles,All sources of diverted materials,47,0.0
2018,Saskatchewan,Textiles,Residential sources of diverted materials,47,0.0
2020,Saskatchewan,Textiles,Residential sources of diverted materials,47,0.0
2018,Saskatchewan,Textiles,Non-residential sources of diverted materials,47,0.0
2020,Saskatchewan,Textiles,Non-residential sources of diverted materials,47,0.0
2018,Saskatchewan,Tires,All sources of diverted materials,47,17057.0
2020,Saskatchewan,Tires,All sources of diverted materials,47,43290.0
2018,Saskatchewan,Tires,Residential sources of diverted materials,47,
2020,Saskatchewan,Tires,Residential sources of diverted materials,47,
2018,Saskatchewan,Tires,Non-residential sources of diverted materials,47,
2020,Saskatchewan,Tires,Non-residential sources of diverted materials,47,
2018,Saskatchewan,"Construction, renovation and demolition",All sources of diverted materials,47,3987.0
2020,Saskatchewan,"Construction, renovation and demolition",All sources of diverted materials,47,
2018,Saskatchewan,"Construction, renovation and demolition",Residential sources of diverted materials,47,
2020,Saskatchewan,"Construction, renovation and demolition",Residential sources of diverted materials,47,
2018,Saskatchewan,"Construction, renovation and demolition",Non-residential sources of diverted materials,47,
2020,Saskatchewan,"Construction, renovation and demolition",Non-residential sources of diverted materials,47,
2018,Saskatchewan,Organics,All sources of diverted materials,47,33058.0
2020,Saskatchewan,Organics,All sources of diverted materials,47,40551.0
2018,Saskatchewan,Organics,Residential sources of diverted materials,47,24805.0
2020,Saskatchewan,Organics,Residential sources of diverted materials,47,34771.0
2018,Saskatchewan,Organics,Non-residential sources of diverted materials,47,8253.0
2020,Saskatchewan,Organics,Non-residential sources of diverted materials,47,5780.0
2018,Saskatchewan,Other materials,All sources of diverted materials,47,1349.0
2020,Saskatchewan,Other materials,All sources of diverted materials,47,
2018,Saskatchewan,Other materials,Residential sources of diverted materials,47,838.0
2020,Saskatchewan,Other materials,Residential sources of diverted materials,47,
2018,Saskatchewan,Other materials,Non-residential sources of diverted materials,47,511.0
2020,Saskatchewan,Other materials,Non-residential sources of diverted materials,47,
2018,Alberta,All materials diverted,All sources of diverted materials,48,930862.0
2020,Alberta,All materials diverted,All sources of diverted materials,48,948394.0
2018,Alberta,All materials diverted,Residential sources of diverted materials,48,
2020,Alberta,All materials diverted,Residential sources of diverted materials,48,
2018,Alberta,All materials diverted,Non-residential sources of diverted materials,48,
2020,Alberta,All materials diverted,Non-residential sources of diverted materials,48,
