Year,Antigen or vaccine,Target population,Geography,Gender,GeoCode,Value
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Nova Scotia,,12,80.4
2021,Influenza (flu),Recommended vaccines during pregnancy,Nova Scotia,,12,82.5
2021,Diphtheria,Recommended vaccines for 2-year-old children,Nova Scotia,,12,70.3
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Nova Scotia,,12,70.3
2021,Tetanus,Recommended vaccines for 2-year-old children,Nova Scotia,,12,70.3
2021,Polio,Recommended vaccines for 2-year-old children,Nova Scotia,,12,87.9
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Nova Scotia,,12,66.8
2021,Measles,Recommended vaccines for 2-year-old children,Nova Scotia,,12,93.6
2021,Mumps,Recommended vaccines for 2-year-old children,Nova Scotia,,12,93.6
2021,Rubella,Recommended vaccines for 2-year-old children,Nova Scotia,,12,93.6
2021,Varicella,Recommended vaccines for 2-year-old children,Nova Scotia,,12,93.2
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Nova Scotia,,12,89.4
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Nova Scotia,,12,79.0
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,New Brunswick,,13,79.5
2021,Influenza (flu),Recommended vaccines during pregnancy,New Brunswick,,13,59.1
2021,Diphtheria,Recommended vaccines for 2-year-old children,New Brunswick,,13,78.1
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,New Brunswick,,13,78.1
2021,Tetanus,Recommended vaccines for 2-year-old children,New Brunswick,,13,78.1
2021,Polio,Recommended vaccines for 2-year-old children,New Brunswick,,13,89.6
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,New Brunswick,,13,75.9
2021,Measles,Recommended vaccines for 2-year-old children,New Brunswick,,13,94.3
2021,Mumps,Recommended vaccines for 2-year-old children,New Brunswick,,13,94.3
2021,Rubella,Recommended vaccines for 2-year-old children,New Brunswick,,13,94.3
2021,Hepatitis B,Recommended vaccines for 2-year-old children,New Brunswick,,13,79.8
2021,Varicella,Recommended vaccines for 2-year-old children,New Brunswick,,13,91.2
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,New Brunswick,,13,90.6
2021,Pneumococcal,Recommended vaccines for 2-year-old children,New Brunswick,,13,86.7
2021,Rotavirus,Recommended vaccines for 2-year-old children,New Brunswick,,13,66.6
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Ontario,,35,60.0
2021,Influenza (flu),Recommended vaccines during pregnancy,Ontario,,35,48.9
2021,Diphtheria,Recommended vaccines for 2-year-old children,Ontario,,35,76.7
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Ontario,,35,76.7
2021,Tetanus,Recommended vaccines for 2-year-old children,Ontario,,35,76.7
2021,Polio,Recommended vaccines for 2-year-old children,Ontario,,35,94.4
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Ontario,,35,73.8
2021,Measles,Recommended vaccines for 2-year-old children,Ontario,,35,92.0
2021,Mumps,Recommended vaccines for 2-year-old children,Ontario,,35,91.7
2021,Rubella,Recommended vaccines for 2-year-old children,Ontario,,35,91.7
2021,Varicella,Recommended vaccines for 2-year-old children,Ontario,,35,85.9
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Ontario,,35,90.1
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Ontario,,35,86.1
2021,Rotavirus,Recommended vaccines for 2-year-old children,Ontario,,35,84.7
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Quebec,,24,75.2
2021,Influenza (flu),Recommended vaccines during pregnancy,Quebec,,24,44.2
2021,Diphtheria,Recommended vaccines for 2-year-old children,Quebec,,24,76.2
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Quebec,,24,76.2
2021,Tetanus,Recommended vaccines for 2-year-old children,Quebec,,24,76.2
2021,Polio,Recommended vaccines for 2-year-old children,Quebec,,24,91.7
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Quebec,,24,75.8
2021,Measles,Recommended vaccines for 2-year-old children,Quebec,,24,93.2
2021,Mumps,Recommended vaccines for 2-year-old children,Quebec,,24,93.2
2021,Rubella,Recommended vaccines for 2-year-old children,Quebec,,24,93.2
2021,Hepatitis B,Recommended vaccines for 2-year-old children,Quebec,,24,80.6
2021,Varicella,Recommended vaccines for 2-year-old children,Quebec,,24,89.9
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Quebec,,24,90.2
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Quebec,,24,85.3
2021,Rotavirus,Recommended vaccines for 2-year-old children,Quebec,,24,86.0
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Manitoba,,46,69.6
2021,Influenza (flu),Recommended vaccines during pregnancy,Manitoba,,46,59.2
2021,Diphtheria,Recommended vaccines for 2-year-old children,Manitoba,,46,75.5
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Manitoba,,46,75.5
2021,Tetanus,Recommended vaccines for 2-year-old children,Manitoba,,46,75.5
2021,Polio,Recommended vaccines for 2-year-old children,Manitoba,,46,87.9
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Manitoba,,46,75.3
2021,Measles,Recommended vaccines for 2-year-old children,Manitoba,,46,87.1
2021,Mumps,Recommended vaccines for 2-year-old children,Manitoba,,46,86.6
2021,Rubella,Recommended vaccines for 2-year-old children,Manitoba,,46,86.6
2021,Varicella,Recommended vaccines for 2-year-old children,Manitoba,,46,86.9
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Manitoba,,46,88.8
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Manitoba,,46,81.7
2021,Rotavirus,Recommended vaccines for 2-year-old children,Manitoba,,46,82.2
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Saskatchewan,,47,78.0
2021,Influenza (flu),Recommended vaccines during pregnancy,Saskatchewan,,47,64.8
2021,Diphtheria,Recommended vaccines for 2-year-old children,Saskatchewan,,47,80.9
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Saskatchewan,,47,80.9
2021,Tetanus,Recommended vaccines for 2-year-old children,Saskatchewan,,47,80.9
2021,Polio,Recommended vaccines for 2-year-old children,Saskatchewan,,47,91.0
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Saskatchewan,,47,80.6
2021,Measles,Recommended vaccines for 2-year-old children,Saskatchewan,,47,91.4
2021,Mumps,Recommended vaccines for 2-year-old children,Saskatchewan,,47,91.0
2021,Rubella,Recommended vaccines for 2-year-old children,Saskatchewan,,47,91.0
2021,Varicella,Recommended vaccines for 2-year-old children,Saskatchewan,,47,80.9
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Saskatchewan,,47,89.1
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Saskatchewan,,47,83.7
2021,Rotavirus,Recommended vaccines for 2-year-old children,Saskatchewan,,47,88.2
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Alberta,,48,60.1
2021,Influenza (flu),Recommended vaccines during pregnancy,Alberta,,48,58.3
2021,Diphtheria,Recommended vaccines for 2-year-old children,Alberta,,48,74.6
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Alberta,,48,74.6
2021,Tetanus,Recommended vaccines for 2-year-old children,Alberta,,48,74.6
2021,Polio,Recommended vaccines for 2-year-old children,Alberta,,48,85.7
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Alberta,,48,71.1
2021,Measles,Recommended vaccines for 2-year-old children,Alberta,,48,88.4
2021,Mumps,Recommended vaccines for 2-year-old children,Alberta,,48,88.4
2021,Rubella,Recommended vaccines for 2-year-old children,Alberta,,48,88.4
2021,Varicella,Recommended vaccines for 2-year-old children,Alberta,,48,83.3
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Alberta,,48,89.8
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Alberta,,48,81.3
2021,Rotavirus,Recommended vaccines for 2-year-old children,Alberta,,48,84.8
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,British Columbia,,59,52.4
2021,Influenza (flu),Recommended vaccines during pregnancy,British Columbia,,59,61.0
2021,Diphtheria,Recommended vaccines for 2-year-old children,British Columbia,,59,83.6
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,British Columbia,,59,83.6
2021,Tetanus,Recommended vaccines for 2-year-old children,British Columbia,,59,83.6
2021,Polio,Recommended vaccines for 2-year-old children,British Columbia,,59,92.6
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,British Columbia,,59,82.8
2021,Measles,Recommended vaccines for 2-year-old children,British Columbia,,59,91.3
2021,Mumps,Recommended vaccines for 2-year-old children,British Columbia,,59,91.3
2021,Rubella,Recommended vaccines for 2-year-old children,British Columbia,,59,91.3
2021,Hepatitis B,Recommended vaccines for 2-year-old children,British Columbia,,59,87.1
2021,Varicella,Recommended vaccines for 2-year-old children,British Columbia,,59,91.0
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,British Columbia,,59,94.2
2021,Pneumococcal,Recommended vaccines for 2-year-old children,British Columbia,,59,88.2
2021,Rotavirus,Recommended vaccines for 2-year-old children,British Columbia,,59,91.2
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Yukon,,60,77.2
2021,Influenza (flu),Recommended vaccines during pregnancy,Yukon,,60,66.8
2021,Diphtheria,Recommended vaccines for 2-year-old children,Yukon,,60,66.6
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Yukon,,60,66.6
2021,Tetanus,Recommended vaccines for 2-year-old children,Yukon,,60,66.6
2021,Polio,Recommended vaccines for 2-year-old children,Yukon,,60,86.3
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Yukon,,60,64.0
2021,Measles,Recommended vaccines for 2-year-old children,Yukon,,60,85.3
2021,Mumps,Recommended vaccines for 2-year-old children,Yukon,,60,85.3
2021,Rubella,Recommended vaccines for 2-year-old children,Yukon,,60,85.3
2021,Hepatitis B,Recommended vaccines for 2-year-old children,Yukon,,60,71.3
2021,Varicella,Recommended vaccines for 2-year-old children,Yukon,,60,81.8
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Yukon,,60,90.0
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Yukon,,60,73.2
2021,Rotavirus,Recommended vaccines for 2-year-old children,Yukon,,60,86.7
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Northwest Territories,,61,59.3
2021,Influenza (flu),Recommended vaccines during pregnancy,Northwest Territories,,61,71.7
2021,Diphtheria,Recommended vaccines for 2-year-old children,Northwest Territories,,61,66.0
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Northwest Territories,,61,66.0
2021,Tetanus,Recommended vaccines for 2-year-old children,Northwest Territories,,61,66.0
2021,Polio,Recommended vaccines for 2-year-old children,Northwest Territories,,61,80.4
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Northwest Territories,,61,60.0
2021,Measles,Recommended vaccines for 2-year-old children,Northwest Territories,,61,90.8
2021,Mumps,Recommended vaccines for 2-year-old children,Northwest Territories,,61,89.5
2021,Rubella,Recommended vaccines for 2-year-old children,Northwest Territories,,61,88.2
2021,Hepatitis B,Recommended vaccines for 2-year-old children,Northwest Territories,,61,81.0
2021,Varicella,Recommended vaccines for 2-year-old children,Northwest Territories,,61,80.2
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Northwest Territories,,61,88.8
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Northwest Territories,,61,59.9
2021,Rotavirus,Recommended vaccines for 2-year-old children,Northwest Territories,,61,75.6
2021,Diphtheria,Recommended vaccines for 2-year-old children,Nunavut,,62,24.1
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Nunavut,,62,24.1
2021,Tetanus,Recommended vaccines for 2-year-old children,Nunavut,,62,24.1
2021,Polio,Recommended vaccines for 2-year-old children,Nunavut,,62,33.5
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Nunavut,,62,24.1
2021,Measles,Recommended vaccines for 2-year-old children,Nunavut,,62,34.6
2021,Mumps,Recommended vaccines for 2-year-old children,Nunavut,,62,34.6
2021,Rubella,Recommended vaccines for 2-year-old children,Nunavut,,62,34.6
2021,Hepatitis B,Recommended vaccines for 2-year-old children,Nunavut,,62,32.5
2021,Varicella,Recommended vaccines for 2-year-old children,Nunavut,,62,21.2
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Nunavut,,62,34.5
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Nunavut,,62,21.0
