Year,Water quality category,Land use category,Geography,Value
2018-2020,Total,Mixed pressures,Hudson Bay,29
2018-2020,Total,Undeveloped,Hudson Bay,5
2018-2020,Total,Agriculture,Mackenzie River,0
2018-2020,Total,Forestry,Mackenzie River,0
2018-2020,Total,Mining,Mackenzie River,12
2018-2020,Total,Populated,Mackenzie River,0
2018-2020,Total,Mixed pressures,Mackenzie River,18
2018-2020,Total,Undeveloped,Mackenzie River,30
2018-2020,Total,Agriculture,Pacific Ocean,0
2018-2020,Total,Forestry,Pacific Ocean,10
2018-2020,Total,Mining,Pacific Ocean,0
2018-2020,Total,Populated,Pacific Ocean,0
2018-2020,Total,Mixed pressures,Pacific Ocean,19
2018-2020,Total,Undeveloped,Pacific Ocean,15
2020-2022,Total,Agriculture,Canada,10
2020-2022,Total,Forestry,Canada,7
2020-2022,Total,Mining,Canada,3
2020-2022,Total,Populated,Canada,0
2020-2022,Total,Mixed pressures,Canada,20
2020-2022,Total,Undeveloped,Canada,14
2020-2022,,,,54
2020-2022,Total,Total,Atlantic Ocean,69
2020-2022,Total,Total,Great Lakes and St. Lawrence River,35
2020-2022,Total,Total,Hudson Bay,59
2020-2022,Total,Total,Mackenzie River,56
2020-2022,Total,Total,Pacific Ocean,60
2020-2022,Total,Agriculture,Atlantic Ocean,7
2020-2022,Total,Forestry,Atlantic Ocean,19
2020-2022,Total,Mining,Atlantic Ocean,1
2020-2022,Total,Populated,Atlantic Ocean,0
2020-2022,Total,Mixed pressures,Atlantic Ocean,9
2020-2022,Total,Undeveloped,Atlantic Ocean,33
2020-2022,Total,Agriculture,Great Lakes and St. Lawrence River,2
2020-2022,Total,Forestry,Great Lakes and St. Lawrence River,2
2020-2022,Total,Mining,Great Lakes and St. Lawrence River,4
2020-2022,Total,Populated,Great Lakes and St. Lawrence River,0
2020-2022,Total,Mixed pressures,Great Lakes and St. Lawrence River,20
2020-2022,Total,Undeveloped,Great Lakes and St. Lawrence River,6
2020-2022,Total,Agriculture,Hudson Bay,23
2020-2022,Total,Forestry,Hudson Bay,0
2020-2022,Total,Mining,Hudson Bay,0
2020-2022,Total,Populated,Hudson Bay,0
2020-2022,Total,Mixed pressures,Hudson Bay,32
2020-2022,Total,Undeveloped,Hudson Bay,4
2020-2022,Total,Agriculture,Mackenzie River,0
2020-2022,Total,Forestry,Mackenzie River,0
2020-2022,Total,Mining,Mackenzie River,12
2020-2022,Total,Populated,Mackenzie River,0
2020-2022,Total,Mixed pressures,Mackenzie River,17
2020-2022,Total,Undeveloped,Mackenzie River,28
2020-2022,Total,Agriculture,Pacific Ocean,0
2020-2022,Total,Forestry,Pacific Ocean,10
2020-2022,Total,Mining,Pacific Ocean,5
2020-2022,Total,Populated,Pacific Ocean,0
2020-2022,Total,Mixed pressures,Pacific Ocean,35
2020-2022,Total,Undeveloped,Pacific Ocean,10
2021-2023,Total,Agriculture,Canada,8
2021-2023,Total,Forestry,Canada,5
2021-2023,Total,Mining,Canada,2
2021-2023,Total,Populated,Canada,0
2021-2023,Total,Mixed pressures,Canada,21
2021-2023,Total,Undeveloped,Canada,13
2021-2023,,,,49
2021-2023,Total,Agriculture,Atlantic Ocean,7
2021-2023,Total,Forestry,Atlantic Ocean,15
2021-2023,Total,Mining,Atlantic Ocean,2
2021-2023,Total,Populated,Atlantic Ocean,0
2021-2023,Total,Mixed pressures,Atlantic Ocean,7
2021-2023,Total,Undeveloped,Atlantic Ocean,28
2021-2023,Total,Total,Atlantic Ocean,59
2021-2023,Total,Agriculture,Great Lakes and St. Lawrence River,6
2021-2023,Total,Forestry,Great Lakes and St. Lawrence River,0
2021-2023,Total,Mining,Great Lakes and St. Lawrence River,4
2021-2023,Total,Populated,Great Lakes and St. Lawrence River,0
2021-2023,Total,Mixed pressures,Great Lakes and St. Lawrence River,22
2021-2023,Total,Undeveloped,Great Lakes and St. Lawrence River,6
2021-2023,Total,Total,Great Lakes and St. Lawrence River,37
2021-2023,Total,Agriculture,Hudson Bay,18
2021-2023,Total,Forestry,Hudson Bay,0
2021-2023,Total,Mining,Hudson Bay,0
2021-2023,Total,Populated,Hudson Bay,0
2021-2023,Total,Mixed pressures,Hudson Bay,30
2021-2023,Total,Undeveloped,Hudson Bay,4
2021-2023,Total,Total,Hudson Bay,52
2021-2023,Total,Agriculture,Mackenzie River,0
2021-2023,Total,Forestry,Mackenzie River,0
2021-2023,Total,Mining,Mackenzie River,12
2021-2023,Total,Populated,Mackenzie River,0
2021-2023,Total,Mixed pressures,Mackenzie River,17
2021-2023,Total,Undeveloped,Mackenzie River,28
2021-2023,Total,Total,Mackenzie River,56
2021-2023,Total,Agriculture,Pacific Ocean,0
2021-2023,Total,Forestry,Pacific Ocean,10
2021-2023,Total,Mining,Pacific Ocean,5
2021-2023,Total,Populated,Pacific Ocean,0
2021-2023,Total,Mixed pressures,Pacific Ocean,30
2021-2023,Total,Undeveloped,Pacific Ocean,10
2021-2023,Total,Total,Pacific Ocean,55
