Year,Genre,Groupe d'âge,Géographie,GeoCode,Progress,Value
2017,Femmes+,45 ans et plus,Ontario,35,4.6,4.6
2017,Femmes+,25 à 54 ans,Ontario,35,5.3,5.3
2017,Femmes+,55 ans et plus,Ontario,35,4.5,4.5
2017,Femmes+,15 à 64 ans,Ontario,35,5.9,5.9
2017,Femmes+,15 à 19 ans,Ontario,35,14.2,14.2
2017,Femmes+,20 à 24 ans,Ontario,35,7.9,7.9
2017,Femmes+,25 à 29 ans,Ontario,35,7.2,7.2
2017,Femmes+,30 à 34 ans,Ontario,35,4.8,4.8
2017,Femmes+,35 à 39 ans,Ontario,35,5.0,5.0
2017,Femmes+,40 à 44 ans,Ontario,35,5.1,5.1
2017,Femmes+,45 à 49 ans,Ontario,35,4.9,4.9
2017,Femmes+,50 à 54 ans,Ontario,35,4.5,4.5
2017,Femmes+,55 à 59 ans,Ontario,35,4.5,4.5
2017,Femmes+,60 à 64 ans,Ontario,35,4.8,4.8
2017,Femmes+,65 ans et plus,Ontario,35,3.8,3.8
2017,Femmes+,65 à 69 ans,Ontario,35,4.1,4.1
2017,Femmes+,70 ans et plus,Ontario,35,3.2,3.2
2017,Total - Genre,15 ans et plus,Manitoba,46,5.3,5.3
2017,Total - Genre,15 à 24 ans,Manitoba,46,10.9,10.9
2017,Total - Genre,25 ans et plus,Manitoba,46,4.2,4.2
2017,Total - Genre,25 à 44 ans,Manitoba,46,4.5,4.5
2017,Total - Genre,45 à 64 ans,Manitoba,46,4.1,4.1
2017,Total - Genre,45 ans et plus,Manitoba,46,3.9,3.9
2017,Total - Genre,25 à 54 ans,Manitoba,46,4.4,4.4
2017,Total - Genre,55 ans et plus,Manitoba,46,3.9,3.9
2017,Total - Genre,15 à 64 ans,Manitoba,46,5.5,5.5
2017,Total - Genre,15 à 19 ans,Manitoba,46,15.8,15.8
2017,Total - Genre,20 à 24 ans,Manitoba,46,8.0,8.0
2017,Total - Genre,25 à 29 ans,Manitoba,46,5.3,5.3
2017,Total - Genre,30 à 34 ans,Manitoba,46,5.0,5.0
2017,Total - Genre,35 à 39 ans,Manitoba,46,4.2,4.2
2017,Total - Genre,40 à 44 ans,Manitoba,46,3.4,3.4
2017,Total - Genre,45 à 49 ans,Manitoba,46,3.8,3.8
2017,Total - Genre,50 à 54 ans,Manitoba,46,4.2,4.2
2017,Total - Genre,55 à 59 ans,Manitoba,46,4.1,4.1
2017,Total - Genre,60 à 64 ans,Manitoba,46,4.4,4.4
2017,Total - Genre,65 ans et plus,Manitoba,46,-1.0,2.3
2017,Total - Genre,65 à 69 ans,Manitoba,46,3.2,3.2
2017,Total - Genre,70 ans et plus,Manitoba,46,,
2017,Hommes+,15 ans et plus,Manitoba,46,5.6,5.6
2017,Hommes+,15 à 24 ans,Manitoba,46,12.1,12.1
2017,Hommes+,25 ans et plus,Manitoba,46,4.4,4.4
2017,Hommes+,25 à 44 ans,Manitoba,46,4.8,4.8
2017,Hommes+,45 à 64 ans,Manitoba,46,4.2,4.2
2017,Hommes+,45 ans et plus,Manitoba,46,4.0,4.0
2017,Hommes+,25 à 54 ans,Manitoba,46,4.6,4.6
2017,Hommes+,55 ans et plus,Manitoba,46,3.7,3.7
2017,Hommes+,15 à 64 ans,Manitoba,46,5.8,5.8
2017,Hommes+,15 à 19 ans,Manitoba,46,18.1,18.1
2017,Hommes+,20 à 24 ans,Manitoba,46,8.7,8.7
2017,Hommes+,25 à 29 ans,Manitoba,46,5.8,5.8
2017,Hommes+,30 à 34 ans,Manitoba,46,5.6,5.6
2017,Hommes+,35 à 39 ans,Manitoba,46,4.5,4.5
2017,Hommes+,40 à 44 ans,Manitoba,46,3.2,3.2
2017,Hommes+,45 à 49 ans,Manitoba,46,3.7,3.7
2017,Hommes+,50 à 54 ans,Manitoba,46,4.6,4.6
2017,Hommes+,55 à 59 ans,Manitoba,46,4.0,4.0
2017,Hommes+,60 à 64 ans,Manitoba,46,4.5,4.5
2017,Hommes+,65 ans et plus,Manitoba,46,,
2017,Hommes+,65 à 69 ans,Manitoba,46,,
2017,Hommes+,70 ans et plus,Manitoba,46,,
2017,Femmes+,15 ans et plus,Manitoba,46,5.0,5.0
2017,Femmes+,15 à 24 ans,Manitoba,46,9.5,9.5
2017,Femmes+,25 ans et plus,Manitoba,46,4.1,4.1
2017,Femmes+,25 à 44 ans,Manitoba,46,4.2,4.2
2017,Femmes+,45 à 64 ans,Manitoba,46,4.1,4.1
2017,Femmes+,45 ans et plus,Manitoba,46,4.0,4.0
2017,Femmes+,25 à 54 ans,Manitoba,46,4.1,4.1
2017,Femmes+,55 ans et plus,Manitoba,46,4.1,4.1
2017,Femmes+,15 à 64 ans,Manitoba,46,5.1,5.1
2017,Femmes+,15 à 19 ans,Manitoba,46,13.6,13.6
2017,Femmes+,20 à 24 ans,Manitoba,46,7.1,7.1
2017,Femmes+,25 à 29 ans,Manitoba,46,4.6,4.6
2017,Femmes+,30 à 34 ans,Manitoba,46,4.6,4.6
2017,Femmes+,35 à 39 ans,Manitoba,46,3.8,3.8
2017,Femmes+,40 à 44 ans,Manitoba,46,3.7,3.7
2017,Femmes+,45 à 49 ans,Manitoba,46,3.9,3.9
2017,Femmes+,50 à 54 ans,Manitoba,46,3.8,3.8
2017,Femmes+,55 à 59 ans,Manitoba,46,4.2,4.2
2017,Femmes+,60 à 64 ans,Manitoba,46,4.3,4.3
2017,Femmes+,65 ans et plus,Manitoba,46,,
2017,Femmes+,65 à 69 ans,Manitoba,46,,
2017,Femmes+,70 ans et plus,Manitoba,46,,
2017,Total - Genre,15 ans et plus,Saskatchewan,47,6.4,6.4
2017,Total - Genre,15 à 24 ans,Saskatchewan,47,11.8,11.8
2017,Total - Genre,25 ans et plus,Saskatchewan,47,5.5,5.5
2017,Total - Genre,25 à 44 ans,Saskatchewan,47,5.8,5.8
2017,Total - Genre,45 à 64 ans,Saskatchewan,47,5.2,5.2
2017,Total - Genre,45 ans et plus,Saskatchewan,47,5.1,5.1
2017,Total - Genre,25 à 54 ans,Saskatchewan,47,5.6,5.6
2017,Total - Genre,55 ans et plus,Saskatchewan,47,5.0,5.0
2017,Total - Genre,15 à 64 ans,Saskatchewan,47,6.5,6.5
2017,Total - Genre,15 à 19 ans,Saskatchewan,47,15.4,15.4
2017,Total - Genre,20 à 24 ans,Saskatchewan,47,9.5,9.5
2017,Total - Genre,25 à 29 ans,Saskatchewan,47,8.1,8.1
2017,Total - Genre,30 à 34 ans,Saskatchewan,47,5.2,5.2
2017,Total - Genre,35 à 39 ans,Saskatchewan,47,5.4,5.4
2017,Total - Genre,40 à 44 ans,Saskatchewan,47,4.8,4.8
2017,Total - Genre,45 à 49 ans,Saskatchewan,47,5.2,5.2
2017,Total - Genre,50 à 54 ans,Saskatchewan,47,5.2,5.2
2017,Total - Genre,55 à 59 ans,Saskatchewan,47,5.1,5.1
2017,Total - Genre,60 à 64 ans,Saskatchewan,47,5.5,5.5
2017,Total - Genre,65 ans et plus,Saskatchewan,47,4.4,4.4
2017,Total - Genre,65 à 69 ans,Saskatchewan,47,5.7,5.7
2017,Total - Genre,70 ans et plus,Saskatchewan,47,,
2017,Hommes+,15 ans et plus,Saskatchewan,47,7.0,7.0
2017,Hommes+,15 à 24 ans,Saskatchewan,47,13.0,13.0
2017,Hommes+,25 ans et plus,Saskatchewan,47,6.0,6.0
2017,Hommes+,25 à 44 ans,Saskatchewan,47,6.3,6.3
2017,Hommes+,45 à 64 ans,Saskatchewan,47,5.6,5.6
2017,Hommes+,45 ans et plus,Saskatchewan,47,5.6,5.6
2017,Hommes+,25 à 54 ans,Saskatchewan,47,6.1,6.1
2017,Hommes+,55 ans et plus,Saskatchewan,47,5.5,5.5
2017,Hommes+,15 à 64 ans,Saskatchewan,47,7.1,7.1
2017,Hommes+,15 à 19 ans,Saskatchewan,47,17.2,17.2
2017,Hommes+,20 à 24 ans,Saskatchewan,47,10.7,10.7
2017,Hommes+,25 à 29 ans,Saskatchewan,47,9.2,9.2
2017,Hommes+,30 à 34 ans,Saskatchewan,47,5.3,5.3
2017,Hommes+,35 à 39 ans,Saskatchewan,47,5.9,5.9
2017,Hommes+,40 à 44 ans,Saskatchewan,47,5.0,5.0
2017,Hommes+,45 à 49 ans,Saskatchewan,47,5.2,5.2
2017,Hommes+,50 à 54 ans,Saskatchewan,47,6.2,6.2
2017,Hommes+,55 à 59 ans,Saskatchewan,47,5.3,5.3
2017,Hommes+,60 à 64 ans,Saskatchewan,47,5.9,5.9
2017,Hommes+,65 ans et plus,Saskatchewan,47,,
2017,Hommes+,65 à 69 ans,Saskatchewan,47,,
2017,Hommes+,70 ans et plus,Saskatchewan,47,,
2017,Femmes+,15 ans et plus,Saskatchewan,47,5.7,5.7
2017,Femmes+,15 à 24 ans,Saskatchewan,47,10.4,10.4
2017,Femmes+,25 ans et plus,Saskatchewan,47,4.9,4.9
2017,Femmes+,25 à 44 ans,Saskatchewan,47,5.3,5.3
2017,Femmes+,45 à 64 ans,Saskatchewan,47,4.7,4.7
2017,Femmes+,45 ans et plus,Saskatchewan,47,4.5,4.5
2017,Femmes+,25 à 54 ans,Saskatchewan,47,5.1,5.1
2017,Femmes+,55 ans et plus,Saskatchewan,47,4.4,4.4
2017,Femmes+,15 à 64 ans,Saskatchewan,47,5.9,5.9
2017,Femmes+,15 à 19 ans,Saskatchewan,47,13.6,13.6
2017,Femmes+,20 à 24 ans,Saskatchewan,47,8.2,8.2
2017,Femmes+,25 à 29 ans,Saskatchewan,47,6.8,6.8
2017,Femmes+,30 à 34 ans,Saskatchewan,47,5.0,5.0
2017,Femmes+,35 à 39 ans,Saskatchewan,47,4.7,4.7
2017,Femmes+,40 à 44 ans,Saskatchewan,47,4.6,4.6
2017,Femmes+,45 à 49 ans,Saskatchewan,47,5.2,5.2
2017,Femmes+,50 à 54 ans,Saskatchewan,47,4.1,4.1
2017,Femmes+,55 à 59 ans,Saskatchewan,47,4.8,4.8
2017,Femmes+,60 à 64 ans,Saskatchewan,47,4.4,4.4
2017,Femmes+,65 ans et plus,Saskatchewan,47,,
2017,Femmes+,65 à 69 ans,Saskatchewan,47,,
2017,Femmes+,70 ans et plus,Saskatchewan,47,,
2017,Total - Genre,15 ans et plus,Alberta,48,8.0,8.0
2017,Total - Genre,15 à 24 ans,Alberta,48,13.1,13.1
2017,Total - Genre,25 ans et plus,Alberta,48,7.2,7.2
2017,Total - Genre,25 à 44 ans,Alberta,48,6.4,6.4
2017,Total - Genre,45 à 64 ans,Alberta,48,8.2,8.2
2017,Total - Genre,45 ans et plus,Alberta,48,8.1,8.1
2017,Total - Genre,25 à 54 ans,Alberta,48,6.8,6.8
2017,Total - Genre,55 ans et plus,Alberta,48,8.6,8.6
2017,Total - Genre,15 à 64 ans,Alberta,48,8.1,8.1
2017,Total - Genre,15 à 19 ans,Alberta,48,18.2,18.2
2017,Total - Genre,20 à 24 ans,Alberta,48,10.2,10.2
2017,Total - Genre,25 à 29 ans,Alberta,48,8.2,8.2
2017,Total - Genre,30 à 34 ans,Alberta,48,5.9,5.9
2017,Total - Genre,35 à 39 ans,Alberta,48,5.4,5.4
2017,Total - Genre,40 à 44 ans,Alberta,48,6.2,6.2
2017,Total - Genre,45 à 49 ans,Alberta,48,7.1,7.1
2017,Total - Genre,50 à 54 ans,Alberta,48,8.0,8.0
2017,Total - Genre,55 à 59 ans,Alberta,48,8.6,8.6
2017,Total - Genre,60 à 64 ans,Alberta,48,9.5,9.5
2017,Total - Genre,65 ans et plus,Alberta,48,7.3,7.3
2017,Total - Genre,65 à 69 ans,Alberta,48,9.8,9.8
2017,Total - Genre,70 ans et plus,Alberta,48,,
2017,Hommes+,15 ans et plus,Alberta,48,8.5,8.5
2017,Hommes+,15 à 24 ans,Alberta,48,15.8,15.8
2017,Hommes+,25 ans et plus,Alberta,48,7.3,7.3
2017,Hommes+,25 à 44 ans,Alberta,48,6.3,6.3
2017,Hommes+,45 à 64 ans,Alberta,48,8.7,8.7
2017,Hommes+,45 ans et plus,Alberta,48,8.6,8.6
2017,Hommes+,25 à 54 ans,Alberta,48,6.7,6.7
2017,Hommes+,55 ans et plus,Alberta,48,9.3,9.3
2017,Hommes+,15 à 64 ans,Alberta,48,8.5,8.5
2017,Hommes+,15 à 19 ans,Alberta,48,21.3,21.3
2017,Hommes+,20 à 24 ans,Alberta,48,12.7,12.7
2017,Hommes+,25 à 29 ans,Alberta,48,8.4,8.4
2017,Hommes+,30 à 34 ans,Alberta,48,5.2,5.2
2017,Hommes+,35 à 39 ans,Alberta,48,5.4,5.4
2017,Hommes+,40 à 44 ans,Alberta,48,6.3,6.3
2017,Hommes+,45 à 49 ans,Alberta,48,6.7,6.7
2017,Hommes+,50 à 54 ans,Alberta,48,8.9,8.9
2017,Hommes+,55 à 59 ans,Alberta,48,9.5,9.5
2017,Hommes+,60 à 64 ans,Alberta,48,9.8,9.8
2017,Hommes+,65 ans et plus,Alberta,48,8.0,8.0
2017,Hommes+,65 à 69 ans,Alberta,48,,
2017,Hommes+,70 ans et plus,Alberta,48,,
2017,Femmes+,15 ans et plus,Alberta,48,7.5,7.5
2017,Femmes+,15 à 24 ans,Alberta,48,10.2,10.2
2017,Femmes+,25 ans et plus,Alberta,48,7.0,7.0
2017,Femmes+,25 à 44 ans,Alberta,48,6.6,6.6
2017,Femmes+,45 à 64 ans,Alberta,48,7.6,7.6
2017,Femmes+,45 ans et plus,Alberta,48,7.4,7.4
2017,Femmes+,25 à 54 ans,Alberta,48,6.8,6.8
2017,Femmes+,55 ans et plus,Alberta,48,7.7,7.7
2017,Femmes+,15 à 64 ans,Alberta,48,7.5,7.5
2017,Femmes+,15 à 19 ans,Alberta,48,14.8,14.8
2017,Femmes+,20 à 24 ans,Alberta,48,7.4,7.4
2017,Femmes+,25 à 29 ans,Alberta,48,8.0,8.0
2017,Femmes+,30 à 34 ans,Alberta,48,6.8,6.8
2017,Femmes+,35 à 39 ans,Alberta,48,5.4,5.4
2017,Femmes+,40 à 44 ans,Alberta,48,6.1,6.1
2017,Femmes+,45 à 49 ans,Alberta,48,7.5,7.5
2017,Femmes+,50 à 54 ans,Alberta,48,7.0,7.0
2017,Femmes+,55 à 59 ans,Alberta,48,7.5,7.5
2017,Femmes+,60 à 64 ans,Alberta,48,9.0,9.0
2017,Femmes+,65 ans et plus,Alberta,48,5.8,5.8
2017,Femmes+,65 à 69 ans,Alberta,48,,
2017,Femmes+,70 ans et plus,Alberta,48,,
2017,Total - Genre,15 ans et plus,Colombie-Britannique,59,5.3,5.3
2017,Total - Genre,15 à 24 ans,Colombie-Britannique,59,8.5,8.5
2017,Total - Genre,25 ans et plus,Colombie-Britannique,59,4.7,4.7
2017,Total - Genre,25 à 44 ans,Colombie-Britannique,59,4.7,4.7
2017,Total - Genre,45 à 64 ans,Colombie-Britannique,59,4.8,4.8
2017,Total - Genre,45 ans et plus,Colombie-Britannique,59,4.8,4.8
2017,Total - Genre,25 à 54 ans,Colombie-Britannique,59,4.6,4.6
2017,Total - Genre,55 ans et plus,Colombie-Britannique,59,5.2,5.2
2017,Total - Genre,15 à 64 ans,Colombie-Britannique,59,5.3,5.3
2017,Total - Genre,15 à 19 ans,Colombie-Britannique,59,10.9,10.9
2017,Total - Genre,20 à 24 ans,Colombie-Britannique,59,7.3,7.3
2017,Total - Genre,25 à 29 ans,Colombie-Britannique,59,4.8,4.8
2017,Total - Genre,30 à 34 ans,Colombie-Britannique,59,4.6,4.6
2017,Total - Genre,35 à 39 ans,Colombie-Britannique,59,4.7,4.7
2017,Total - Genre,40 à 44 ans,Colombie-Britannique,59,4.5,4.5
2017,Total - Genre,45 à 49 ans,Colombie-Britannique,59,4.7,4.7
2017,Total - Genre,50 à 54 ans,Colombie-Britannique,59,4.1,4.1
2017,Total - Genre,55 à 59 ans,Colombie-Britannique,59,4.7,4.7
2017,Total - Genre,60 à 64 ans,Colombie-Britannique,59,6.2,6.2
2017,Total - Genre,65 ans et plus,Colombie-Britannique,59,4.8,4.8
2017,Total - Genre,65 à 69 ans,Colombie-Britannique,59,4.6,4.6
2017,Total - Genre,70 ans et plus,Colombie-Britannique,59,5.5,5.5
2017,Hommes+,15 ans et plus,Colombie-Britannique,59,5.6,5.6
2017,Hommes+,15 à 24 ans,Colombie-Britannique,59,10.4,10.4
2017,Hommes+,25 ans et plus,Colombie-Britannique,59,4.8,4.8
2017,Hommes+,25 à 44 ans,Colombie-Britannique,59,4.7,4.7
2017,Hommes+,45 à 64 ans,Colombie-Britannique,59,4.8,4.8
2017,Hommes+,45 ans et plus,Colombie-Britannique,59,4.9,4.9
2017,Hommes+,25 à 54 ans,Colombie-Britannique,59,4.6,4.6
2017,Hommes+,55 ans et plus,Colombie-Britannique,59,5.5,5.5
2017,Hommes+,15 à 64 ans,Colombie-Britannique,59,5.6,5.6
2017,Hommes+,15 à 19 ans,Colombie-Britannique,59,12.7,12.7
2017,Hommes+,20 à 24 ans,Colombie-Britannique,59,9.1,9.1
2017,Hommes+,25 à 29 ans,Colombie-Britannique,59,4.7,4.7
2017,Hommes+,30 à 34 ans,Colombie-Britannique,59,4.7,4.7
2017,Hommes+,35 à 39 ans,Colombie-Britannique,59,5.0,5.0
2017,Hommes+,40 à 44 ans,Colombie-Britannique,59,4.4,4.4
2017,Hommes+,45 à 49 ans,Colombie-Britannique,59,4.4,4.4
2017,Hommes+,50 à 54 ans,Colombie-Britannique,59,4.1,4.1
2017,Hommes+,55 à 59 ans,Colombie-Britannique,59,4.6,4.6
2017,Hommes+,60 à 64 ans,Colombie-Britannique,59,6.8,6.8
2017,Hommes+,65 ans et plus,Colombie-Britannique,59,5.4,5.4
2017,Hommes+,65 à 69 ans,Colombie-Britannique,59,,
2017,Hommes+,70 ans et plus,Colombie-Britannique,59,,
2017,Femmes+,15 ans et plus,Colombie-Britannique,59,5.0,5.0
2017,Femmes+,15 à 24 ans,Colombie-Britannique,59,6.6,6.6
2017,Femmes+,25 ans et plus,Colombie-Britannique,59,4.7,4.7
2017,Femmes+,25 à 44 ans,Colombie-Britannique,59,4.6,4.6
2017,Femmes+,45 à 64 ans,Colombie-Britannique,59,4.8,4.8
2017,Femmes+,45 ans et plus,Colombie-Britannique,59,4.7,4.7
2017,Femmes+,25 à 54 ans,Colombie-Britannique,59,4.6,4.6
2017,Femmes+,55 ans et plus,Colombie-Britannique,59,4.9,4.9
2017,Femmes+,15 à 64 ans,Colombie-Britannique,59,5.0,5.0
2017,Femmes+,15 à 19 ans,Colombie-Britannique,59,8.8,8.8
2017,Femmes+,20 à 24 ans,Colombie-Britannique,59,5.3,5.3
2017,Femmes+,25 à 29 ans,Colombie-Britannique,59,5.0,5.0
2017,Femmes+,30 à 34 ans,Colombie-Britannique,59,4.4,4.4
2017,Femmes+,35 à 39 ans,Colombie-Britannique,59,4.4,4.4
2017,Femmes+,40 à 44 ans,Colombie-Britannique,59,4.7,4.7
2017,Femmes+,45 à 49 ans,Colombie-Britannique,59,5.0,5.0
2017,Femmes+,50 à 54 ans,Colombie-Britannique,59,4.1,4.1
2017,Femmes+,55 à 59 ans,Colombie-Britannique,59,4.8,4.8
2017,Femmes+,60 à 64 ans,Colombie-Britannique,59,5.6,5.6
2017,Femmes+,65 ans et plus,Colombie-Britannique,59,3.9,3.9
2017,Femmes+,65 à 69 ans,Colombie-Britannique,59,,
2017,Femmes+,70 ans et plus,Colombie-Britannique,59,,
2018,Total - Genre,15 à 24 ans,Canada,,10.6,10.6
2018,Total - Genre,25 ans et plus,Canada,,5.0,5.0
2018,Total - Genre,25 à 44 ans,Canada,,5.1,5.1
2018,Total - Genre,45 à 64 ans,Canada,,5.0,5.0
2018,Total - Genre,45 ans et plus,Canada,,5.0,5.0
2018,Total - Genre,25 à 54 ans,Canada,,5.0,5.0
2018,Total - Genre,55 ans et plus,Canada,,5.2,5.2
2018,Total - Genre,15 à 64 ans,Canada,,5.9,5.9
2018,Total - Genre,15 à 19 ans,Canada,,14.6,14.6
2018,Total - Genre,20 à 24 ans,Canada,,8.4,8.4
2018,Total - Genre,25 à 29 ans,Canada,,6.0,6.0
2018,Total - Genre,30 à 34 ans,Canada,,5.2,5.2
2018,Total - Genre,35 à 39 ans,Canada,,4.5,4.5
2018,Total - Genre,40 à 44 ans,Canada,,4.7,4.7
2018,Total - Genre,45 à 49 ans,Canada,,4.9,4.9
2018,Total - Genre,50 à 54 ans,Canada,,4.5,4.5
2018,Total - Genre,55 à 59 ans,Canada,,5.0,5.0
2018,Total - Genre,60 à 64 ans,Canada,,6.1,6.1
2018,Total - Genre,65 ans et plus,Canada,,4.3,4.3
2018,Total - Genre,65 à 69 ans,Canada,,4.9,4.9
2018,Total - Genre,70 ans et plus,Canada,,3.4,3.4
2018,Hommes+,15 ans et plus,Canada,,6.1,6.1
2018,Hommes+,15 à 24 ans,Canada,,11.9,11.9
2018,Hommes+,25 ans et plus,Canada,,5.2,5.2
2018,Hommes+,25 à 44 ans,Canada,,5.2,5.2
2018,Hommes+,45 à 64 ans,Canada,,5.2,5.2
2018,Hommes+,45 ans et plus,Canada,,5.1,5.1
2018,Hommes+,25 à 54 ans,Canada,,5.0,5.0
2018,Hommes+,55 ans et plus,Canada,,5.6,5.6
2018,Hommes+,15 à 64 ans,Canada,,6.2,6.2
2018,Hommes+,15 à 19 ans,Canada,,16.1,16.1
2018,Hommes+,20 à 24 ans,Canada,,9.6,9.6
2018,Hommes+,25 à 29 ans,Canada,,6.8,6.8
2018,Hommes+,30 à 34 ans,Canada,,5.3,5.3
2018,Hommes+,35 à 39 ans,Canada,,4.1,4.1
2018,Hommes+,40 à 44 ans,Canada,,4.4,4.4
2018,Hommes+,45 à 49 ans,Canada,,4.8,4.8
2018,Hommes+,50 à 54 ans,Canada,,4.4,4.4
2018,Hommes+,55 à 59 ans,Canada,,5.3,5.3
2018,Hommes+,60 à 64 ans,Canada,,6.6,6.6
2018,Hommes+,65 ans et plus,Canada,,4.9,4.9
2018,Hommes+,65 à 69 ans,Canada,,5.5,5.5
2018,Hommes+,70 ans et plus,Canada,,3.9,3.9
2018,Femmes+,15 ans et plus,Canada,,5.5,5.5
2018,Femmes+,15 à 24 ans,Canada,,9.3,9.3
2018,Femmes+,25 ans et plus,Canada,,4.9,4.9
2018,Femmes+,25 à 44 ans,Canada,,5.0,5.0
2018,Femmes+,45 à 64 ans,Canada,,4.9,4.9
2018,Femmes+,45 ans et plus,Canada,,4.8,4.8
2018,Femmes+,25 à 54 ans,Canada,,4.9,4.9
2018,Femmes+,55 ans et plus,Canada,,4.8,4.8
2018,Femmes+,15 à 64 ans,Canada,,5.6,5.6
2018,Femmes+,15 à 19 ans,Canada,,13.1,13.1
2018,Femmes+,20 à 24 ans,Canada,,7.1,7.1
2018,Femmes+,25 à 29 ans,Canada,,5.1,5.1
2018,Femmes+,30 à 34 ans,Canada,,5.0,5.0
2018,Femmes+,35 à 39 ans,Canada,,4.8,4.8
2018,Femmes+,40 à 44 ans,Canada,,4.9,4.9
2018,Femmes+,45 à 49 ans,Canada,,5.1,5.1
2018,Femmes+,50 à 54 ans,Canada,,4.5,4.5
2018,Femmes+,55 à 59 ans,Canada,,4.7,4.7
2018,Femmes+,60 à 64 ans,Canada,,5.4,5.4
2018,Femmes+,65 ans et plus,Canada,,3.5,3.5
2018,Femmes+,65 à 69 ans,Canada,,4.0,4.0
2018,Femmes+,70 ans et plus,Canada,,-1.0,2.6
2018,Total - Genre,15 ans et plus,Terre-Neuve-et-Labrador,10,14.0,14.0
2018,Total - Genre,15 à 24 ans,Terre-Neuve-et-Labrador,10,18.7,18.7
2018,Total - Genre,25 ans et plus,Terre-Neuve-et-Labrador,10,13.4,13.4
2018,Total - Genre,25 à 44 ans,Terre-Neuve-et-Labrador,10,11.6,11.6
2018,Total - Genre,45 à 64 ans,Terre-Neuve-et-Labrador,10,14.8,14.8
2018,Total - Genre,45 ans et plus,Terre-Neuve-et-Labrador,10,14.9,14.9
2018,Total - Genre,25 à 54 ans,Terre-Neuve-et-Labrador,10,12.1,12.1
2018,Total - Genre,55 ans et plus,Terre-Neuve-et-Labrador,10,17.1,17.1
2018,Total - Genre,15 à 64 ans,Terre-Neuve-et-Labrador,10,14.0,14.0
2018,Total - Genre,15 à 19 ans,Terre-Neuve-et-Labrador,10,21.4,21.4
2018,Total - Genre,20 à 24 ans,Terre-Neuve-et-Labrador,10,16.4,16.4
2018,Total - Genre,25 à 29 ans,Terre-Neuve-et-Labrador,10,14.2,14.2
2018,Total - Genre,30 à 34 ans,Terre-Neuve-et-Labrador,10,11.7,11.7
2018,Total - Genre,35 à 39 ans,Terre-Neuve-et-Labrador,10,9.9,9.9
2018,Total - Genre,40 à 44 ans,Terre-Neuve-et-Labrador,10,10.9,10.9
2018,Total - Genre,45 à 49 ans,Terre-Neuve-et-Labrador,10,11.7,11.7
2018,Total - Genre,50 à 54 ans,Terre-Neuve-et-Labrador,10,13.9,13.9
2018,Total - Genre,55 à 59 ans,Terre-Neuve-et-Labrador,10,15.5,15.5
2018,Total - Genre,60 à 64 ans,Terre-Neuve-et-Labrador,10,20.1,20.1
2018,Total - Genre,65 ans et plus,Terre-Neuve-et-Labrador,10,15.3,15.3
2018,Total - Genre,65 à 69 ans,Terre-Neuve-et-Labrador,10,17.1,17.1
2018,Total - Genre,70 ans et plus,Terre-Neuve-et-Labrador,10,,
2018,Hommes+,15 ans et plus,Terre-Neuve-et-Labrador,10,16.8,16.8
2018,Hommes+,15 à 24 ans,Terre-Neuve-et-Labrador,10,22.6,22.6
2018,Hommes+,25 ans et plus,Terre-Neuve-et-Labrador,10,16.0,16.0
2018,Hommes+,25 à 44 ans,Terre-Neuve-et-Labrador,10,13.6,13.6
2018,Hommes+,45 à 64 ans,Terre-Neuve-et-Labrador,10,17.7,17.7
2018,Hommes+,45 ans et plus,Terre-Neuve-et-Labrador,10,17.7,17.7
2018,Hommes+,25 à 54 ans,Terre-Neuve-et-Labrador,10,14.4,14.4
2018,Hommes+,55 ans et plus,Terre-Neuve-et-Labrador,10,20.0,20.0
2018,Hommes+,15 à 64 ans,Terre-Neuve-et-Labrador,10,16.7,16.7
2018,Hommes+,15 à 19 ans,Terre-Neuve-et-Labrador,10,24.2,24.2
2018,Hommes+,20 à 24 ans,Terre-Neuve-et-Labrador,10,21.4,21.4
2018,Hommes+,25 à 29 ans,Terre-Neuve-et-Labrador,10,17.6,17.6
2018,Hommes+,30 à 34 ans,Terre-Neuve-et-Labrador,10,13.7,13.7
2018,Hommes+,35 à 39 ans,Terre-Neuve-et-Labrador,10,10.7,10.7
2018,Hommes+,40 à 44 ans,Terre-Neuve-et-Labrador,10,12.7,12.7
2018,Hommes+,45 à 49 ans,Terre-Neuve-et-Labrador,10,14.1,14.1
2018,Hommes+,50 à 54 ans,Terre-Neuve-et-Labrador,10,16.4,16.4
2018,Hommes+,55 à 59 ans,Terre-Neuve-et-Labrador,10,17.8,17.8
2018,Hommes+,60 à 64 ans,Terre-Neuve-et-Labrador,10,25.2,25.2
2018,Hommes+,65 ans et plus,Terre-Neuve-et-Labrador,10,17.8,17.8
2018,Hommes+,65 à 69 ans,Terre-Neuve-et-Labrador,10,,
2018,Hommes+,70 ans et plus,Terre-Neuve-et-Labrador,10,,
2018,Femmes+,15 ans et plus,Terre-Neuve-et-Labrador,10,10.9,10.9
2018,Femmes+,15 à 24 ans,Terre-Neuve-et-Labrador,10,14.2,14.2
2018,Femmes+,25 ans et plus,Terre-Neuve-et-Labrador,10,10.6,10.6
2018,Femmes+,25 à 44 ans,Terre-Neuve-et-Labrador,10,9.3,9.3
2018,Femmes+,45 à 64 ans,Terre-Neuve-et-Labrador,10,11.5,11.5
2018,Femmes+,45 ans et plus,Terre-Neuve-et-Labrador,10,11.5,11.5
