Year,Niveau de sécurité alimentaire du ménage,Géographie,Sexe,Groupe d'âge,Type de famille économique,Minorité visible,Population autochtone,GeoCode,Value
2020,Insécurité alimentaire modérée ou grave,Alberta,Femme,,Personnes âgées hors famille économique,,,48,13.6
2020,Insécurité alimentaire modérée,Alberta,Femme,,Personnes âgées hors famille économique,,,48,9.8
2020,Sécurité alimentaire,Alberta,Les deux sexes,,Personnes non âgées hors famille économique,,,48,73.3
2020,Insécurité alimentaire,Alberta,Les deux sexes,,Personnes non âgées hors famille économique,,,48,26.7
2020,Insécurité alimentaire marginale,Alberta,Les deux sexes,,Personnes non âgées hors famille économique,,,48,5.7
2020,Insécurité alimentaire modérée ou grave,Alberta,Les deux sexes,,Personnes non âgées hors famille économique,,,48,21.0
2020,Insécurité alimentaire modérée,Alberta,Les deux sexes,,Personnes non âgées hors famille économique,,,48,11.3
2020,Insécurité alimentaire grave,Alberta,Les deux sexes,,Personnes non âgées hors famille économique,,,48,9.7
2020,Sécurité alimentaire,Alberta,Homme,,Personnes non âgées hors famille économique,,,48,73.2
2020,Insécurité alimentaire,Alberta,Homme,,Personnes non âgées hors famille économique,,,48,26.8
2020,Insécurité alimentaire modérée ou grave,Alberta,Homme,,Personnes non âgées hors famille économique,,,48,21.4
2020,Insécurité alimentaire modérée,Alberta,Homme,,Personnes non âgées hors famille économique,,,48,11.1
2020,Insécurité alimentaire grave,Alberta,Homme,,Personnes non âgées hors famille économique,,,48,10.3
2020,Sécurité alimentaire,Alberta,Femme,,Personnes non âgées hors famille économique,,,48,73.6
2020,Insécurité alimentaire,Alberta,Femme,,Personnes non âgées hors famille économique,,,48,26.4
2020,Insécurité alimentaire marginale,Alberta,Femme,,Personnes non âgées hors famille économique,,,48,6.1
2020,Insécurité alimentaire modérée ou grave,Alberta,Femme,,Personnes non âgées hors famille économique,,,48,20.4
2020,Insécurité alimentaire modérée,Alberta,Femme,,Personnes non âgées hors famille économique,,,48,11.5
2020,Insécurité alimentaire grave,Alberta,Femme,,Personnes non âgées hors famille économique,,,48,8.8
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Toutes les personnes,,,59,85.4
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Toutes les personnes,,,59,14.6
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Toutes les personnes,,,59,4.6
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Toutes les personnes,,,59,10.0
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Toutes les personnes,,,59,7.3
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Toutes les personnes,,,59,2.7
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles économiques,,,59,86.3
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles économiques,,,59,13.7
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes dans les familles économiques,,,59,4.5
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles économiques,,,59,9.2
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les familles économiques,,,59,7.0
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles économiques,,,59,2.3
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,59,92.6
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,59,7.4
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,59,4.1
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,59,3.6
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,59,94.9
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,59,5.1
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,59,1.8
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,59,3.2
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,59,2.8
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,59,87.0
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles non âgées,,,59,85.1
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles non âgées,,,59,14.9
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes dans les familles non âgées,,,59,4.7
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles non âgées,,,59,10.2
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les familles non âgées,,,59,7.6
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles non âgées,,,59,2.6
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les couples,,,59,88.5
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les couples,,,59,11.5
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes dans les couples,,,59,3.5
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les couples,,,59,8.1
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les couples,,,59,5.7
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes dans les couples,,,59,2.4
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,59,84.6
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,59,15.4
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,59,6.0
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,59,9.4
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,59,7.2
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,59,2.2
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,59,86.8
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,59,13.2
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,59,9.1
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles monoparentales,,,59,70.7
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les familles monoparentales,,,59,29.3
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes dans les familles monoparentales,,,59,5.9
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles monoparentales,,,59,23.4
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les familles monoparentales,,,59,12.4
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes dans les familles monoparentales,,,59,11.0
2020,Sécurité alimentaire,Colombie-Britannique,Homme,,Personnes dans les familles monoparentales,,,59,72.0
2020,Insécurité alimentaire,Colombie-Britannique,Homme,,Personnes dans les familles monoparentales,,,59,28.0
2020,Sécurité alimentaire,Colombie-Britannique,Femme,,Personnes dans les familles monoparentales,,,59,70.3
2020,Insécurité alimentaire,Colombie-Britannique,Femme,,Personnes dans les familles monoparentales,,,59,29.7
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Femme,,Personnes dans les familles monoparentales,,,59,25.3
2020,Insécurité alimentaire modérée,Colombie-Britannique,Femme,,Personnes dans les familles monoparentales,,,59,13.4
2020,Insécurité alimentaire grave,Colombie-Britannique,Femme,,Personnes dans les familles monoparentales,,,59,11.9
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,59,84.9
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,59,15.1
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,59,13.0
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,59,10.2
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,59,2.9
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes hors famille économique,,,59,81.8
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes hors famille économique,,,59,18.2
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes hors famille économique,,,59,4.9
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes hors famille économique,,,59,13.3
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes hors famille économique,,,59,8.6
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes hors famille économique,,,59,4.6
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes âgées hors famille économique,,,59,86.6
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes âgées hors famille économique,,,59,13.4
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes âgées hors famille économique,,,59,9.1
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes âgées hors famille économique,,,59,6.8
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes âgées hors famille économique,,,59,2.2
2020,Sécurité alimentaire,Colombie-Britannique,Homme,,Personnes âgées hors famille économique,,,59,87.3
2020,Insécurité alimentaire,Colombie-Britannique,Homme,,Personnes âgées hors famille économique,,,59,12.7
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Homme,,Personnes âgées hors famille économique,,,59,7.0
2020,Sécurité alimentaire,Colombie-Britannique,Femme,,Personnes âgées hors famille économique,,,59,86.2
2020,Insécurité alimentaire,Colombie-Britannique,Femme,,Personnes âgées hors famille économique,,,59,13.8
2020,Insécurité alimentaire marginale,Colombie-Britannique,Femme,,Personnes âgées hors famille économique,,,59,3.5
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Femme,,Personnes âgées hors famille économique,,,59,10.3
2020,Insécurité alimentaire modérée,Colombie-Britannique,Femme,,Personnes âgées hors famille économique,,,59,7.2
2020,Insécurité alimentaire grave,Colombie-Britannique,Femme,,Personnes âgées hors famille économique,,,59,3.2
2020,Sécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes non âgées hors famille économique,,,59,79.9
2020,Insécurité alimentaire,Colombie-Britannique,Les deux sexes,,Personnes non âgées hors famille économique,,,59,20.1
2020,Insécurité alimentaire marginale,Colombie-Britannique,Les deux sexes,,Personnes non âgées hors famille économique,,,59,5.1
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Les deux sexes,,Personnes non âgées hors famille économique,,,59,14.9
2020,Insécurité alimentaire modérée,Colombie-Britannique,Les deux sexes,,Personnes non âgées hors famille économique,,,59,9.4
2020,Insécurité alimentaire grave,Colombie-Britannique,Les deux sexes,,Personnes non âgées hors famille économique,,,59,5.6
2020,Sécurité alimentaire,Colombie-Britannique,Homme,,Personnes non âgées hors famille économique,,,59,82.9
2020,Insécurité alimentaire,Colombie-Britannique,Homme,,Personnes non âgées hors famille économique,,,59,17.1
2020,Insécurité alimentaire marginale,Colombie-Britannique,Homme,,Personnes non âgées hors famille économique,,,59,3.8
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Homme,,Personnes non âgées hors famille économique,,,59,13.3
2020,Insécurité alimentaire modérée,Colombie-Britannique,Homme,,Personnes non âgées hors famille économique,,,59,7.4
2020,Sécurité alimentaire,Colombie-Britannique,Femme,,Personnes non âgées hors famille économique,,,59,76.3
2020,Insécurité alimentaire,Colombie-Britannique,Femme,,Personnes non âgées hors famille économique,,,59,23.7
2020,Insécurité alimentaire marginale,Colombie-Britannique,Femme,,Personnes non âgées hors famille économique,,,59,6.7
2020,Insécurité alimentaire modérée ou grave,Colombie-Britannique,Femme,,Personnes non âgées hors famille économique,,,59,17.0
2020,Insécurité alimentaire modérée,Colombie-Britannique,Femme,,Personnes non âgées hors famille économique,,,59,11.8
2020,Insécurité alimentaire grave,Colombie-Britannique,Femme,,Personnes non âgées hors famille économique,,,59,5.2
2021,Sécurité alimentaire,Canada,Les deux sexes,,Toutes les personnes,,,,81.6
2021,Insécurité alimentaire,Canada,Les deux sexes,,Toutes les personnes,,,,18.4
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Toutes les personnes,,,,5.6
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Toutes les personnes,,,,8.9
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Toutes les personnes,,,,4.0
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,81.9
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,18.1
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,5.7
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,12.4
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,9.0
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,3.4
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,91.7
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,8.3
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,3.4
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,4.9
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,3.7
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,1.2
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,93.6
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,6.4
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,3.1
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,3.3
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,2.7
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,0.7
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,87.1
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,12.9
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,4.1
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,8.8
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,6.2
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,2.6
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,80.2
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,19.8
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,6.1
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,13.8
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,9.9
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,3.8
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples,,,,88.1
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples,,,,11.9
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les couples,,,,3.6
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les couples,,,,8.3
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les couples,,,,5.5
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les couples,,,,2.8
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,78.9
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,21.1
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,7.2
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,13.9
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,10.9
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,3.0
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,85.7
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,14.3
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,4.3
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,10.0
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,6.7
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,3.3
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,61.2
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,38.8
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,8.8
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,30.0
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,19.9
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,10.1
2021,Sécurité alimentaire,Canada,Homme,,Personnes dans les familles monoparentales,,,,76.1
2021,Insécurité alimentaire,Canada,Homme,,Personnes dans les familles monoparentales,,,,23.9
2021,Insécurité alimentaire marginale,Canada,Homme,,Personnes dans les familles monoparentales,,,,10.0
2021,Insécurité alimentaire modérée ou grave,Canada,Homme,,Personnes dans les familles monoparentales,,,,13.9
2021,Insécurité alimentaire modérée,Canada,Homme,,Personnes dans les familles monoparentales,,,,9.2
2021,Insécurité alimentaire grave,Canada,Homme,,Personnes dans les familles monoparentales,,,,4.7
2021,Sécurité alimentaire,Canada,Femme,,Personnes dans les familles monoparentales,,,,57.4
2021,Insécurité alimentaire,Canada,Femme,,Personnes dans les familles monoparentales,,,,42.6
2021,Insécurité alimentaire marginale,Canada,Femme,,Personnes dans les familles monoparentales,,,,8.5
2021,Insécurité alimentaire modérée ou grave,Canada,Femme,,Personnes dans les familles monoparentales,,,,34.1
2021,Insécurité alimentaire modérée,Canada,Femme,,Personnes dans les familles monoparentales,,,,22.6
2021,Insécurité alimentaire grave,Canada,Femme,,Personnes dans les familles monoparentales,,,,11.5
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,78.2
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,21.8
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,5.2
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,16.6
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,10.5
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,6.1
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes hors famille économique,,,,79.8
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes hors famille économique,,,,20.2
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes hors famille économique,,,,5.1
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes hors famille économique,,,,15.1
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes hors famille économique,,,,8.4
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes hors famille économique,,,,6.7
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,87.7
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,12.3
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,4.3
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,8.0
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,5.3
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,2.7
2021,Sécurité alimentaire,Canada,Homme,,Personnes âgées hors famille économique,,,,86.9
2021,Insécurité alimentaire,Canada,Homme,,Personnes âgées hors famille économique,,,,13.1
2021,Insécurité alimentaire marginale,Canada,Homme,,Personnes âgées hors famille économique,,,,4.4
2021,Insécurité alimentaire modérée ou grave,Canada,Homme,,Personnes âgées hors famille économique,,,,8.7
2021,Insécurité alimentaire modérée,Canada,Homme,,Personnes âgées hors famille économique,,,,5.0
2021,Insécurité alimentaire grave,Canada,Homme,,Personnes âgées hors famille économique,,,,3.7
2021,Sécurité alimentaire,Canada,Femme,,Personnes âgées hors famille économique,,,,88.2
2021,Insécurité alimentaire,Canada,Femme,,Personnes âgées hors famille économique,,,,11.8
2021,Insécurité alimentaire marginale,Canada,Femme,,Personnes âgées hors famille économique,,,,4.3
2021,Insécurité alimentaire modérée ou grave,Canada,Femme,,Personnes âgées hors famille économique,,,,7.6
2021,Insécurité alimentaire modérée,Canada,Femme,,Personnes âgées hors famille économique,,,,5.5
2021,Insécurité alimentaire grave,Canada,Femme,,Personnes âgées hors famille économique,,,,2.1
2021,Sécurité alimentaire,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,76.0
2021,Insécurité alimentaire,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,24.0
2021,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,5.5
2021,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,18.5
2021,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,9.9
2021,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,8.6
2021,Sécurité alimentaire,Canada,Homme,,Personnes non âgées hors famille économique,,,,77.3
2021,Insécurité alimentaire,Canada,Homme,,Personnes non âgées hors famille économique,,,,22.7
2021,Insécurité alimentaire marginale,Canada,Homme,,Personnes non âgées hors famille économique,,,,4.9
2021,Insécurité alimentaire modérée ou grave,Canada,Homme,,Personnes non âgées hors famille économique,,,,17.9
2021,Insécurité alimentaire modérée,Canada,Homme,,Personnes non âgées hors famille économique,,,,9.5
2021,Insécurité alimentaire grave,Canada,Homme,,Personnes non âgées hors famille économique,,,,8.4
2021,Sécurité alimentaire,Canada,Femme,,Personnes non âgées hors famille économique,,,,74.4
2021,Insécurité alimentaire,Canada,Femme,,Personnes non âgées hors famille économique,,,,25.6
2021,Insécurité alimentaire marginale,Canada,Femme,,Personnes non âgées hors famille économique,,,,6.3
2021,Insécurité alimentaire modérée ou grave,Canada,Femme,,Personnes non âgées hors famille économique,,,,19.3
2021,Insécurité alimentaire modérée,Canada,Femme,,Personnes non âgées hors famille économique,,,,10.5
2021,Insécurité alimentaire grave,Canada,Femme,,Personnes non âgées hors famille économique,,,,8.8
2021,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,77.5
2021,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,22.5
2021,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,5.9
2021,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,16.5
2021,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,11.8
2021,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,4.7
2021,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,77.7
2021,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,22.3
2021,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,5.9
2021,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,16.4
2021,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,12.3
2021,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,4.1
2021,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,88.0
2021,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,12.0
2021,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,4.6
2021,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,7.4
2021,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,5.7
2021,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,1.6
2021,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,90.0
2021,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,10.0
2021,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,4.2
