Year,Institutions,Certaines caractéristiques sociodémographiques,Minorité visible,COMMENT_OBS,Value
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Pas une minorité visible,,51.5
2020,Confiance dans le Parlement fédéral,Femmes,Pas une minorité visible,,41.9
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Pas une minorité visible,,63.8
2020,Confiance dans le Parlement fédéral,Immigrants,Pas une minorité visible,,53.3
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Pas une minorité visible,,50.5
2020,Confiance dans le Parlement fédéral,Non-immigrants,Pas une minorité visible,,38.1
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Pas une minorité visible,,65.1
2020,Confiance dans le Parlement fédéral,Première génération,Pas une minorité visible,,54.1
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Pas une minorité visible,,51.9
2020,Confiance dans le Parlement fédéral,Deuxième génération,Pas une minorité visible,,38.2
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Pas une minorité visible,,50.3
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Pas une minorité visible,,38.2
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Pas une minorité visible,,52.1
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Pas une minorité visible,,38.7
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Pas une minorité visible,,56.2
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Pas une minorité visible,,46.9
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Pas une minorité visible,,47.7
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Pas une minorité visible,,37.0
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Pas une minorité visible,,49.7
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Pas une minorité visible,,37.1
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Pas une minorité visible,,59.4
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Pas une minorité visible,,46.1
