Year,Series,Units,Services de base,Sources des déchets à des fins d'élimination,Niveau de compétence,Sexe,Géographie,GeoCode,Value
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,255779.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,5795707.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,2853189.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,2942518.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9247415.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3204264.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,6043151.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,1020481.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,453754.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,566727.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,937268.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,283726.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,653541.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,3917492.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,1093155.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2824337.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2658271.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,953761.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1704510.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,9684615.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,14996859.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,391571.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,365079.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,145601.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,219478.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,492938.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,215755.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,277183.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,5584621.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,2803335.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,2781286.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9208839.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3388501.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,5820338.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,1017663.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,444227.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,573436.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,957670.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,315987.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,641682.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,3913924.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,1176226.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2737698.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2604147.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,947542.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1656605.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2012,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,9803644.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,14963007.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,415158.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,364193.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,160805.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,203388.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,508115.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,234534.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,273581.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,5414539.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,2831404.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,2583135.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9165299.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3490792.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,5674507.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,990230.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,333008.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,657222.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,940595.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,331430.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,609166.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,4097584.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,1230635.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2866949.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2721309.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,941345.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1779963.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2014,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,10225943.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,14714804.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,395324.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,375258.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,169786.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,205472.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,503123.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,225893.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,277230.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,5356134.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,3010083.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,2346051.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9475472.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3703850.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,5771622.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,969289.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,308517.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,660772.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,898404.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,343497.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,554908.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,4206668.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,1299856.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2906811.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2614087.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,929476.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1684611.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2016,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,10848238.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,14884782.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,373668.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,158588.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,215080.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,53972.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,20540.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,33432.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,392328.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,157078.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,235250.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,507848.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,222110.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,285738.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,5563136.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,3231578.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,2331557.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,10085613.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3980665.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,6104948.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,963256.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,333742.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,629514.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,864753.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,381180.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,483573.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,4118081.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,1336765.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2781316.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2719877.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,993371.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1726506.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,90489.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,32621.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,57868.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,10862118.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,15245602.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,365210.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,161147.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,204063.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,55803.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,20174.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,35629.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,399735.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,157740.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,241995.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,498839.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,215093.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,283746.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,5756149.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,3417649.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,2338499.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,10300560.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3814211.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,6486350.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,934437.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,325486.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,608951.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,852445.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,406635.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,445810.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,4044817.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,1238331.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2806486.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2803431.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,1068244.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1735187.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,96294.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,37409.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,58886.0
2015,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Total,,,92.0
2019,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Homme,,,94.0
2019,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Femme,,,91.0
2019,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Total,,,92.0
2016,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants de 4e année atteignant au moins un niveau minimum de compétence en lecture,Homme,,,95.3
2016,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants de 4e année atteignant au moins un niveau minimum de compétence en lecture,Femme,,,96.3
